index,time_s,mid_time_s,render_res,display_res
0,0.100000,0.083333,1280x720,1920x1080
1,0.133333,0.116667,1280x720,1920x1080
2,0.166667,0.150000,1280x720,1920x1080
3,0.200000,0.183333,1280x720,1920x1080
4,0.233333,0.216666,1280x720,1920x1080
5,0.266666,0.250000,1280x720,1920x1080
6,0.300000,0.283333,1280x720,1920x1080
7,0.333333,0.316666,1280x720,1920x1080
8,0.366666,0.350000,1280x720,1920x1080
9,0.400000,0.383333,1280x720,1920x1080
10,0.433333,0.416666,1280x720,1920x1080
11,0.466666,0.450000,1280x720,1920x1080
12,0.500000,0.483333,1280x720,1920x1080
13,0.533333,0.516666,1280x720,1920x1080
14,0.566666,0.549999,1280x720,1920x1080
15,0.599999,0.583333,1280x720,1920x1080
16,0.633333,0.616666,1280x720,1920x1080
17,0.666666,0.649999,1280x720,1920x1080
18,0.699999,0.683333,1280x720,1920x1080
19,0.733333,0.716666,1280x720,1920x1080
20,0.766666,0.749999,1280x720,1920x1080
21,0.799999,0.783333,1280x720,1920x1080
22,0.833333,0.816666,1280x720,1920x1080
23,0.866666,0.849999,1280x720,1920x1080
24,0.899999,0.883332,1280x720,1920x1080
25,0.933332,0.916666,1280x720,1920x1080
26,0.966666,0.949999,1280x720,1920x1080
27,0.999999,0.983332,1280x720,1920x1080
28,1.033332,1.016666,1280x720,1920x1080
29,1.066666,1.049999,1280x720,1920x1080
30,1.099999,1.083332,1280x720,1920x1080
31,1.133332,1.116666,1280x720,1920x1080
32,1.166666,1.149999,1280x720,1920x1080
33,1.199999,1.183332,1280x720,1920x1080
34,1.233332,1.216665,1280x720,1920x1080
35,1.266665,1.249999,1280x720,1920x1080
36,1.299999,1.283332,1280x720,1920x1080
37,1.333332,1.316665,1280x720,1920x1080
