frame,time_s,cpu_ms,gpu_ms,psnr_reproj,ssim_reproj,psnr_direct,ssim_direct,coverage
3,0.066668,6.053985,0.103856,29.925327,0.955335,26.559608,0.914207,0.997930
4,0.083335,3.766915,0.103678,29.237195,0.955684,26.150391,0.914734,0.997930
5,0.100002,1.079995,0.103471,29.239024,0.953860,25.991549,0.910950,0.997925
6,0.116669,1.166919,0.102196,29.589774,0.954622,26.322619,0.911889,0.997921
7,0.133336,1.202495,0.101064,29.362478,0.953417,26.153390,0.909813,0.997921
8,0.150003,2.801735,0.099678,29.280082,0.952956,26.040709,0.907316,0.997921
9,0.166670,2.646614,0.098478,29.624186,0.954789,26.290229,0.910209,0.997921
10,0.183337,1.113128,0.097526,29.657134,0.954976,26.151945,0.906991,0.997917
11,0.200004,1.121112,0.096733,29.714141,0.955020,26.233662,0.907250,0.997917
12,0.216671,0.997280,0.095924,29.699020,0.955010,26.258913,0.908219,0.997917
13,0.233338,1.037075,0.095180,29.739911,0.955477,26.199950,0.906848,0.997912
14,0.250005,2.310133,0.094462,29.744976,0.955226,26.209867,0.906704,0.997908
15,0.266672,0.991891,0.094152,29.711340,0.955153,26.234731,0.907459,0.997904
16,0.283339,1.008381,0.093376,29.734361,0.955644,26.285361,0.908190,0.997895
17,0.300006,1.509791,0.092919,29.519796,0.954535,26.094549,0.906773,0.997895
18,0.316673,1.343410,0.092427,29.461676,0.954547,26.125991,0.907613,0.997891
19,0.333340,1.198558,0.092032,29.623887,0.956027,26.261629,0.909413,0.997891
20,0.350007,2.618070,0.091677,29.630073,0.955613,26.160058,0.907913,0.997886
21,0.366674,1.048025,0.091325,29.796799,0.956376,26.319441,0.911022,0.997869
22,0.383341,1.152431,0.091329,29.953584,0.957114,26.497395,0.912185,0.997852
23,0.400008,1.108139,0.091124,30.018385,0.958306,26.726506,0.913395,0.997843
24,0.416675,1.065949,0.090827,30.332051,0.959428,26.859380,0.914726,0.997830
25,0.433342,2.812144,0.090897,30.561167,0.960032,26.743254,0.913160,0.997830
26,0.450009,1.138715,0.090671,30.418571,0.959518,26.763888,0.913741,0.997826
27,0.466676,1.571397,0.090564,30.452465,0.959819,26.728208,0.911566,0.997826
28,0.483343,1.303696,0.090564,30.578260,0.960584,26.849868,0.913582,0.997826
29,0.500010,1.100514,0.090275,30.517057,0.960388,26.911374,0.914016,0.997847
30,0.516677,3.179924,0.090096,30.925606,0.962640,27.079388,0.915661,0.997869
31,0.533344,1.837226,0.089998,31.066662,0.962842,26.962314,0.914202,0.997869
32,0.550011,1.232722,0.089718,30.683388,0.961892,26.831040,0.912927,0.997860
33,0.566678,1.179693,0.089738,30.256389,0.960774,26.657209,0.911900,0.997852
34,0.583345,1.504552,0.089613,30.226152,0.959982,26.673948,0.911814,0.997839
35,0.600012,3.267308,0.089563,30.278993,0.959748,26.662772,0.911629,0.997839
36,0.616679,2.052259,0.089327,30.426673,0.960495,26.735605,0.911581,0.997834
37,0.633346,1.138916,0.089290,30.569451,0.960958,26.700242,0.911120,0.997830
38,0.650013,1.121744,0.089401,30.610562,0.961212,26.730532,0.911294,0.997830
39,0.666680,1.331257,0.089229,30.663389,0.961091,26.710601,0.911430,0.997826
40,0.683347,3.087140,0.089170,30.598637,0.960686,26.615365,0.910069,0.997821
41,0.700014,1.143204,0.089101,30.621240,0.960631,26.654415,0.910093,0.997821
42,0.716681,1.113218,0.089119,30.341503,0.959185,26.560410,0.908660,0.997826
43,0.733348,1.069205,0.089103,29.952327,0.958390,26.389704,0.907763,0.997821
44,0.750015,1.015414,0.089105,29.990192,0.958910,26.450489,0.908263,0.997821
45,0.766682,0.993083,0.089026,29.936933,0.959064,26.354325,0.907964,0.997812
46,0.783349,1.042315,0.089292,29.900216,0.958756,26.299724,0.907082,0.997808
47,0.800016,2.813417,0.089243,29.772954,0.957051,26.225613,0.905544,0.997804
48,0.816683,1.107286,0.089230,29.825519,0.957450,26.202989,0.905224,0.997804
49,0.833350,1.002911,0.089475,29.783023,0.957151,26.213334,0.905818,0.997791
50,0.850017,1.045201,0.089456,29.745125,0.957163,26.144349,0.905633,0.997791
51,0.866684,1.086899,0.089390,29.746654,0.956834,26.154899,0.906161,0.997795
52,0.883351,1.019132,0.089283,29.839497,0.958095,26.227547,0.907086,0.997791
53,0.900018,1.033499,0.089315,29.793237,0.957398,26.363701,0.907081,0.997791
54,0.916685,2.628921,0.089295,29.621538,0.956798,26.295622,0.907557,0.997791
55,0.933352,1.077140,0.089470,29.617062,0.956766,26.247578,0.906508,0.997795
56,0.950019,1.021476,0.089195,29.865167,0.958396,26.223538,0.906675,0.997786
57,0.966686,1.035322,0.089155,29.763721,0.957915,26.121782,0.905373,0.997786
58,0.983353,1.015164,0.089120,29.808090,0.958333,26.121753,0.905346,0.997786
59,1.000020,1.017478,0.089088,29.882408,0.958918,26.153659,0.905759,0.997791
