frame,time_s,cpu_ms,gpu_ms,psnr_reproj,ssim_reproj,psnr_direct,ssim_direct,coverage
16,0.283339,1.360600,0.029240,27.601048,0.921986,24.301032,0.852831,0.997841
17,0.300006,1.316000,0.034080,27.563203,0.922352,24.280627,0.852896,0.997840
18,0.316673,1.277800,0.028000,27.560614,0.921897,24.298126,0.853891,0.997836
19,0.333340,1.188300,0.027960,27.557363,0.922469,24.330553,0.854215,0.997834
20,0.350007,1.309400,0.028800,27.561816,0.921508,24.294617,0.854064,0.997834
21,0.366674,1.247900,0.028960,27.600298,0.922113,24.414476,0.856059,0.997828
22,0.383341,0.970200,0.028360,27.680523,0.922610,24.474337,0.857062,0.997824
23,0.400008,1.199300,0.028240,27.712539,0.922551,24.648901,0.858436,0.997822
24,0.416675,1.152700,0.028800,27.853968,0.923106,24.714616,0.858694,0.997822
25,0.433342,1.445200,0.028600,27.880657,0.923296,24.649240,0.858969,0.997826
26,0.450009,1.241400,0.028360,27.890489,0.923522,24.605357,0.858630,0.997828
27,0.466676,1.311800,0.028880,27.880860,0.922686,24.704613,0.858994,0.997828
28,0.483343,1.332700,0.028920,27.863450,0.923477,24.720583,0.858884,0.997832
29,0.500010,1.070800,0.028280,27.823048,0.922763,24.704921,0.858929,0.997851
30,0.516677,1.260800,0.028720,28.074878,0.925059,24.827077,0.860855,0.997868
31,0.533344,1.235800,0.028440,28.046869,0.924469,24.746239,0.858311,0.997865
32,0.550011,1.489200,0.028520,27.922048,0.924190,24.697779,0.858088,0.997859
33,0.566678,1.409100,0.027760,27.735208,0.923884,24.624044,0.858859,0.997859
34,0.583345,1.314000,0.028520,27.746692,0.922962,24.586802,0.856256,0.997857
35,0.600012,1.496700,0.028200,27.742540,0.923108,24.596767,0.857098,0.997851
36,0.616679,1.397100,0.030920,27.889815,0.924430,24.652334,0.857905,0.997847
37,0.633346,1.418900,0.028280,27.996008,0.924979,24.599770,0.856441,0.997843
38,0.650013,1.535500,0.028160,28.026548,0.925080,24.623076,0.856137,0.997843
39,0.666680,1.425100,0.028360,28.071748,0.925238,24.627245,0.856375,0.997841
40,0.683347,1.665400,0.027800,28.089213,0.925609,24.604137,0.855897,0.997840
41,0.700014,1.195400,0.028480,28.084776,0.925716,24.589828,0.855010,0.997849
42,0.716681,1.823000,0.028600,27.999727,0.925114,24.531060,0.853947,0.997853
43,0.733348,1.196000,0.028120,27.812385,0.925018,24.467424,0.853701,0.997845
44,0.750015,1.576500,0.028480,27.820627,0.924895,24.482920,0.853760,0.997845
45,0.766682,1.502800,0.029360,27.841267,0.924807,24.436180,0.853150,0.997843
46,0.783349,1.177200,0.028840,27.803687,0.923972,24.362313,0.851250,0.997840
