frame,time_s,cpu_ms,gpu_ms
16,0.283339,0.124400,0.379320
17,0.300006,0.141000,0.341640
18,0.316673,0.177900,0.338680
19,0.333340,0.102400,0.374560
20,0.350007,0.144000,0.394600
21,0.366674,0.147400,0.344480
22,0.383341,0.188700,0.371160
23,0.400008,0.105500,0.360280
24,0.416675,0.103100,0.352160
25,0.433342,0.156500,0.356200
26,0.450009,0.108900,0.376400
27,0.466676,0.109900,0.346480
28,0.483343,0.120700,0.376320
29,0.500010,0.239000,0.369520
30,0.516677,0.132200,0.328600
31,0.533344,0.409200,0.373920
32,0.550011,0.100200,0.361000
33,0.566678,0.117100,0.392160
34,0.583345,0.140500,0.353400
35,0.600012,0.100500,0.351920
36,0.616679,0.158800,0.381400
37,0.633346,0.101200,0.376680
38,0.650013,0.150500,0.354640
39,0.666680,0.093500,0.371640
40,0.683347,0.116700,0.355800
41,0.700014,0.117500,0.351960
42,0.716681,0.115400,0.477960
43,0.733348,0.110900,0.343160
44,0.750015,0.283800,0.350560
45,0.766682,0.111300,0.370160
46,0.783349,0.101700,0.355760
47,0.800016,0.192900,0.353080
48,0.816683,0.146000,0.385360
49,0.833350,0.204500,0.353720
50,0.850017,0.148100,0.404800
51,0.866684,0.124000,0.399360
52,0.883351,0.210000,0.368440
53,0.900018,0.162300,0.387840
54,0.916685,0.415600,0.376880
55,0.933352,0.135700,0.343800
56,0.950019,0.188200,0.364520
57,0.966686,0.107800,0.320520
58,0.983353,0.115200,0.288360
59,1.000020,0.148500,0.307920
60,1.016687,0.121200,0.320600
61,1.033354,0.105600,0.297480
62,1.050021,0.105400,0.324360
63,1.066688,0.148200,0.309000
64,1.083355,0.176000,0.284040
65,1.100022,0.106500,0.332680
66,1.116689,0.142300,0.351760
67,1.133356,0.171000,0.331440
68,1.150023,0.183500,0.384560
69,1.166690,0.328600,0.355240
70,1.183357,0.102500,0.350240
71,1.200024,0.152900,0.378200
72,1.216691,0.104700,0.371360
73,1.233358,0.180600,0.355480
74,1.250025,0.227700,0.391440
75,1.266692,0.107900,0.350280
76,1.283359,0.124400,0.360600
77,1.300026,0.097400,0.609320
78,1.316693,0.131000,0.381160
79,1.333360,0.089700,0.396920
80,1.350027,0.150300,0.418840
81,1.366694,0.096400,0.364760
82,1.383361,0.159500,0.398160
83,1.400028,0.118300,0.368520
84,1.416695,0.107900,0.352560
85,1.433362,0.123300,0.370680
86,1.450029,0.158200,0.347160
87,1.466696,0.194500,0.382320
88,1.483363,0.151700,0.382440
89,1.500030,0.091100,0.342720
90,1.516697,0.093200,0.441000
91,1.533364,0.142400,0.343000
92,1.550031,0.090800,0.447600
93,1.566698,0.164700,0.336360
94,1.583365,0.189400,0.346680
95,1.600032,0.180200,0.361600
96,1.616699,0.102500,0.350640
97,1.633366,0.146300,0.347360
98,1.650033,0.099000,0.377880
99,1.666700,0.158700,0.340520
100,1.683367,0.099700,0.348920
101,1.700034,0.161700,0.358640
102,1.716701,0.219000,0.351560
103,1.733368,0.109900,0.393200
104,1.750035,0.347600,0.364320
105,1.766702,0.121100,0.352640
106,1.783369,0.153200,0.392200
107,1.800036,0.162600,0.345800
108,1.816703,0.136300,0.349480
109,1.833370,0.173000,0.356440
110,1.850037,0.099600,0.353640
111,1.866704,0.126300,0.344560
112,1.883371,0.101400,0.377960
113,1.900038,0.102800,0.376400
114,1.916705,0.103000,0.351920
115,1.933372,0.186700,0.371200
116,1.950039,0.116400,0.354160
117,1.966706,0.089500,0.350800
118,1.983373,0.137500,0.381000
119,2.000040,0.100800,0.380240
