frame,time_s,cpu_ms,gpu_ms
16,0.283339,0.126400,0.116240
17,0.300006,0.126600,0.112480
18,0.316673,0.207200,0.112560
19,0.333340,0.178300,0.133360
20,0.350007,0.121900,0.118760
21,0.366674,0.141800,0.114280
22,0.383341,0.148500,0.111360
23,0.400008,0.162700,0.143800
24,0.416675,0.107200,0.115160
25,0.433342,0.140300,0.112280
26,0.450009,0.101400,0.114040
27,0.466676,0.163900,0.151160
28,0.483343,0.139600,0.122600
29,0.500010,0.173200,0.115480
30,0.516677,0.114900,0.113320
31,0.533344,0.179500,0.120200
32,0.550011,0.157600,0.151960
33,0.566678,0.216500,0.114240
34,0.583345,0.139000,0.113360
35,0.600012,0.184700,0.117800
36,0.616679,0.133000,0.116800
37,0.633346,0.115300,0.113680
38,0.650013,0.149200,0.112640
39,0.666680,0.099000,0.113480
40,0.683347,0.127000,0.115840
41,0.700014,0.108400,0.125480
42,0.716681,0.180800,0.113400
43,0.733348,0.111500,0.115520
44,0.750015,0.381800,0.117240
45,0.766682,0.100400,0.115320
46,0.783349,0.251400,0.114600
47,0.800016,0.100100,0.133320
48,0.816683,0.352200,0.142200
49,0.833350,0.125800,0.116400
50,0.850017,0.177000,0.116360
51,0.866684,0.178500,0.122000
52,0.883351,0.390300,0.117520
53,0.900018,0.100600,0.116600
54,0.916685,0.223200,0.115040
55,0.933352,0.187700,0.126960
56,0.950019,0.120200,0.110120
57,0.966686,0.230100,0.106280
58,0.983353,0.174300,0.106880
59,1.000020,0.134600,0.109120
60,1.016687,0.127700,0.122440
61,1.033354,0.151300,0.106640
62,1.050021,0.208200,0.111800
63,1.066688,0.100800,0.109120
64,1.083355,0.196400,0.116400
65,1.100022,0.115500,0.107760
66,1.116689,0.185200,0.103680
67,1.133356,0.172600,0.109000
68,1.150023,0.343900,0.114320
69,1.166690,0.173000,0.114120
70,1.183357,0.179200,0.114640
71,1.200024,0.102000,0.120680
72,1.216691,0.091600,0.110000
73,1.233358,0.113100,0.109440
74,1.250025,0.106300,0.109680
75,1.266692,0.191500,0.111760
76,1.283359,0.132200,0.119840
77,1.300026,0.185300,0.110520
78,1.316693,0.190100,0.107880
79,1.333360,0.104400,0.140160
80,1.350027,0.132200,0.121480
81,1.366694,0.099900,0.112360
82,1.383361,0.132500,0.113480
83,1.400028,0.189100,0.144400
84,1.416695,0.131200,0.124800
85,1.433362,0.110800,0.128800
86,1.450029,0.107900,0.151880
87,1.466696,0.186700,0.131760
88,1.483363,0.093700,0.115920
89,1.500030,0.190200,0.115000
90,1.516697,0.127800,0.118600
91,1.533364,0.109900,0.126360
92,1.550031,0.138500,0.121920
93,1.566698,0.174100,0.112840
94,1.583365,0.185600,0.119000
95,1.600032,0.105600,0.114000
96,1.616699,0.108400,0.113080
97,1.633366,0.137800,0.112160
98,1.650033,0.196200,0.120640
99,1.666700,0.133800,0.112160
100,1.683367,0.103000,0.111320
101,1.700034,0.163100,0.147200
102,1.716701,0.101800,0.116800
103,1.733368,0.211800,0.112920
104,1.750035,0.095500,0.112440
105,1.766702,0.119900,0.113680
106,1.783369,0.123800,0.119720
107,1.800036,0.123800,0.117880
108,1.816703,0.195500,0.112520
109,1.833370,0.092800,0.116080
110,1.850037,0.089900,0.115680
111,1.866704,0.091100,0.117840
112,1.883371,0.116500,0.115600
113,1.900038,0.230300,0.117240
114,1.916705,0.090400,0.116200
115,1.933372,0.177400,0.114960
116,1.950039,0.156500,0.114200
117,1.966706,0.177400,0.116040
118,1.983373,0.133800,0.121000
119,2.000040,0.093900,0.115160
