frame,time_s,cpu_ms,gpu_ms
16,0.283339,0.185100,0.216600
17,0.300006,0.125500,0.194520
18,0.316673,0.109100,0.174280
19,0.333340,0.191900,0.168640
20,0.350007,0.092900,0.189280
21,0.366674,0.156200,0.208240
22,0.383341,0.225300,0.169800
23,0.400008,0.147100,0.210280
24,0.416675,0.118300,0.190680
25,0.433342,0.110200,0.169680
26,0.450009,0.104400,0.167320
27,0.466676,0.114000,0.191640
28,0.483343,0.172600,0.168680
29,0.500010,0.117100,0.165920
30,0.516677,0.158400,0.177320
31,0.533344,0.098600,0.178520
32,0.550011,0.112700,0.165760
33,0.566678,0.128400,0.230200
34,0.583345,0.130600,0.203120
35,0.600012,0.106000,0.167880
36,0.616679,0.180000,0.208680
37,0.633346,0.318800,0.229800
38,0.650013,0.166500,0.181960
39,0.666680,0.096900,0.172280
40,0.683347,0.184500,0.188080
41,0.700014,0.155900,0.183640
42,0.716681,0.111200,0.170560
43,0.733348,0.106400,0.173080
44,0.750015,0.176200,0.205360
45,0.766682,0.157700,0.176480
46,0.783349,0.106700,0.175160
47,0.800016,0.093300,0.189840
48,0.816683,0.118400,0.187400
49,0.833350,0.108700,0.177000
50,0.850017,0.127200,0.173560
51,0.866684,0.156700,0.203320
52,0.883351,0.164500,0.177040
53,0.900018,0.123000,0.201280
54,0.916685,0.191600,0.238080
55,0.933352,0.152100,0.179120
56,0.950019,0.114300,0.164240
57,0.966686,0.141200,0.182040
58,0.983353,0.093300,0.169920
59,1.000020,0.109300,0.152520
60,1.016687,0.241900,0.149400
61,1.033354,0.110800,0.166360
62,1.050021,0.112400,0.167280
63,1.066688,0.144200,0.147320
64,1.083355,0.127700,0.145280
65,1.100022,0.339200,0.149680
66,1.116689,0.111400,0.160000
67,1.133356,0.190800,0.156920
68,1.150023,0.390100,0.163320
69,1.166690,0.160700,0.175160
70,1.183357,0.177100,0.182080
71,1.200024,0.144500,0.187400
72,1.216691,0.182300,0.196920
73,1.233358,0.109700,0.172800
74,1.250025,0.189600,0.174920
75,1.266692,0.188100,0.207560
76,1.283359,0.151300,0.199480
77,1.300026,0.098600,0.170120
78,1.316693,0.148900,0.170440
79,1.333360,0.127500,0.195560
80,1.350027,0.338000,0.172200
81,1.366694,0.206400,0.166800
82,1.383361,0.131500,0.210800
83,1.400028,0.090500,0.194640
84,1.416695,0.133100,0.182160
85,1.433362,0.188700,0.167520
86,1.450029,0.376300,0.194320
87,1.466696,0.191200,0.178280
88,1.483363,0.223200,0.170800
89,1.500030,0.190100,0.192760
90,1.516697,0.283900,0.186200
91,1.533364,0.158400,0.173240
92,1.550031,0.093400,0.191680
93,1.566698,0.142900,0.185520
94,1.583365,0.091300,0.170520
95,1.600032,0.134700,0.186600
96,1.616699,0.098700,0.181720
97,1.633366,0.115200,0.169880
98,1.650033,0.091300,0.168280
99,1.666700,0.131900,0.187600
100,1.683367,0.105900,0.178240
101,1.700034,0.092500,0.181840
102,1.716701,0.110200,0.163600
103,1.733368,0.087200,0.225760
104,1.750035,0.115300,0.181640
105,1.766702,0.189000,0.170360
106,1.783369,0.111900,0.166320
107,1.800036,0.094300,0.231960
108,1.816703,0.138500,0.185120
109,1.833370,0.194600,0.172160
110,1.850037,0.186600,0.219400
111,1.866704,0.178500,0.210760
112,1.883371,0.098200,0.172040
113,1.900038,0.097100,0.168480
114,1.916705,0.207100,0.189840
115,1.933372,0.098600,0.192360
116,1.950039,0.097400,0.181960
117,1.966706,0.095600,0.169280
118,1.983373,0.149000,0.192600
119,2.000040,0.104400,0.176920
