frame,time_s,cpu_ms,gpu_ms
16,0.283339,0.167300,1.632680
17,0.300006,0.107600,1.991120
18,0.316673,0.179900,1.784600
19,0.333340,0.335200,1.820520
20,0.350007,0.103300,1.682800
21,0.366674,0.126000,1.728360
22,0.383341,0.095100,1.872600
23,0.400008,0.103700,1.986400
24,0.416675,0.124700,1.994200
25,0.433342,0.113100,1.922120
26,0.450009,0.126400,1.965200
27,0.466676,0.117200,1.854080
28,0.483343,0.105900,1.841960
29,0.500010,0.133500,2.022880
30,0.516677,0.126000,1.802920
31,0.533344,0.120800,2.056040
32,0.550011,0.133600,1.992120
33,0.566678,0.145800,2.178280
34,0.583345,0.196400,2.024880
35,0.600012,0.108400,2.058560
36,0.616679,0.123200,2.017160
37,0.633346,0.097200,2.211960
38,0.650013,0.116200,2.009040
39,0.666680,0.166200,2.191640
40,0.683347,0.125700,1.925280
41,0.700014,0.238600,1.877000
42,0.716681,0.192300,1.939400
43,0.733348,0.103100,2.022080
44,0.750015,0.190900,1.951920
45,0.766682,0.158700,2.173960
46,0.783349,0.271100,2.013240
47,0.800016,0.330700,2.066160
48,0.816683,0.129200,2.082360
49,0.833350,0.133500,2.075080
50,0.850017,0.211400,2.157240
51,0.866684,0.103400,2.281240
52,0.883351,0.169500,2.257640
53,0.900018,0.192200,1.991280
54,0.916685,0.147700,2.164360
55,0.933352,0.143900,1.837200
56,0.950019,0.099100,1.996560
57,0.966686,0.184200,1.672520
58,0.983353,0.110400,1.723000
59,1.000020,0.120500,1.640440
60,1.016687,0.139400,1.670440
61,1.033354,0.172600,1.692640
62,1.050021,0.122900,1.733560
63,1.066688,0.149200,1.648240
64,1.083355,0.129200,1.619400
65,1.100022,0.205100,1.566200
66,1.116689,0.114800,1.760320
67,1.133356,0.111500,1.614040
68,1.150023,0.222900,1.619120
69,1.166690,0.185500,1.688320
70,1.183357,0.328000,1.784760
71,1.200024,0.157900,1.698680
72,1.216691,0.103300,1.750760
73,1.233358,0.110200,1.812680
74,1.250025,0.100500,1.745880
75,1.266692,0.127400,1.643160
76,1.283359,0.387600,1.713920
77,1.300026,0.131200,1.708600
78,1.316693,0.091000,1.834840
79,1.333360,0.098300,1.736400
80,1.350027,0.181000,1.679280
81,1.366694,0.117500,1.565720
82,1.383361,0.160500,1.896600
83,1.400028,0.095400,1.699160
84,1.416695,0.123700,1.881120
85,1.433362,0.171300,1.669200
86,1.450029,0.130400,1.808440
87,1.466696,0.148800,1.751600
88,1.483363,0.103100,1.635280
89,1.500030,0.096900,1.733080
90,1.516697,0.139100,1.817360
91,1.533364,0.176800,1.756520
92,1.550031,0.090700,1.791400
93,1.566698,0.177900,1.710000
94,1.583365,0.196100,1.631680
95,1.600032,0.150800,1.762560
96,1.616699,0.089900,1.892160
97,1.633366,0.121600,1.819240
98,1.650033,0.092900,1.742280
99,1.666700,0.178500,1.668240
100,1.683367,0.121500,1.583560
101,1.700034,0.091400,1.607640
102,1.716701,0.103700,1.732720
103,1.733368,0.164600,1.689600
104,1.750035,0.108700,1.715880
105,1.766702,0.092400,1.652360
106,1.783369,0.110600,1.602200
107,1.800036,0.185300,1.712240
108,1.816703,0.145500,1.822720
109,1.833370,0.190300,1.763600
110,1.850037,0.147700,1.756360
111,1.866704,0.252500,1.567680
112,1.883371,0.091500,1.620960
113,1.900038,0.136300,1.718680
114,1.916705,0.114700,1.726600
115,1.933372,0.114500,1.724560
116,1.950039,0.095000,1.563840
117,1.966706,0.091500,1.770040
118,1.983373,0.095600,1.635640
119,2.000040,0.100300,1.802520
