frame,time_s,cpu_ms,gpu_ms
16,0.283339,0.102500,0.486120
17,0.300006,0.128000,0.549400
18,0.316673,0.137000,0.521080
19,0.333340,0.117600,0.551920
20,0.350007,0.233200,0.561480
21,0.366674,0.199800,0.536920
22,0.383341,0.109800,0.584120
23,0.400008,0.246200,0.565320
24,0.416675,0.102000,0.600200
25,0.433342,0.129400,0.480600
26,0.450009,0.108200,0.547360
27,0.466676,0.148900,0.703920
28,0.483343,0.117800,0.534520
29,0.500010,0.320300,0.582480
30,0.516677,0.207000,0.512120
31,0.533344,0.122100,0.600200
32,0.550011,0.148600,0.544640
33,0.566678,0.100100,0.483960
34,0.583345,0.120800,0.531120
35,0.600012,0.192100,0.550800
36,0.616679,0.113900,0.597720
37,0.633346,0.101000,0.542240
38,0.650013,0.512400,0.538880
39,0.666680,0.099000,0.548840
40,0.683347,0.319500,0.661200
41,0.700014,0.205100,0.484600
42,0.716681,0.190400,0.559240
43,0.733348,0.115100,0.504720
44,0.750015,0.104200,0.554400
45,0.766682,0.108300,0.573160
46,0.783349,0.169000,0.551640
47,0.800016,0.126300,0.564320
48,0.816683,0.104900,0.597920
49,0.833350,0.094900,0.578960
50,0.850017,0.188900,0.544920
51,0.866684,0.131800,0.557720
52,0.883351,0.114600,0.726440
53,0.900018,0.094200,0.550800
54,0.916685,0.190800,0.675280
55,0.933352,0.107500,0.537960
56,0.950019,0.168900,0.524040
57,0.966686,0.097400,0.522440
58,0.983353,0.109500,0.502480
59,1.000020,0.191600,0.542240
60,1.016687,0.111300,0.467920
61,1.033354,0.229800,0.472480
62,1.050021,0.134300,0.498760
63,1.066688,0.101600,0.438320
64,1.083355,0.116000,0.562520
65,1.100022,0.139700,0.500960
66,1.116689,0.150700,0.520640
67,1.133356,0.124200,0.618400
68,1.150023,0.156400,0.525640
69,1.166690,0.113000,0.595600
70,1.183357,0.124400,0.602440
71,1.200024,0.160500,0.641920
72,1.216691,0.176300,0.564000
73,1.233358,0.114000,0.553440
74,1.250025,0.167300,0.686600
75,1.266692,0.099900,0.532320
76,1.283359,0.179900,0.538480
77,1.300026,0.096200,0.548840
78,1.316693,0.114000,0.603160
79,1.333360,0.124400,0.513080
80,1.350027,0.121200,0.555280
81,1.366694,0.085900,0.528080
82,1.383361,0.113300,0.551800
83,1.400028,0.099100,0.658200
84,1.416695,0.099500,0.426360
85,1.433362,0.099200,0.629760
86,1.450029,0.133700,0.543360
87,1.466696,0.090900,0.627240
88,1.483363,0.198500,0.540280
89,1.500030,0.122300,0.530920
90,1.516697,0.139900,0.553880
91,1.533364,0.133400,0.676440
92,1.550031,0.095300,0.542880
93,1.566698,0.170200,0.643320
94,1.583365,0.090600,0.433560
95,1.600032,0.103500,0.555320
96,1.616699,0.124700,0.470840
97,1.633366,0.099200,0.554320
98,1.650033,0.341100,0.712640
99,1.666700,0.090600,0.508400
100,1.683367,0.102600,0.668240
101,1.700034,0.193300,0.538320
102,1.716701,0.090500,0.578920
103,1.733368,0.100800,0.483440
104,1.750035,0.107600,0.550160
105,1.766702,0.211900,0.581200
106,1.783369,0.103500,0.542000
107,1.800036,0.116000,0.580160
108,1.816703,0.097300,0.524600
109,1.833370,0.147300,0.530600
110,1.850037,0.099000,0.547800
111,1.866704,0.176000,0.671760
112,1.883371,0.191200,0.475000
113,1.900038,0.094800,0.561280
114,1.916705,0.212700,0.540320
115,1.933372,0.089300,0.561640
116,1.950039,0.166000,0.704400
117,1.966706,0.136400,0.625920
118,1.983373,0.201800,0.575360
119,2.000040,0.103300,0.475960
