frame,time_s,cpu_ms,gpu_ms,epe_px,epe_within1,epe_within2,scene_change,sc_max,sc_mean,sc_median,cut
8,0.150003,0.477235,2.055200,0.589215,0.859436,0.962500,0.005444,0.009358,0.005444,0.004792,0
9,0.166670,6.359829,2.051680,0.500325,0.870343,0.975735,0.004605,0.009358,0.004605,0.004444,0
10,0.183337,2.727295,2.043840,0.586134,0.866422,0.965441,0.486472,0.992049,0.486472,0.421007,1
11,0.200004,2.752021,2.073920,0.565599,0.867892,0.967525,0.009427,0.021024,0.009427,0.009149,0
12,0.216671,3.851203,2.074080,0.576497,0.864706,0.963358,0.004722,0.010226,0.004722,0.004635,0
13,0.233338,2.701256,2.055520,0.583562,0.866544,0.959804,0.003000,0.004618,0.003000,0.002986,0
14,0.250005,2.582504,2.072480,0.568968,0.867892,0.963603,0.003220,0.009149,0.003220,0.003073,0
15,0.266672,3.757047,2.066880,0.555118,0.873897,0.963480,0.002799,0.004201,0.002799,0.002431,0
16,0.283339,0.520275,2.050560,0.555118,0.873897,0.963480,0.003709,0.008142,0.003709,0.002899,0
17,0.300006,3.981658,2.074240,0.586939,0.877574,0.966422,0.003773,0.007899,0.003773,0.003576,0
18,0.316673,4.050367,2.016160,0.588754,0.887745,0.964461,0.472614,0.983924,0.472614,0.401684,1
19,0.333340,2.706967,2.040320,0.577570,0.882598,0.961765,0.012126,0.026181,0.012126,0.009271,0
20,0.350007,2.643207,2.055840,0.556725,0.894608,0.964093,0.005274,0.010278,0.005274,0.004983,0
21,0.366674,4.125839,2.056320,0.566901,0.887745,0.961887,0.004875,0.009740,0.004875,0.003924,0
22,0.383341,2.699152,2.048480,0.561333,0.892647,0.963235,0.003488,0.009097,0.003488,0.002899,0
23,0.400008,2.552688,2.058720,0.579576,0.888603,0.961029,0.004813,0.008906,0.004813,0.003802,0
24,0.416675,0.424937,2.052960,0.579576,0.888603,0.961029,0.004832,0.009410,0.004832,0.004931,0
25,0.433342,5.421038,2.052800,0.536654,0.893995,0.968260,0.004219,0.008056,0.004219,0.003924,0
26,0.450009,2.640963,2.056000,0.499299,0.899020,0.973039,0.465087,0.991493,0.465087,0.394097,1
27,0.466676,2.558729,2.067200,0.517545,0.896446,0.971324,0.010363,0.022639,0.010363,0.009809,0
28,0.483343,3.730747,2.067040,0.539746,0.891176,0.967279,0.003320,0.006545,0.003320,0.003455,0
29,0.500010,2.467618,2.057760,0.563426,0.881127,0.963603,0.002699,0.004983,0.002699,0.002604,0
30,0.516677,2.607521,2.071040,0.547829,0.875613,0.965809,0.002670,0.005000,0.002670,0.002535,0
31,0.533344,3.742981,2.148800,0.565961,0.858088,0.964583,0.002388,0.005712,0.002388,0.001545,0
32,0.550011,0.662212,2.066880,0.565961,0.858088,0.964583,0.002473,0.005747,0.002473,0.001319,0
33,0.566678,4.049576,2.083360,0.541249,0.843627,0.969608,0.002712,0.005885,0.002712,0.002292,0
34,0.583345,4.182434,2.048000,0.531009,0.837868,0.972304,0.442506,0.984184,0.442506,0.379288,1
35,0.600012,2.821432,2.052960,0.517216,0.836275,0.973652,0.012145,0.025590,0.012145,0.008576,0
36,0.616679,2.797006,2.067360,0.515252,0.831005,0.974877,0.006493,0.013073,0.006493,0.005330,0
37,0.633346,3.749823,2.051840,0.574767,0.818873,0.966789,0.005066,0.009844,0.005066,0.004809,0
38,0.650013,2.708811,2.041920,0.594103,0.811887,0.963725,0.004713,0.010122,0.004713,0.004132,0
39,0.666680,2.444525,2.049440,0.601798,0.811275,0.964338,0.004936,0.010990,0.004936,0.004010,0
40,0.683347,0.437811,2.068960,0.601798,0.811275,0.964338,0.004360,0.009896,0.004360,0.003108,0
41,0.700014,5.425837,2.052480,0.571398,0.807598,0.968382,0.004522,0.010955,0.004522,0.003056,0
42,0.716681,2.690587,2.064800,0.528732,0.813725,0.973529,0.427269,0.990104,0.427269,0.372986,1
43,0.733348,2.590949,2.077600,0.554189,0.806740,0.971569,0.009794,0.024201,0.009794,0.006806,0
44,0.750015,3.622654,2.077120,0.551631,0.807230,0.970098,0.003981,0.006823,0.003981,0.003524,0
45,0.766682,2.581351,2.063040,0.579988,0.804289,0.966176,0.003850,0.007760,0.003850,0.003125,0
46,0.783349,2.611669,2.070720,0.551061,0.807966,0.970588,0.004481,0.007812,0.004481,0.003160,0
47,0.800016,3.721249,2.072160,0.544699,0.806863,0.971201,0.003353,0.007448,0.003353,0.003038,0
