frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,5.887800,1.736360,38.983739,0.972847,27.536372,0.669173
17,0.300006,6.125200,1.718160,39.059609,0.972513,27.563046,0.670999
18,0.316673,5.765700,1.700440,38.958529,0.972017,27.556500,0.670569
19,0.333340,6.153900,1.769760,39.143515,0.973406,27.500075,0.667614
20,0.350007,6.139500,1.622760,39.366777,0.974385,27.442619,0.665648
21,0.366674,5.915000,1.798800,39.227693,0.974232,27.431517,0.664442
22,0.383341,5.902400,1.640640,39.044921,0.972640,27.437593,0.665603
23,0.400008,6.074500,1.638720,39.267067,0.973866,27.389941,0.663320
24,0.416675,6.057300,1.610720,39.528501,0.975309,27.301201,0.657484
25,0.433342,6.259500,1.774400,39.474866,0.974645,27.314624,0.658666
26,0.450009,6.151400,1.621280,39.373652,0.974464,27.316730,0.658990
27,0.466676,7.104600,1.755640,39.318205,0.975070,27.259905,0.658410
28,0.483343,6.278800,1.952840,39.535205,0.976338,27.216741,0.659078
29,0.500010,6.420500,1.655960,39.438893,0.976074,27.209292,0.659482
30,0.516677,6.217400,1.777720,39.267446,0.974625,27.263519,0.662359
31,0.533344,6.153100,1.593080,39.482914,0.975985,27.286349,0.662810
32,0.550011,6.389700,1.688840,39.659604,0.977123,27.273929,0.660927
33,0.566678,6.161100,1.839600,39.491705,0.976829,27.339676,0.665883
34,0.583345,6.170600,1.781400,39.443452,0.976319,27.421114,0.669840
35,0.600012,6.383700,1.809000,39.681751,0.977473,27.492571,0.674494
36,0.616679,6.141500,1.774000,39.847692,0.978335,27.569519,0.678574
37,0.633346,6.077300,1.784280,39.638218,0.977389,27.660523,0.682103
38,0.650013,6.071300,1.670480,39.490910,0.976125,27.776110,0.689221
39,0.666680,6.122000,1.703600,39.529826,0.976699,27.832813,0.694880
40,0.683347,6.204500,1.808560,39.800152,0.977452,27.856191,0.696869
41,0.700014,6.027500,1.784520,39.667143,0.977282,27.957731,0.706110
42,0.716681,6.041200,1.756000,39.443337,0.976110,28.054712,0.714150
43,0.733348,5.990700,1.771040,39.574201,0.976991,28.096066,0.719905
44,0.750015,6.076600,1.773840,39.537944,0.977580,28.056190,0.723820
45,0.766682,6.157200,1.707360,39.403302,0.977000,28.026772,0.728143
46,0.783349,6.091800,1.698160,39.148056,0.976281,28.047367,0.737100
47,0.800016,6.290000,1.838880,39.219184,0.977490,28.071125,0.746827
48,0.816683,6.263700,1.770640,39.218663,0.978082,28.121749,0.754572
49,0.833350,6.109100,1.767720,39.170164,0.977666,28.228391,0.767658
50,0.850017,6.322400,1.796880,38.846510,0.977365,28.369213,0.778708
51,0.866684,6.212900,1.814160,38.330422,0.977403,28.374816,0.791332
52,0.883351,6.306900,1.785040,37.922235,0.977363,28.379855,0.806976
53,0.900018,6.006300,1.829640,34.932847,0.971936,27.403796,0.819152
54,0.916685,6.071300,1.709000,32.415855,0.950921,24.160374,0.812107
55,0.933352,5.921400,1.775240,31.517494,0.949156,23.466435,0.812954
56,0.950019,5.747900,1.770040,29.986925,0.936403,22.593186,0.799531
57,0.966686,5.763600,1.782800,27.726929,0.940831,22.087231,0.800585
58,0.983353,5.906300,1.748200,30.340144,0.958344,21.414891,0.795128
59,1.000020,5.635900,1.741320,29.657075,0.963337,21.618720,0.804174
60,1.016687,5.729300,1.674960,33.001448,0.970782,22.217702,0.820311
61,1.033354,6.011200,1.642720,29.595150,0.956699,22.721753,0.830943
62,1.050021,6.003000,1.767960,31.629073,0.954912,24.037870,0.827507
63,1.066688,5.865100,1.720440,31.091594,0.935469,24.385275,0.809623
64,1.083355,5.858600,1.635000,28.695870,0.919199,23.999547,0.785446
65,1.100022,5.450800,1.777480,29.546845,0.931994,24.516135,0.756516
66,1.116689,6.247600,1.788240,32.186146,0.949101,24.181417,0.713709
67,1.133356,5.795500,1.685440,33.106076,0.954429,23.855374,0.673559
68,1.150023,5.730900,1.785840,33.946141,0.956526,23.898561,0.640460
69,1.166690,5.875300,1.795960,31.443263,0.954297,24.078893,0.618898
70,1.183357,6.005000,1.663520,35.294271,0.958193,24.659960,0.613883
71,1.200024,6.071500,1.821800,35.760576,0.959480,24.623892,0.610208
72,1.216691,5.776800,1.756280,36.056469,0.962491,24.550128,0.606408
73,1.233358,5.832100,1.827400,35.974322,0.959844,24.563612,0.606553
74,1.250025,5.969600,1.834720,35.830724,0.958463,24.568479,0.607845
75,1.266692,6.414700,1.752120,35.989662,0.959811,24.502526,0.607624
76,1.283359,5.941600,1.765560,36.062786,0.959988,24.392887,0.601803
77,1.300026,5.914400,1.686440,36.011244,0.959867,24.344183,0.602326
78,1.316693,6.076000,1.668760,35.617018,0.955845,24.376296,0.604296
79,1.333360,5.913700,1.758040,35.672006,0.957190,24.403161,0.604416
80,1.350027,5.847600,1.715040,36.057794,0.960693,24.456525,0.605737
81,1.366694,5.861600,1.735000,36.030217,0.958536,24.610470,0.610978
82,1.383361,5.891600,1.836000,35.904504,0.957245,24.730166,0.615283
83,1.400028,5.874100,1.658480,36.111958,0.959172,24.812160,0.617104
84,1.416695,5.933900,1.773280,36.218177,0.959525,24.849215,0.615295
85,1.433362,5.837700,1.826320,36.151290,0.959335,24.942940,0.619468
86,1.450029,5.915500,1.743400,35.875951,0.955513,25.091444,0.625057
87,1.466696,5.914100,1.770440,36.003741,0.956741,25.156506,0.626798
88,1.483363,5.886700,1.623920,36.192483,0.958757,25.207442,0.627797
89,1.500030,5.732500,1.772160,36.134575,0.956949,25.354329,0.632539
90,1.516697,5.767000,1.775040,36.086086,0.955989,25.490372,0.636574
91,1.533364,5.729900,1.620960,36.280980,0.957937,25.570978,0.638309
92,1.550031,5.953300,1.775800,36.444738,0.958954,25.624499,0.637173
93,1.566698,5.833400,1.851960,36.375138,0.959307,25.724548,0.640846
94,1.583365,5.880900,1.828640,36.089587,0.955459,25.871257,0.645760
95,1.600032,5.901800,1.685800,36.251570,0.956659,25.928828,0.646543
96,1.616699,5.817300,1.740280,36.466615,0.959622,25.946070,0.645996
97,1.633366,6.005500,1.780520,36.318441,0.956914,26.067308,0.649541
98,1.650033,5.903300,1.867680,36.275704,0.956207,26.190855,0.652181
99,1.666700,5.928400,1.658160,36.461113,0.957318,26.309995,0.654499
100,1.683367,6.134500,1.823000,36.621327,0.957851,26.373912,0.653932
101,1.700034,5.637600,1.645560,36.549230,0.957993,26.485243,0.657803
102,1.716701,5.684400,1.691360,36.290652,0.954587,26.618927,0.662006
103,1.733368,5.831500,1.773120,36.444949,0.955926,26.670064,0.661921
104,1.750035,5.672800,1.759240,36.635751,0.958927,26.686510,0.661062
105,1.766702,5.701800,1.606520,36.575877,0.956706,26.826151,0.664919
106,1.783369,5.719200,1.843760,36.435064,0.955796,26.938324,0.668118
107,1.800036,5.780600,1.818440,36.604692,0.957594,26.996014,0.669207
108,1.816703,5.955500,1.827800,36.693306,0.958220,27.014320,0.667307
109,1.833370,5.949300,1.897560,36.619759,0.958381,27.106344,0.669717
110,1.850037,5.805000,1.734920,36.279205,0.954779,27.215018,0.672796
111,1.866704,5.733900,1.674800,36.373129,0.955576,27.224869,0.671504
112,1.883371,5.794700,1.762320,36.477332,0.958442,27.182960,0.668773
113,1.900038,5.836400,1.825000,36.401405,0.955992,27.268818,0.671193
114,1.916705,5.856400,1.676800,36.254190,0.954808,27.346139,0.671979
115,1.933372,5.718300,1.800520,36.427020,0.956700,27.393630,0.672140
116,1.950039,6.006100,1.758400,36.525328,0.957115,27.390829,0.669572
117,1.966706,5.826400,1.767600,36.423019,0.957197,27.462786,0.671331
118,1.983373,5.763200,1.651480,36.235177,0.954168,27.558077,0.673726
119,2.000040,5.817500,1.786000,36.328384,0.955018,27.557157,0.672243
