frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,5.236300,0.933920,35.550418,0.931343,27.740995,0.686805
17,0.300006,5.234400,1.169800,35.712159,0.933337,27.711361,0.684609
18,0.316673,5.146500,0.941880,35.755375,0.934177,27.665790,0.682492
19,0.333340,5.268800,0.931080,35.819052,0.935641,27.632103,0.680269
20,0.350007,5.043400,0.930760,35.848184,0.935266,27.589925,0.678256
21,0.366674,5.570800,0.906800,35.880635,0.935520,27.556858,0.676597
22,0.383341,5.242500,1.014240,35.873813,0.936518,27.509227,0.674881
23,0.400008,5.585600,0.890560,35.887979,0.936512,27.477802,0.673001
24,0.416675,5.463600,0.897640,35.928886,0.937427,27.431128,0.669816
25,0.433342,5.488600,0.894000,35.944032,0.937270,27.391943,0.666757
26,0.450009,5.435600,0.975800,35.983786,0.938493,27.356012,0.665851
27,0.466676,5.898500,0.891040,35.936359,0.939513,27.307985,0.666011
28,0.483343,5.642800,0.889480,35.958356,0.940389,27.288705,0.667171
29,0.500010,5.384500,0.890440,36.044769,0.940947,27.277334,0.667592
30,0.516677,5.664600,0.896200,36.044518,0.940861,27.295112,0.668395
31,0.533344,5.349800,1.089000,36.082638,0.941935,27.338349,0.669510
32,0.550011,5.482600,0.990000,36.083970,0.942625,27.371386,0.670744
33,0.566678,5.568300,0.902720,36.178260,0.944183,27.408202,0.672300
34,0.583345,5.563200,0.987880,36.278847,0.944806,27.463318,0.675054
35,0.600012,5.539700,0.928000,36.322780,0.944920,27.551509,0.680466
36,0.616679,5.293600,1.033120,36.351267,0.945595,27.651837,0.684836
37,0.633346,5.319200,1.025280,36.357214,0.945481,27.731350,0.687876
38,0.650013,5.468500,1.018560,36.375822,0.945662,27.802380,0.693116
39,0.666680,5.497600,0.967280,36.323936,0.945292,27.869090,0.698762
40,0.683347,5.423600,1.050520,36.435116,0.946751,27.955613,0.704145
41,0.700014,5.443200,0.953240,36.481723,0.947813,28.025485,0.710183
42,0.716681,5.438100,0.985080,36.534017,0.948555,28.096835,0.717392
43,0.733348,5.485800,1.046920,36.471394,0.948137,28.167780,0.723908
44,0.750015,5.530900,1.040600,36.434059,0.948453,28.156903,0.728405
45,0.766682,5.526700,0.972000,36.459410,0.949328,28.099866,0.732577
46,0.783349,5.579800,1.025920,36.429308,0.950476,28.077619,0.739672
47,0.800016,5.794200,1.031600,36.382978,0.951001,28.131668,0.749939
48,0.816683,5.736400,0.959440,36.383688,0.952125,28.228613,0.760392
49,0.833350,5.559400,1.037120,36.428646,0.952641,28.311851,0.770438
50,0.850017,5.723700,1.021560,36.313709,0.953326,28.400199,0.780807
51,0.866684,5.612900,1.037880,35.838759,0.952424,28.441693,0.794711
52,0.883351,5.311400,1.051560,35.681607,0.952965,28.467778,0.811009
53,0.900018,5.366900,0.911520,33.845795,0.950951,27.470338,0.823426
54,0.916685,5.106400,0.943360,31.948620,0.933699,24.180708,0.816141
55,0.933352,5.187000,1.032320,31.360851,0.930833,23.510319,0.819983
56,0.950019,5.054400,0.990960,30.143778,0.922035,22.644634,0.809828
57,0.966686,5.162100,0.986000,27.552696,0.922031,22.137274,0.806256
58,0.983353,4.979200,0.920160,30.143360,0.938425,21.440578,0.800275
59,1.000020,4.927500,0.847640,29.565964,0.945499,21.665260,0.810382
60,1.016687,5.016600,1.007880,32.315841,0.956148,22.272198,0.826700
61,1.033354,5.186000,0.894520,30.714362,0.948280,22.755465,0.837504
62,1.050021,5.114600,0.889520,32.560201,0.943651,24.064083,0.833474
63,1.066688,5.282800,0.969720,32.037478,0.919629,24.434290,0.817398
64,1.083355,5.274900,0.997760,29.757485,0.889997,24.029707,0.788538
65,1.100022,4.994700,1.017880,28.979605,0.892729,24.525988,0.758272
66,1.116689,5.234200,0.915960,30.533327,0.902475,24.194767,0.715237
67,1.133356,5.058700,0.943440,30.983486,0.905717,23.905087,0.677119
68,1.150023,5.080100,1.032640,31.705054,0.906078,23.977413,0.648208
69,1.166690,5.085700,0.895680,30.419536,0.903252,24.153964,0.625391
70,1.183357,5.375800,1.048360,32.419380,0.906888,24.707218,0.618839
71,1.200024,5.250400,1.030560,32.546553,0.906067,24.703730,0.616999
72,1.216691,5.144100,1.031280,32.593123,0.905222,24.688766,0.616497
73,1.233358,5.457100,1.016120,32.524495,0.903515,24.684424,0.615421
74,1.250025,5.371000,0.964040,32.536641,0.902983,24.661050,0.615389
75,1.266692,5.334300,1.028360,32.456883,0.901800,24.616580,0.615349
76,1.283359,5.598500,0.906800,32.412865,0.899669,24.546275,0.613322
77,1.300026,5.124300,1.025080,32.401997,0.900147,24.487279,0.612538
78,1.316693,5.209900,0.930400,32.341100,0.898885,24.476763,0.612103
79,1.333360,5.307800,1.053320,32.350508,0.898637,24.540939,0.613854
80,1.350027,5.140500,0.928760,32.352281,0.897015,24.635834,0.616154
81,1.366694,5.375300,0.985720,32.388988,0.897086,24.769662,0.619667
82,1.383361,5.088400,1.041240,32.452612,0.897295,24.873866,0.622531
83,1.400028,5.105500,0.954520,32.458056,0.897442,24.984880,0.624871
84,1.416695,5.449100,1.040920,32.445507,0.896043,25.066715,0.626195
85,1.433362,5.250500,0.969960,32.475663,0.895439,25.160450,0.628915
86,1.450029,5.157700,0.913440,32.520024,0.895433,25.266516,0.632042
87,1.466696,5.315800,0.931400,32.568902,0.895716,25.351780,0.635081
88,1.483363,5.044300,1.028960,32.599836,0.895277,25.453937,0.638092
89,1.500030,4.856200,0.978200,32.560538,0.893582,25.540821,0.639620
90,1.516697,5.082400,0.977240,32.616330,0.893832,25.651238,0.642396
91,1.533364,5.110400,0.922720,32.652058,0.894197,25.757106,0.644358
92,1.550031,5.034100,1.003160,32.700731,0.894729,25.867120,0.647052
93,1.566698,5.510500,1.039520,32.701728,0.893212,25.958658,0.649206
94,1.583365,5.158400,1.095000,32.696976,0.891993,26.051520,0.651723
95,1.600032,5.128600,0.875880,32.755160,0.892767,26.132123,0.654607
96,1.616699,5.175200,1.053040,32.748693,0.892025,26.200769,0.655952
97,1.633366,5.152600,1.037400,32.804735,0.893040,26.266092,0.657209
98,1.650033,5.105900,1.031560,32.803940,0.892190,26.349965,0.658111
99,1.666700,5.396100,1.043120,32.867852,0.891947,26.483057,0.660687
100,1.683367,5.409900,0.958080,32.934853,0.893119,26.598156,0.664567
101,1.700034,5.195900,0.946880,32.956098,0.892679,26.684342,0.666193
102,1.716701,5.416300,0.966320,32.939339,0.891829,26.755880,0.667307
103,1.733368,4.959500,1.020640,32.899157,0.890914,26.820698,0.668184
104,1.750035,5.161200,1.047960,32.937914,0.891144,26.910001,0.670419
105,1.766702,5.015100,0.964760,32.996118,0.891813,26.990852,0.671713
106,1.783369,5.073600,0.953520,33.014680,0.892949,27.058360,0.673099
107,1.800036,5.110600,0.971760,32.959523,0.891972,27.116801,0.674096
108,1.816703,5.205900,1.021240,32.994277,0.891902,27.199879,0.675658
109,1.833370,5.146500,1.018480,33.087756,0.893728,27.272036,0.677100
110,1.850037,4.966400,1.020120,33.057091,0.893104,27.331553,0.677745
111,1.866704,5.191600,1.057960,33.072093,0.893127,27.378694,0.678359
112,1.883371,5.281300,0.906840,32.985866,0.891827,27.393596,0.678050
113,1.900038,5.279600,1.047400,32.967211,0.892200,27.414701,0.677252
114,1.916705,5.656500,1.098040,33.017457,0.893617,27.462654,0.677172
115,1.933372,5.304000,0.927000,33.014982,0.894392,27.527632,0.678477
116,1.950039,5.481700,0.950360,33.028891,0.894459,27.582348,0.679697
117,1.966706,5.231100,0.921680,33.040639,0.894405,27.631603,0.679597
118,1.983373,5.085100,0.915680,33.110967,0.895234,27.683154,0.679850
119,2.000040,4.928900,1.034880,33.105381,0.895963,27.712784,0.679880
