frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,3.110000,0.676160,35.916386,0.939346,28.304563,0.706666
17,0.300006,3.108100,0.616120,35.975605,0.939682,28.258924,0.703693
18,0.316673,3.197100,0.590600,36.004605,0.940653,28.208250,0.700362
19,0.333340,2.668100,0.586640,36.066440,0.941462,28.159724,0.697138
20,0.350007,2.802600,0.566960,36.098097,0.942114,28.098681,0.693814
21,0.366674,3.188100,0.582800,36.189806,0.943470,28.061841,0.691232
22,0.383341,2.544400,0.563920,36.141059,0.943940,27.996567,0.687801
23,0.400008,2.749300,0.549760,36.203390,0.944248,27.957230,0.684541
24,0.416675,2.671500,0.580160,36.318384,0.946029,27.907953,0.679944
25,0.433342,2.628100,0.649960,36.323506,0.946262,27.863395,0.676675
26,0.450009,2.819500,0.610560,36.326393,0.946785,27.816371,0.674039
27,0.466676,2.670500,0.580720,36.214833,0.946424,27.764796,0.672993
28,0.483343,3.794300,0.588720,36.324624,0.947824,27.742289,0.672933
29,0.500010,2.890800,0.560040,36.386423,0.948183,27.710084,0.672581
30,0.516677,3.066200,0.662880,36.396427,0.948967,27.730545,0.672405
31,0.533344,3.031800,0.574720,36.461284,0.949280,27.770342,0.671842
32,0.550011,2.923100,0.587200,36.409655,0.949044,27.803389,0.671712
33,0.566678,3.114000,0.633440,36.462029,0.949923,27.827582,0.672232
34,0.583345,2.970000,0.553480,36.479918,0.950823,27.882463,0.674198
35,0.600012,2.885900,0.539000,36.535391,0.951539,27.977402,0.678631
36,0.616679,2.958100,0.594160,36.640009,0.951797,28.082396,0.682611
37,0.633346,2.848900,0.603640,36.614783,0.952020,28.151903,0.684351
38,0.650013,2.860800,0.581560,36.611518,0.952385,28.231338,0.688576
39,0.666680,2.805200,0.589480,36.706053,0.953334,28.319924,0.693282
40,0.683347,2.805900,0.562120,36.790379,0.954385,28.384280,0.697095
41,0.700014,2.869800,0.537280,36.859419,0.955505,28.461298,0.702705
42,0.716681,2.920500,0.620760,36.999137,0.956340,28.539108,0.709698
43,0.733348,2.859300,0.560160,36.930734,0.956341,28.595501,0.715024
44,0.750015,2.759000,0.547600,36.997224,0.957002,28.582987,0.717138
45,0.766682,2.805500,0.601880,36.890650,0.957078,28.489124,0.718237
46,0.783349,2.705700,0.532800,36.847419,0.958357,28.475996,0.723842
47,0.800016,2.675000,0.587880,36.852607,0.959191,28.528352,0.733484
48,0.816683,2.861500,0.533640,36.864659,0.959589,28.615492,0.744946
49,0.833350,2.761600,0.588160,36.728974,0.959732,28.705527,0.755021
50,0.850017,2.887600,0.589000,36.708833,0.960756,28.814323,0.766246
51,0.866684,2.986600,0.547960,36.451318,0.960085,28.828104,0.781262
52,0.883351,2.659200,0.589320,36.388112,0.960936,28.827010,0.799825
53,0.900018,2.810800,0.525480,34.480656,0.957150,27.750857,0.814588
54,0.916685,2.635900,0.596720,31.658642,0.938615,24.321273,0.809236
55,0.933352,2.841200,0.522440,31.438689,0.936640,23.634436,0.817613
56,0.950019,2.819900,0.539920,28.961798,0.922351,22.742094,0.805079
57,0.966686,2.621500,0.526440,27.492219,0.927040,22.219134,0.798419
58,0.983353,2.912600,0.547760,30.495713,0.943875,21.522843,0.788511
59,1.000020,2.801600,0.515960,29.620207,0.946674,21.732349,0.796252
60,1.016687,2.729500,0.554720,32.144582,0.957272,22.334243,0.809407
61,1.033354,2.760100,0.518600,31.550234,0.950689,22.830851,0.819431
62,1.050021,2.641300,0.514400,33.507866,0.948750,24.174804,0.821015
63,1.066688,2.841500,0.524160,32.390422,0.930103,24.572359,0.815889
64,1.083355,2.929200,0.602720,29.665631,0.903547,24.191698,0.795517
65,1.100022,2.859600,0.578360,29.101384,0.908505,24.751023,0.771238
66,1.116689,2.693200,0.524800,31.036605,0.921264,24.486803,0.728628
67,1.133356,2.865000,0.586720,31.419828,0.920346,24.211585,0.689255
68,1.150023,2.662700,0.527720,32.121915,0.923455,24.309757,0.658038
69,1.166690,2.888300,0.535080,30.396445,0.918925,24.518892,0.635131
70,1.183357,2.739300,0.550680,32.838608,0.926244,25.147689,0.630654
71,1.200024,2.955700,0.524920,32.957732,0.925594,25.147570,0.630902
72,1.216691,2.786600,0.619160,32.962373,0.924522,25.147050,0.633000
73,1.233358,2.914700,0.558600,32.934591,0.922541,25.162676,0.634816
74,1.250025,2.882200,0.593960,32.954608,0.921119,25.164324,0.637987
75,1.266692,2.836100,0.641920,32.863856,0.919731,25.111880,0.639351
76,1.283359,2.917900,0.522600,32.812375,0.918549,25.053689,0.638407
77,1.300026,2.813400,0.569160,32.756844,0.918130,25.004779,0.639055
78,1.316693,2.810300,0.540960,32.776689,0.917615,24.998572,0.639537
