frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,5.179000,1.088080,37.183973,0.955932,27.608022,0.676243
17,0.300006,5.356500,1.065880,37.268832,0.956495,27.587697,0.674772
18,0.316673,5.633700,1.068840,37.358826,0.956883,27.556436,0.673007
19,0.333340,5.581600,1.071560,37.390700,0.957224,27.517670,0.670876
20,0.350007,5.486400,1.232920,37.427488,0.957557,27.476728,0.668974
21,0.366674,5.327500,1.080120,37.468510,0.958073,27.453937,0.667845
22,0.383341,5.606500,1.141440,37.482913,0.958501,27.417744,0.666628
23,0.400008,5.815900,1.043480,37.545663,0.959031,27.388923,0.664840
24,0.416675,5.834100,1.033440,37.642414,0.959903,27.342685,0.662128
25,0.433342,5.445300,1.030960,37.594101,0.959716,27.314880,0.659952
26,0.450009,5.681400,1.063680,37.635883,0.960179,27.288097,0.659291
27,0.466676,6.277700,1.136920,37.538176,0.960067,27.245652,0.659772
28,0.483343,5.723100,1.237720,37.595469,0.960796,27.223177,0.660783
29,0.500010,5.838100,1.031360,37.673309,0.961438,27.212596,0.661506
30,0.516677,5.353900,1.033960,37.714971,0.961854,27.232257,0.662330
31,0.533344,5.837200,1.059720,37.799952,0.962326,27.272748,0.663382
32,0.550011,5.673000,1.166120,37.759797,0.962559,27.302703,0.664885
33,0.566678,5.580200,1.091920,37.741878,0.962855,27.345416,0.666700
34,0.583345,5.659500,1.177520,37.806410,0.963474,27.394674,0.669757
35,0.600012,5.729700,1.171440,37.950180,0.964160,27.484322,0.675377
36,0.616679,5.602600,1.170440,38.034229,0.964553,27.580432,0.679796
37,0.633346,5.695300,1.190120,37.923289,0.964099,27.667794,0.683425
38,0.650013,5.551800,1.184840,37.860477,0.964035,27.743021,0.688966
39,0.666680,5.730300,1.033360,37.793578,0.963561,27.819532,0.695116
40,0.683347,5.707800,1.198640,37.955125,0.964707,27.898183,0.700173
41,0.700014,5.699200,1.197880,37.859640,0.964439,27.968287,0.706581
42,0.716681,5.753600,1.235960,37.863890,0.964556,28.049980,0.714435
43,0.733348,5.724200,1.057440,37.849492,0.964465,28.103426,0.720908
44,0.750015,5.715200,1.198280,37.828629,0.964843,28.093675,0.725185
45,0.766682,5.737500,1.192520,37.722031,0.964586,28.048620,0.729475
46,0.783349,5.800400,1.111440,37.750840,0.965288,28.030158,0.737067
47,0.800016,5.509100,1.118960,37.651464,0.965433,28.078668,0.747203
48,0.816683,5.817100,1.159800,37.609204,0.966044,28.175685,0.758021
49,0.833350,5.743200,1.197360,37.518583,0.965618,28.258351,0.768169
50,0.850017,5.980500,1.079560,37.472517,0.966866,28.369804,0.779243
51,0.866684,5.763100,1.178840,37.044727,0.966556,28.404155,0.792802
52,0.883351,5.657100,1.248160,36.704169,0.965629,28.412665,0.808966
53,0.900018,5.755400,1.181040,34.367412,0.962525,27.431150,0.821579
54,0.916685,5.449200,1.172000,32.187225,0.944765,24.159995,0.813498
55,0.933352,5.675600,1.099800,31.592364,0.940468,23.483911,0.815976
56,0.950019,5.365600,1.060800,29.675805,0.931058,22.620144,0.805307
57,0.966686,5.318400,1.139080,27.847822,0.933407,22.113703,0.802146
58,0.983353,5.615800,1.127800,28.898659,0.947297,21.417246,0.796017
59,1.000020,5.438000,1.109160,28.581366,0.952043,21.633011,0.806082
60,1.016687,5.471200,1.120520,30.879914,0.961703,22.243494,0.822571
61,1.033354,5.487300,1.039920,29.862216,0.953783,22.739229,0.833628
62,1.050021,5.379100,1.057560,31.491842,0.949049,24.038398,0.828297
63,1.066688,5.609700,1.122600,31.655954,0.926381,24.404637,0.811301
64,1.083355,5.365300,1.120040,29.453658,0.904589,24.022022,0.785369
65,1.100022,5.474800,1.205040,29.367227,0.913827,24.503198,0.754836
66,1.116689,5.139900,1.085720,31.299438,0.927618,24.163630,0.711392
67,1.133356,5.611700,1.086560,31.797910,0.931272,23.858813,0.672926
68,1.150023,5.246500,1.051520,32.326702,0.931379,23.928120,0.643182
69,1.166690,5.382700,1.076720,31.157722,0.930293,24.102472,0.619819
70,1.183357,5.571000,1.060880,33.727175,0.935859,24.639963,0.612614
71,1.200024,5.593200,1.113320,34.025383,0.937088,24.631156,0.610840
72,1.216691,5.209300,1.160640,34.106242,0.937219,24.605827,0.609847
73,1.233358,5.529000,1.355240,34.078974,0.935792,24.587312,0.608223
74,1.250025,5.553000,1.040200,34.114410,0.935666,24.565117,0.608407
75,1.266692,5.386200,1.226440,34.072193,0.935274,24.515571,0.608686
76,1.283359,5.446600,1.090160,34.052507,0.934939,24.447821,0.606448
77,1.300026,5.445100,1.215520,34.075465,0.934947,24.388736,0.605318
78,1.316693,5.483700,1.091880,34.069199,0.934553,24.373908,0.604738
79,1.333360,5.592800,1.255480,33.986073,0.933857,24.424114,0.606053
80,1.350027,5.458200,1.069280,34.112275,0.934207,24.526082,0.609554
81,1.366694,5.457300,1.187720,34.092886,0.933357,24.649632,0.612945
82,1.383361,5.395400,1.157640,34.161135,0.933636,24.748136,0.616207
83,1.400028,5.467400,1.184400,34.209829,0.933676,24.854681,0.618494
84,1.416695,5.397100,1.188880,34.209670,0.933164,24.933780,0.619795
85,1.433362,5.360900,1.042800,34.225182,0.933043,25.012594,0.622071
86,1.450029,5.374200,1.189480,34.299839,0.933125,25.111764,0.625102
87,1.466696,5.609700,1.184840,34.306465,0.932958,25.195483,0.628018
88,1.483363,5.340500,1.191000,34.317659,0.932229,25.295436,0.630769
89,1.500030,5.246800,1.088680,34.322090,0.931751,25.399759,0.633925
90,1.516697,5.418900,1.190840,34.434727,0.932437,25.517182,0.637151
91,1.533364,5.367300,1.116600,34.469007,0.932645,25.618877,0.639383
92,1.550031,5.384000,1.067360,34.471572,0.932518,25.716770,0.641329
93,1.566698,5.532000,1.186680,34.493896,0.932504,25.803746,0.643193
94,1.583365,5.280300,1.173680,34.523302,0.932297,25.901837,0.645984
95,1.600032,5.233900,1.135600,34.555567,0.931993,25.985590,0.648167
96,1.616699,5.562300,1.114480,34.591582,0.932008,26.065470,0.650036
97,1.633366,5.609800,1.275400,34.489734,0.930592,26.124283,0.650882
98,1.650033,5.305900,1.091160,34.517828,0.930545,26.217948,0.652588
99,1.666700,5.429200,1.048160,34.595462,0.930323,26.354841,0.655372
100,1.683367,5.314200,1.189600,34.684092,0.931183,26.470029,0.658140
101,1.700034,5.287000,1.080280,34.688051,0.930969,26.559255,0.660201
102,1.716701,5.399200,1.068040,34.724071,0.931330,26.646318,0.662431
103,1.733368,5.291800,1.185120,34.750872,0.931901,26.725490,0.663607
104,1.750035,5.326800,1.115120,34.746118,0.931404,26.808259,0.665484
105,1.766702,5.229600,1.111400,34.748832,0.931318,26.883162,0.666469
106,1.783369,5.603000,1.112400,34.748915,0.931054,26.961770,0.668110
107,1.800036,5.580500,1.194360,34.691986,0.930574,27.029892,0.669459
108,1.816703,5.326300,1.097120,34.744871,0.930993,27.105414,0.670731
109,1.833370,5.503000,1.181680,34.807782,0.931963,27.166518,0.671451
110,1.850037,5.243200,1.226640,34.777729,0.931886,27.218430,0.672014
111,1.866704,5.458200,1.142400,34.745426,0.931893,27.256900,0.672194
