frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,5.495500,1.269440,37.249562,0.956629,27.608022,0.676243
17,0.300006,5.691600,1.301040,37.327487,0.957171,27.587697,0.674772
18,0.316673,5.477500,1.200400,37.410826,0.957467,27.556436,0.673007
19,0.333340,5.541900,1.279200,37.425648,0.957727,27.517670,0.670876
20,0.350007,5.618800,1.123960,37.481428,0.958094,27.476728,0.668974
21,0.366674,5.498500,1.178560,37.514168,0.958579,27.453937,0.667845
22,0.383341,5.648800,1.091240,37.526899,0.959018,27.417744,0.666628
23,0.400008,5.719300,1.209160,37.591103,0.959524,27.388923,0.664840
24,0.416675,5.487300,1.231320,37.671620,0.960305,27.342685,0.662128
25,0.433342,5.781400,1.163160,37.630612,0.960230,27.314880,0.659952
26,0.450009,5.778700,1.090480,37.674118,0.960685,27.288097,0.659291
27,0.466676,6.569600,1.118680,37.584564,0.960606,27.245652,0.659772
28,0.483343,5.880100,1.250400,37.645334,0.961278,27.223177,0.660783
29,0.500010,6.077100,1.108680,37.708835,0.961860,27.212596,0.661506
30,0.516677,6.114800,1.220880,37.744385,0.962250,27.232257,0.662330
31,0.533344,5.528800,1.127440,37.836873,0.962766,27.272748,0.663382
32,0.550011,5.729800,1.275960,37.797442,0.963033,27.302703,0.664885
33,0.566678,5.606500,1.209960,37.772611,0.963317,27.345416,0.666700
34,0.583345,5.774400,1.236120,37.843441,0.963910,27.394674,0.669757
35,0.600012,5.775600,1.166720,37.988063,0.964585,27.484322,0.675377
36,0.616679,5.780600,1.127520,38.062746,0.964964,27.580432,0.679796
37,0.633346,5.684400,1.249600,37.968634,0.964717,27.667794,0.683425
38,0.650013,5.738900,1.295280,37.920259,0.964809,27.743021,0.688966
39,0.666680,5.801100,1.242320,37.871146,0.964583,27.819532,0.695116
40,0.683347,5.865000,1.257640,38.036389,0.965631,27.898183,0.700173
41,0.700014,5.802100,1.309560,37.970132,0.965622,27.968287,0.706581
42,0.716681,5.809300,1.147240,37.999930,0.966005,28.049980,0.714435
43,0.733348,5.777400,1.229680,37.978349,0.965880,28.103426,0.720908
44,0.750015,5.669600,1.250560,37.971169,0.966416,28.093675,0.725185
45,0.766682,5.860900,1.264280,37.888045,0.966229,28.048620,0.729475
46,0.783349,5.757500,1.254400,37.952836,0.967187,28.030158,0.737067
47,0.800016,5.681600,1.221000,37.845888,0.967189,28.078668,0.747203
48,0.816683,5.896800,1.314560,37.779276,0.967683,28.175685,0.758021
49,0.833350,6.053600,1.210440,37.708025,0.967229,28.258351,0.768169
50,0.850017,5.777800,1.231440,37.674723,0.968382,28.369804,0.779243
51,0.866684,5.879700,1.176520,37.197285,0.968040,28.404155,0.792802
52,0.883351,5.958700,1.242000,36.952508,0.967277,28.412665,0.808966
53,0.900018,5.774400,1.133280,34.540231,0.963734,27.431150,0.821579
54,0.916685,5.810600,1.359600,32.504812,0.947155,24.159995,0.813498
55,0.933352,5.589300,1.130200,31.659649,0.942804,23.483911,0.815976
56,0.950019,5.450300,1.158280,29.968707,0.931003,22.620144,0.805307
57,0.966686,5.687200,1.206400,27.799930,0.934278,22.113703,0.802146
58,0.983353,5.280900,1.191440,30.291173,0.949640,21.417246,0.796017
59,1.000020,5.402000,1.085120,29.308820,0.953891,21.633011,0.806082
60,1.016687,5.408700,1.081480,32.283535,0.963887,22.243494,0.822571
61,1.033354,5.483300,1.150600,30.251260,0.954151,22.739229,0.833628
62,1.050021,5.334500,1.053680,31.722717,0.951764,24.038398,0.828297
63,1.066688,5.677100,1.081960,32.208618,0.930129,24.404637,0.811301
64,1.083355,5.776700,1.160480,30.105454,0.907361,24.022022,0.785369
65,1.100022,5.102300,1.186440,29.491421,0.916180,24.503198,0.754836
66,1.116689,5.559300,1.097080,31.479764,0.930569,24.163630,0.711392
67,1.133356,4.963600,1.144600,32.142199,0.934391,23.858813,0.672926
68,1.150023,5.249100,1.235480,32.518539,0.934479,23.928120,0.643182
69,1.166690,5.302200,1.106800,31.260570,0.932391,24.102472,0.619819
70,1.183357,5.528300,1.243280,33.830206,0.937387,24.639963,0.612614
71,1.200024,5.312400,1.232320,34.104645,0.938063,24.631156,0.610840
72,1.216691,5.593300,1.172720,34.180740,0.938023,24.605827,0.609847
73,1.233358,5.666300,1.108560,34.139661,0.936768,24.587312,0.608223
74,1.250025,5.432000,1.236120,34.159560,0.936301,24.565117,0.608407
75,1.266692,5.536100,1.231440,34.116439,0.935871,24.515571,0.608686
76,1.283359,5.362900,1.188640,34.092162,0.935499,24.447821,0.606448
77,1.300026,5.553600,1.185600,34.122101,0.935498,24.388736,0.605318
78,1.316693,5.492700,1.238960,34.111239,0.935095,24.373908,0.604738
79,1.333360,5.412200,1.229720,34.026360,0.934346,24.424114,0.606053
80,1.350027,5.566200,1.237720,34.146388,0.934630,24.526082,0.609554
81,1.366694,5.522600,1.142040,34.133347,0.933950,24.649632,0.612945
