frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,5.905900,1.078920,37.249638,0.956630,27.608022,0.676243
17,0.300006,5.375800,1.208240,37.327468,0.957172,27.587697,0.674772
18,0.316673,5.427500,1.210480,37.410859,0.957467,27.556436,0.673007
19,0.333340,5.455400,1.089040,37.425723,0.957728,27.517670,0.670876
20,0.350007,5.728200,1.108720,37.480896,0.958091,27.476728,0.668974
21,0.366674,5.351300,1.105600,37.514256,0.958580,27.453937,0.667845
22,0.383341,5.375800,1.232960,37.526737,0.959017,27.417744,0.666628
23,0.400008,5.350300,1.245120,37.591187,0.959524,27.388923,0.664840
24,0.416675,5.851500,1.276720,37.670493,0.960300,27.342685,0.662128
25,0.433342,5.263100,1.030920,37.630564,0.960229,27.314880,0.659952
26,0.450009,5.447300,1.057840,37.674342,0.960685,27.288097,0.659291
27,0.466676,6.046100,1.058480,37.584476,0.960606,27.245652,0.659772
28,0.483343,5.527100,1.029640,37.645192,0.961277,27.223177,0.660783
29,0.500010,5.287200,1.034880,37.708754,0.961859,27.212596,0.661506
30,0.516677,5.362800,1.035840,37.744546,0.962251,27.232257,0.662330
31,0.533344,5.562900,1.171120,37.836877,0.962766,27.272748,0.663382
32,0.550011,5.520500,1.054000,37.795239,0.963019,27.302703,0.664885
33,0.566678,5.762600,1.181400,37.772562,0.963316,27.345416,0.666700
34,0.583345,5.553500,1.183120,37.839906,0.963904,27.394674,0.669757
35,0.600012,5.634300,1.070040,37.987418,0.964585,27.484322,0.675377
36,0.616679,5.856600,1.193960,38.062871,0.964967,27.580432,0.679796
37,0.633346,5.937200,1.111920,37.968486,0.964717,27.667794,0.683425
38,0.650013,5.622400,1.108560,37.919945,0.964806,27.743021,0.688966
39,0.666680,6.111200,1.055000,37.871060,0.964583,27.819532,0.695116
40,0.683347,5.752900,1.179840,38.036301,0.965629,27.898183,0.700173
41,0.700014,5.589600,1.222640,37.969968,0.965621,27.968287,0.706581
42,0.716681,5.530100,1.066600,37.999982,0.966005,28.049980,0.714435
43,0.733348,5.501400,1.166760,37.978138,0.965877,28.103426,0.720908
44,0.750015,5.719400,1.114200,37.970847,0.966408,28.093675,0.725185
45,0.766682,5.540600,1.194480,37.885190,0.966237,28.048620,0.729475
46,0.783349,5.611100,1.082120,37.946852,0.967180,28.030158,0.737067
47,0.800016,5.700300,1.084840,37.846628,0.967229,28.078668,0.747203
48,0.816683,5.782200,1.195640,37.777667,0.967676,28.175685,0.758021
49,0.833350,5.773200,1.171000,37.708184,0.967245,28.258351,0.768169
50,0.850017,6.074400,1.183440,37.673847,0.968393,28.369804,0.779243
51,0.866684,5.835500,1.088720,37.195818,0.968036,28.404155,0.792802
52,0.883351,6.027900,1.152040,36.951552,0.967289,28.412665,0.808966
53,0.900018,5.553600,1.191880,34.539180,0.963757,27.431150,0.821579
54,0.916685,5.591300,1.168160,32.463241,0.946719,24.159995,0.813498
55,0.933352,5.278100,1.078200,31.654591,0.942805,23.483911,0.815976
56,0.950019,5.260000,1.099680,29.970343,0.931008,22.620144,0.805307
57,0.966686,5.323700,1.113600,27.847946,0.934360,22.113703,0.802146
58,0.983353,5.110300,1.135160,30.286413,0.949630,21.417246,0.796017
59,1.000020,5.016200,1.112960,29.158709,0.953254,21.633011,0.806082
60,1.016687,5.117800,1.039600,32.115257,0.963512,22.243494,0.822571
61,1.033354,5.026600,1.086880,30.408378,0.954154,22.739229,0.833628
62,1.050021,5.387300,0.973560,31.857230,0.951717,24.038398,0.828297
63,1.066688,5.114600,0.997040,32.055503,0.929697,24.404637,0.811301
64,1.083355,5.190900,1.133920,30.013029,0.906917,24.022022,0.785369
65,1.100022,5.366600,1.160000,29.417816,0.915828,24.503198,0.754836
66,1.116689,5.454200,1.080720,31.353210,0.930081,24.163630,0.711392
67,1.133356,5.027600,1.181520,31.961639,0.934192,23.858813,0.672926
68,1.150023,5.346800,1.094280,32.461129,0.934278,23.928120,0.643182
69,1.166690,5.467700,1.054800,31.262048,0.932467,24.102472,0.619819
70,1.183357,5.420600,1.174360,33.831384,0.937402,24.639963,0.612614
71,1.200024,5.352100,1.159880,34.106147,0.938077,24.631156,0.610840
