frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,5.335600,1.207720,37.237198,0.956589,27.608022,0.676243
17,0.300006,5.810700,1.071920,37.321963,0.957139,27.587697,0.674772
18,0.316673,5.479800,1.259720,37.401539,0.957434,27.556436,0.673007
19,0.333340,5.398100,1.228960,37.409744,0.957681,27.517670,0.670876
20,0.350007,5.211200,1.210040,37.481178,0.958079,27.476728,0.668974
21,0.366674,5.417200,1.095120,37.512233,0.958551,27.453937,0.667845
22,0.383341,5.966100,1.043680,37.524244,0.958997,27.417744,0.666628
23,0.400008,5.257900,1.177680,37.588574,0.959514,27.388923,0.664840
24,0.416675,5.590300,1.404040,37.662542,0.960270,27.342685,0.662128
25,0.433342,5.347200,1.053640,37.617355,0.960200,27.314880,0.659952
26,0.450009,5.549200,1.250160,37.667030,0.960658,27.288097,0.659291
27,0.466676,6.483200,1.028640,37.578204,0.960565,27.245652,0.659772
28,0.483343,5.532200,1.121480,37.640118,0.961252,27.223177,0.660783
29,0.500010,5.333800,1.254120,37.705294,0.961821,27.212596,0.661506
30,0.516677,5.626600,1.027840,37.747708,0.962234,27.232257,0.662330
31,0.533344,5.869800,1.088800,37.832746,0.962736,27.272748,0.663382
32,0.550011,5.740600,1.069120,37.793304,0.963001,27.302703,0.664885
33,0.566678,5.500900,1.186080,37.768412,0.963286,27.345416,0.666700
34,0.583345,5.711900,1.094320,37.837104,0.963866,27.394674,0.669757
35,0.600012,5.575700,1.178840,37.978314,0.964542,27.484322,0.675377
36,0.616679,5.718900,1.180120,38.055285,0.964922,27.580432,0.679796
37,0.633346,5.793600,1.181120,37.961493,0.964672,27.667794,0.683425
38,0.650013,5.519800,1.080680,37.911720,0.964757,27.743021,0.688966
39,0.666680,5.664100,1.074840,37.862643,0.964522,27.819532,0.695116
40,0.683347,5.696700,1.114000,38.029530,0.965588,27.898183,0.700173
41,0.700014,5.519300,1.183480,37.963346,0.965560,27.968287,0.706581
42,0.716681,5.787900,1.186920,37.990424,0.965928,28.049980,0.714435
43,0.733348,5.795700,1.182320,37.967752,0.965821,28.103426,0.720908
44,0.750015,5.635400,1.094880,37.966273,0.966377,28.093675,0.725185
45,0.766682,5.680400,1.093080,37.886540,0.966198,28.048620,0.729475
46,0.783349,5.668600,1.118040,37.942943,0.967122,28.030158,0.737067
47,0.800016,5.695200,1.191280,37.835418,0.967164,28.078668,0.747203
48,0.816683,5.725200,1.117040,37.781388,0.967646,28.175685,0.758021
49,0.833350,5.805700,1.175720,37.699320,0.967201,28.258351,0.768169
50,0.850017,5.890700,1.195120,37.672186,0.968321,28.369804,0.779243
51,0.866684,5.756400,1.192640,37.183332,0.967957,28.404118,0.792799
52,0.883351,5.555300,1.088080,36.934393,0.967198,28.412665,0.808966
53,0.900018,5.697400,1.239920,34.533860,0.963711,27.431150,0.821579
54,0.916685,5.551500,1.181280,32.455792,0.946631,24.159995,0.813498
55,0.933352,5.436700,1.061280,31.653286,0.942739,23.483911,0.815976
56,0.950019,5.244600,1.306840,29.961212,0.930945,22.620144,0.805307
57,0.966686,5.145000,1.165720,27.797767,0.934056,22.113703,0.802146
58,0.983353,5.265200,1.139080,30.294576,0.949649,21.417246,0.796017
59,1.000020,5.637500,1.118520,29.310560,0.953931,21.633011,0.806082
60,1.016687,5.370800,1.163400,32.281743,0.963836,22.243494,0.822571
61,1.033354,5.409900,1.004760,30.248284,0.954079,22.739229,0.833628
62,1.050021,5.457600,1.030120,31.720095,0.951697,24.038398,0.828297
63,1.066688,5.412000,1.058080,32.204183,0.930182,24.404637,0.811301
64,1.083355,5.298200,1.023320,29.675519,0.906840,24.022022,0.785369
65,1.100022,5.209200,1.153520,29.458962,0.915772,24.503198,0.754836
66,1.116689,4.969000,1.185560,31.428655,0.930349,24.163630,0.711392
67,1.133356,5.664900,1.183080,32.122938,0.934312,23.858813,0.672926
68,1.150023,5.201900,1.130760,32.517420,0.934505,23.928120,0.643182
69,1.166690,5.308000,1.185880,31.258859,0.932416,24.102472,0.619819
70,1.183357,5.525700,1.220720,33.826778,0.937347,24.639963,0.612614
71,1.200024,5.373200,1.214800,34.089830,0.937974,24.631156,0.610840
72,1.216691,5.376300,1.178560,34.169370,0.937960,24.605827,0.609847
