frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,5.396800,1.220760,37.249535,0.956629,27.608022,0.676243
17,0.300006,5.510600,1.107120,37.327417,0.957171,27.587697,0.674772
18,0.316673,5.651900,1.060760,37.410849,0.957467,27.556436,0.673007
19,0.333340,5.482600,1.183120,37.425637,0.957727,27.517670,0.670876
20,0.350007,5.422200,1.042080,37.481417,0.958094,27.476728,0.668974
21,0.366674,5.504900,1.195560,37.514163,0.958579,27.453937,0.667845
22,0.383341,5.455400,1.302240,37.526902,0.959018,27.417744,0.666628
23,0.400008,5.440100,1.094880,37.591098,0.959524,27.388923,0.664840
24,0.416675,5.848800,1.124200,37.671601,0.960305,27.342685,0.662128
25,0.433342,5.721500,1.028160,37.630600,0.960230,27.314880,0.659952
26,0.450009,5.342600,1.393240,37.674120,0.960685,27.288097,0.659291
27,0.466676,6.529000,1.239960,37.584551,0.960606,27.245652,0.659772
28,0.483343,5.567000,1.051920,37.645321,0.961278,27.223177,0.660783
29,0.500010,5.448100,1.031760,37.708815,0.961860,27.212596,0.661506
30,0.516677,5.610300,1.035760,37.744374,0.962249,27.232257,0.662330
31,0.533344,5.600700,1.172520,37.836875,0.962766,27.272748,0.663382
32,0.550011,6.122700,1.169320,37.797436,0.963032,27.302703,0.664885
33,0.566678,5.493700,1.189520,37.772606,0.963317,27.345416,0.666700
34,0.583345,5.690100,1.033800,37.843438,0.963910,27.394674,0.669757
35,0.600012,5.673400,1.039200,37.988057,0.964585,27.484322,0.675377
36,0.616679,5.572700,1.030240,38.062753,0.964965,27.580432,0.679796
37,0.633346,5.744800,1.087640,37.968639,0.964717,27.667794,0.683425
38,0.650013,5.670600,1.193440,37.920236,0.964809,27.743021,0.688966
39,0.666680,5.738900,1.180720,37.871164,0.964584,27.819532,0.695116
40,0.683347,6.079400,1.188960,38.036388,0.965631,27.898183,0.700173
41,0.700014,5.766900,1.195440,37.970121,0.965622,27.968287,0.706581
42,0.716681,5.637700,1.097960,37.999943,0.966005,28.049980,0.714435
43,0.733348,5.590200,1.131880,37.978505,0.965880,28.103426,0.720908
44,0.750015,5.645800,1.058280,37.971107,0.966417,28.093675,0.725185
45,0.766682,6.011200,1.192880,37.886833,0.966244,28.048620,0.729475
46,0.783349,5.445200,1.093120,37.949667,0.967190,28.030158,0.737067
47,0.800016,5.634400,1.190600,37.846982,0.967231,28.078668,0.747203
48,0.816683,5.659800,1.091280,37.778295,0.967680,28.175685,0.758021
49,0.833350,5.768700,1.159880,37.708543,0.967246,28.258351,0.768169
50,0.850017,5.720600,1.189920,37.675167,0.968395,28.369804,0.779243
51,0.866684,5.729900,1.190080,37.196838,0.968037,28.404155,0.792802
52,0.883351,5.519400,1.092240,36.952980,0.967287,28.412665,0.808966
53,0.900018,5.567200,1.193640,34.540692,0.963759,27.431150,0.821579
54,0.916685,5.370000,1.170640,32.462842,0.946705,24.159995,0.813498
55,0.933352,5.226100,1.138960,31.660302,0.942803,23.483911,0.815976
56,0.950019,5.378100,1.134320,29.967826,0.930997,22.620144,0.805307
57,0.966686,5.116900,1.067760,27.799519,0.934096,22.113703,0.802146
58,0.983353,5.193000,1.069320,30.296171,0.949692,21.417246,0.796017
59,1.000020,5.251200,1.097800,29.309910,0.953927,21.633011,0.806082
60,1.016687,5.584000,1.045920,32.285987,0.963878,22.243494,0.822571
61,1.033354,5.395200,0.980120,30.247056,0.954076,22.739229,0.833628
62,1.050021,5.279800,1.024520,31.722109,0.951752,24.038398,0.828297
63,1.066688,5.460200,1.117200,32.202942,0.930083,24.404637,0.811301
64,1.083355,5.412100,1.127480,30.101570,0.907379,24.022022,0.785369
65,1.100022,5.406200,1.054440,29.497637,0.916293,24.503198,0.754836
66,1.116689,4.923100,1.154280,31.472061,0.930539,24.163630,0.711392
67,1.133356,5.274100,1.199080,32.131937,0.934411,23.858813,0.672926
68,1.150023,4.900000,1.097520,32.516070,0.934488,23.928120,0.643182
69,1.166690,5.262900,1.084160,31.261994,0.932468,24.102472,0.619819
70,1.183357,5.523100,1.047000,33.830492,0.937394,24.639963,0.612614
71,1.200024,5.332300,1.178880,34.104665,0.938063,24.631156,0.610840
72,1.216691,5.275100,1.154720,34.180730,0.938022,24.605827,0.609847
73,1.233358,5.287800,1.198960,34.139652,0.936768,24.587312,0.608223
74,1.250025,5.132800,1.110480,34.159557,0.936301,24.565117,0.608407
75,1.266692,5.279600,1.201280,34.116446,0.935870,24.515571,0.608686
76,1.283359,5.380100,1.273920,34.092172,0.935499,24.447821,0.606448
77,1.300026,5.299800,1.184640,34.122106,0.935498,24.388736,0.605318
78,1.316693,5.386500,1.135400,34.111238,0.935095,24.373908,0.604738
