frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,5.326700,1.281800,36.338483,0.940182,27.608022,0.676243
17,0.300006,5.113300,1.007840,36.425892,0.941532,27.587697,0.674772
18,0.316673,5.470800,1.001360,36.487460,0.942346,27.556436,0.673007
19,0.333340,5.356800,1.025360,36.610807,0.944239,27.517670,0.670876
20,0.350007,5.503900,1.015880,36.580080,0.943675,27.476728,0.668974
21,0.366674,5.980300,1.013320,36.665337,0.945145,27.453937,0.667845
22,0.383341,5.587200,0.990640,36.588178,0.944830,27.417744,0.666628
23,0.400008,5.333000,1.111160,36.732232,0.945997,27.388923,0.664840
24,0.416675,5.619200,0.950840,36.827300,0.948125,27.342685,0.662128
25,0.433342,5.500700,0.973320,36.671344,0.945205,27.314880,0.659952
26,0.450009,5.467700,0.946640,36.689766,0.945927,27.288097,0.659291
27,0.466676,5.253700,0.952280,36.402257,0.945623,27.245652,0.659772
28,0.483343,6.565700,0.947760,36.640722,0.948328,27.223177,0.660783
29,0.500010,5.706100,0.978560,36.870012,0.949164,27.212596,0.661506
30,0.516677,5.515500,0.943560,36.890000,0.950068,27.232257,0.662330
31,0.533344,5.306600,0.972000,36.915977,0.949312,27.272748,0.663382
32,0.550011,5.538800,1.007200,36.803225,0.948580,27.302703,0.664885
33,0.566678,5.572700,0.950600,36.862158,0.949353,27.345416,0.666700
34,0.583345,5.607700,1.132280,36.900227,0.950552,27.394674,0.669757
35,0.600012,5.503700,1.141640,36.985377,0.951257,27.484322,0.675377
36,0.616679,5.545100,1.114440,37.027336,0.951063,27.580432,0.679796
37,0.633346,5.777800,1.047080,36.682310,0.946322,27.667794,0.683425
38,0.650013,5.893800,1.141600,36.331025,0.941922,27.743021,0.688966
39,0.666680,5.687600,1.046600,35.906800,0.935193,27.819532,0.695116
40,0.683347,5.693300,0.993640,36.126863,0.940096,27.898183,0.700173
41,0.700014,5.620400,1.004080,35.700843,0.934643,27.968287,0.706581
42,0.716681,5.557900,1.103080,35.308859,0.927917,28.049980,0.714435
43,0.733348,5.453600,1.112400,35.251039,0.927959,28.103426,0.720908
44,0.750015,5.722600,1.005400,35.075433,0.925223,28.093675,0.725185
45,0.766682,5.568000,1.046640,34.840615,0.923677,28.048620,0.729475
46,0.783349,5.557700,0.956800,34.719645,0.920299,28.030158,0.737067
47,0.800016,5.614600,1.109080,34.687824,0.922612,28.078668,0.747203
48,0.816683,5.439500,1.109120,34.763999,0.926202,28.175685,0.758021
49,0.833350,5.708600,1.078880,34.742781,0.927588,28.258351,0.768169
50,0.850017,5.772800,1.005080,34.803939,0.931246,28.369804,0.779243
51,0.866684,5.860700,1.047560,34.190135,0.930842,28.404155,0.792802
52,0.883351,5.758300,1.012320,33.691545,0.928830,28.412665,0.808966
53,0.900018,5.548900,1.065080,31.093355,0.928436,27.431150,0.821579
54,0.916685,5.618900,0.989760,27.607346,0.912757,24.159995,0.813498
55,0.933352,5.294100,1.088840,28.428637,0.916442,23.483911,0.815976
56,0.950019,5.126500,0.963480,29.066413,0.915960,22.620144,0.805307
57,0.966686,5.131100,1.073760,27.319585,0.924195,22.113703,0.802146
58,0.983353,5.211200,0.990560,27.253110,0.922863,21.417246,0.796017
59,1.000020,5.309200,1.025480,28.600714,0.936309,21.633011,0.806082
60,1.016687,5.560000,1.045200,30.485209,0.946681,22.243494,0.822571
61,1.033354,5.408100,0.990680,27.805299,0.941285,22.739229,0.833628
62,1.050021,5.449400,0.906640,28.514936,0.930191,24.038398,0.828297
63,1.066688,5.132200,0.896360,29.201101,0.923375,24.404637,0.811301
64,1.083355,5.262100,0.929760,26.984974,0.891426,24.022022,0.785369
65,1.100022,5.311100,1.162440,25.918002,0.881857,24.503198,0.754836
66,1.116689,5.402100,1.221560,28.233321,0.887730,24.163630,0.711392
67,1.133356,5.601500,1.114800,28.363684,0.886916,23.858813,0.672926
68,1.150023,5.334600,1.119240,30.493434,0.890173,23.928120,0.643182
69,1.166690,5.230700,1.121720,31.093867,0.899959,24.102472,0.619819
70,1.183357,5.135800,1.103160,32.639494,0.917559,24.639963,0.612614
71,1.200024,5.425100,1.111760,33.253269,0.926366,24.631156,0.610840
72,1.216691,5.305800,1.110600,33.492777,0.928361,24.605827,0.609847
73,1.233358,5.020700,1.016400,33.343411,0.923469,24.587312,0.608223
74,1.250025,4.983600,1.116800,33.719328,0.928270,24.565117,0.608407
75,1.266692,5.181800,1.113680,33.619578,0.927824,24.515571,0.608686
76,1.283359,5.184900,0.960240,33.546990,0.927491,24.447821,0.606448
77,1.300026,5.181000,1.117680,33.651229,0.929192,24.388736,0.605318
78,1.316693,5.338800,1.038160,33.624808,0.927903,24.373908,0.604738
79,1.333360,5.257200,1.131440,33.522845,0.928205,24.424114,0.606053
80,1.350027,5.093300,1.105520,33.838046,0.929614,24.526082,0.609554
81,1.366694,5.527500,1.156720,33.699888,0.926255,24.649632,0.612945
82,1.383361,5.200000,1.119240,33.801299,0.927099,24.748136,0.616207
83,1.400028,5.581700,0.952880,33.833395,0.926303,24.854681,0.618494
84,1.416695,5.383400,0.968440,33.834604,0.925774,24.933780,0.619795
85,1.433362,4.938300,1.114480,33.831519,0.924808,25.012594,0.622071
86,1.450029,5.290700,0.996640,33.962926,0.926673,25.111764,0.625102
87,1.466696,5.295300,0.990640,33.962190,0.926288,25.195483,0.628018
88,1.483363,5.388100,1.008640,33.885257,0.924099,25.295436,0.630769
89,1.500030,5.053400,1.023480,33.881468,0.922300,25.399759,0.633925
90,1.516697,5.330100,1.106760,34.048179,0.924571,25.517182,0.637151
91,1.533364,5.293500,1.048120,34.125346,0.925552,25.618877,0.639383
92,1.550031,5.118200,0.960920,34.090393,0.924749,25.716770,0.641329
93,1.566698,5.032900,1.103040,34.164380,0.926001,25.803746,0.643193
94,1.583365,5.289700,1.111720,34.154893,0.925165,25.901837,0.645984
95,1.600032,5.321600,0.999080,34.207501,0.924732,25.985590,0.648167
96,1.616699,5.209100,1.156000,34.250320,0.925650,26.065470,0.650036
97,1.633366,5.241600,1.127520,34.108775,0.922948,26.124283,0.650882
98,1.650033,5.475000,1.035880,34.143212,0.922737,26.217948,0.652588
