frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,5.116100,0.855680,37.223926,0.957444,27.608022,0.676243
17,0.300006,5.227700,0.931080,37.316801,0.957906,27.587697,0.674772
18,0.316673,5.104000,0.869120,37.415296,0.958281,27.556436,0.673007
19,0.333340,5.342800,0.866120,37.430567,0.958386,27.517670,0.670876
20,0.350007,5.097000,0.958040,37.475685,0.958831,27.476728,0.668974
21,0.366674,5.338300,0.894000,37.510803,0.959189,27.453937,0.667845
22,0.383341,5.277600,0.865760,37.531478,0.959623,27.417744,0.666628
23,0.400008,5.118900,0.876080,37.566984,0.959886,27.388923,0.664840
24,0.416675,5.239000,0.843880,37.675195,0.960669,27.342685,0.662128
25,0.433342,5.210900,0.873320,37.657577,0.960760,27.314880,0.659952
26,0.450009,5.366800,0.839520,37.679067,0.961177,27.288097,0.659291
27,0.466676,5.737300,1.008920,37.634408,0.961232,27.245652,0.659772
28,0.483343,5.542600,0.833680,37.662657,0.961827,27.223177,0.660783
29,0.500010,5.686100,0.955120,37.709694,0.962368,27.212596,0.661506
30,0.516677,5.791800,0.854520,37.752568,0.962704,27.232257,0.662330
31,0.533344,5.561500,0.840880,37.836619,0.963199,27.272748,0.663382
32,0.550011,5.521900,0.957560,37.792338,0.963546,27.302703,0.664885
33,0.566678,5.468000,0.839840,37.784717,0.963861,27.345416,0.666700
34,0.583345,6.133400,0.973400,37.849676,0.964385,27.394674,0.669757
35,0.600012,5.295400,0.996040,37.994471,0.965063,27.484322,0.675377
36,0.616679,5.260000,0.866080,38.074163,0.965540,27.580432,0.679796
37,0.633346,5.487400,1.001080,38.012320,0.965496,27.667794,0.683425
38,0.650013,5.571400,0.996320,37.986603,0.965876,27.743021,0.688966
39,0.666680,5.480900,0.945400,37.976025,0.966027,27.819532,0.695116
40,0.683347,5.472700,0.842360,38.104868,0.966630,27.898183,0.700173
41,0.700014,5.502400,0.860240,38.097342,0.967017,27.968287,0.706581
42,0.716681,5.235400,0.851600,38.149358,0.967884,28.049980,0.714435
43,0.733348,5.349600,0.904600,38.153380,0.967817,28.103426,0.720908
44,0.750015,5.249700,1.019040,38.154015,0.968478,28.093675,0.725185
45,0.766682,5.244100,0.997680,38.083600,0.968285,28.048620,0.729475
46,0.783349,5.330900,0.955920,38.085889,0.969193,28.030158,0.737067
47,0.800016,5.465900,0.999080,37.984252,0.969203,28.078668,0.747203
48,0.816683,5.353300,1.009080,37.916990,0.969614,28.175685,0.758021
49,0.833350,5.272400,0.998560,37.761272,0.968670,28.258351,0.768169
50,0.850017,5.449400,0.905360,37.716660,0.969831,28.369804,0.779243
51,0.866684,5.534400,1.008040,37.305520,0.969426,28.404155,0.792802
52,0.883351,5.323900,0.894880,36.960258,0.968827,28.412665,0.808966
53,0.900018,5.244900,0.887240,34.676788,0.965428,27.431150,0.821579
54,0.916685,5.178000,0.986640,32.230312,0.950818,24.159995,0.813498
55,0.933352,4.945800,1.006000,31.180694,0.943768,23.483911,0.815976
56,0.950019,4.994500,0.919840,28.393252,0.931670,22.620144,0.805307
57,0.966686,5.018500,0.901600,26.743132,0.934778,22.113703,0.802146
58,0.983353,4.848900,0.925520,27.702356,0.950033,21.417246,0.796017
59,1.000020,5.155800,0.844000,27.185465,0.952783,21.633011,0.806082
60,1.016687,4.904800,0.895000,29.187031,0.960904,22.243494,0.822571
61,1.033354,4.960300,0.825600,29.043281,0.951917,22.739229,0.833628
62,1.050021,4.762900,0.948080,31.358552,0.950533,24.038398,0.828297
63,1.066688,4.944100,0.943880,30.919684,0.925710,24.404637,0.811301
64,1.083355,5.067100,0.795040,28.497789,0.909398,24.022022,0.785369
65,1.100022,5.425900,1.133960,29.062937,0.919852,24.503198,0.754836
66,1.116689,5.101100,1.157040,31.356547,0.932989,24.163630,0.711392
67,1.133356,4.999500,0.888440,31.942424,0.935510,23.858813,0.672926
68,1.150023,5.178900,0.951800,31.760063,0.934944,23.928120,0.643182
69,1.166690,5.320300,0.954280,30.594073,0.932229,24.102472,0.619819
70,1.183357,5.406300,0.954720,33.752182,0.937119,24.639963,0.612614
71,1.200024,5.094200,0.996800,34.047321,0.937739,24.631156,0.610840
72,1.216691,5.190300,0.991760,34.086946,0.937386,24.605827,0.609847
73,1.233358,5.022500,0.958640,34.091017,0.936717,24.587312,0.608223
74,1.250025,4.979100,0.898160,34.077744,0.935676,24.565117,0.608407
75,1.266692,5.125600,0.937400,34.069239,0.935410,24.515571,0.608686
76,1.283359,5.077600,1.004000,34.063280,0.935062,24.447821,0.606448
77,1.300026,4.984700,0.996800,34.090854,0.934954,24.388736,0.605318
78,1.316693,5.227800,0.990000,34.071304,0.934527,24.373908,0.604738
79,1.333360,4.989100,0.994200,33.999669,0.933737,24.424114,0.606053
80,1.350027,5.107100,1.005920,34.075057,0.933712,24.526082,0.609554
81,1.366694,5.110600,1.002720,34.084368,0.933474,24.649632,0.612945
82,1.383361,5.082000,1.010120,34.141767,0.933583,24.748136,0.616207
83,1.400028,5.316200,1.051240,34.207401,0.933917,24.854681,0.618494
84,1.416695,5.302200,0.893440,34.204728,0.933393,24.933780,0.619795
85,1.433362,5.376900,0.909440,34.224234,0.933454,25.012594,0.622071
86,1.450029,5.037100,0.948320,34.285752,0.933234,25.111764,0.625102
87,1.466696,5.183100,1.228800,34.299094,0.933135,25.195483,0.628018
88,1.483363,5.129100,1.007840,34.321495,0.932670,25.295436,0.630769
89,1.500030,5.143300,1.023720,34.319362,0.932349,25.399759,0.633925
90,1.516697,5.000100,1.000560,34.423089,0.932651,25.517182,0.637151
91,1.533364,5.154000,0.914560,34.451551,0.932734,25.618877,0.639383
92,1.550031,5.059300,0.900040,34.458113,0.932623,25.716770,0.641329
93,1.566698,5.056400,0.997440,34.472657,0.932381,25.803746,0.643193
94,1.583365,5.097200,1.011560,34.497852,0.932170,25.901837,0.645984
95,1.600032,5.228600,1.009880,34.535730,0.932055,25.985590,0.648167
96,1.616699,5.176300,1.006840,34.578985,0.931997,26.065470,0.650036
97,1.633366,5.303900,0.961160,34.495413,0.931019,26.124283,0.650882
98,1.650033,5.032600,0.956920,34.518389,0.930927,26.217948,0.652588
99,1.666700,5.257600,0.886240,34.598670,0.930959,26.354841,0.655372
100,1.683367,5.023500,0.953080,34.673663,0.931613,26.470029,0.658140
101,1.700034,5.356300,0.974000,34.689685,0.931694,26.559255,0.660201
102,1.716701,5.231900,0.918240,34.720813,0.931823,26.646318,0.662431
103,1.733368,5.035000,0.830680,34.738166,0.932144,26.725490,0.663607
104,1.750035,4.922900,0.837720,34.732828,0.931695,26.808259,0.665484
105,1.766702,4.963000,0.856520,34.735356,0.931292,26.883162,0.666469
106,1.783369,5.169900,0.839640,34.731027,0.930881,26.961770,0.668110
107,1.800036,5.091900,1.022840,34.680444,0.930581,27.029892,0.669459
108,1.816703,5.163900,0.986600,34.731201,0.931051,27.105414,0.670731
109,1.833370,5.120400,0.897360,34.782962,0.931730,27.166518,0.671451
110,1.850037,5.330300,0.901800,34.770667,0.931892,27.218430,0.672014
111,1.866704,4.945300,1.017280,34.740699,0.931886,27.256900,0.672194
112,1.883371,5.149900,0.901640,34.664865,0.931809,27.283091,0.672597
113,1.900038,4.937800,1.004720,34.660454,0.931581,27.305847,0.672111
114,1.916705,4.941700,0.997040,34.706365,0.931889,27.359970,0.672321
115,1.933372,5.162300,0.998240,34.636792,0.930948,27.402450,0.671819
116,1.950039,5.072800,0.946280,34.626817,0.931065,27.452987,0.671934
117,1.966706,5.312300,1.000600,34.638723,0.931323,27.495526,0.671927
118,1.983373,5.350400,1.013960,34.723324,0.932218,27.544236,0.672350
119,2.000040,5.100100,1.008000,34.726580,0.932702,27.577691,0.672596
