frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend,psnr_hud,ssim_hud,psnr_hud_blend,ssim_hud_blend
10,0.550000,7.139000,1.117760,30.913317,0.944199,25.656387,0.619620,18.183808,0.805020,38.622352,0.966081
11,0.600000,7.593900,1.106400,30.352602,0.944135,25.760700,0.627623,17.427651,0.778851,39.755201,0.973357
12,0.650000,7.571500,1.121600,30.149857,0.942659,25.942982,0.637670,17.157668,0.762307,40.475990,0.976921
13,0.700000,7.125900,1.126120,29.698309,0.941034,26.127051,0.652542,16.519128,0.728387,40.803447,0.978913
14,0.750000,7.849700,1.262640,29.636544,0.942108,26.198988,0.669298,16.541527,0.726126,41.280413,0.982538
15,0.800000,7.606800,1.180080,29.403778,0.942295,25.605813,0.684442,16.574540,0.731034,35.357359,0.972599
16,0.850000,7.508800,1.306360,29.298959,0.943472,25.586489,0.712719,16.333944,0.719644,35.031852,0.968668
17,0.900000,7.153100,1.169880,27.276009,0.929193,24.564281,0.745721,15.328358,0.659820,33.969187,0.995392
18,0.950000,7.169300,1.146800,20.369418,0.787531,19.641586,0.725010,11.133387,0.250836,27.017383,0.959156
19,1.000000,7.040500,1.158080,18.932424,0.839969,18.231585,0.741287,10.994798,0.199850,29.421901,0.928321
20,1.050000,7.011600,1.086640,19.783793,0.832615,19.719469,0.780042,11.590218,0.110935,26.083342,0.910465
21,1.100000,6.966100,1.043760,21.447121,0.835200,20.681907,0.687409,12.982837,0.418676,39.032815,0.974013
22,1.150000,6.800300,1.016320,25.424322,0.870228,20.998649,0.584091,20.906080,0.894883,39.493537,0.977868
23,1.200000,6.767200,1.021800,27.533572,0.892759,22.239545,0.537821,20.553260,0.890901,39.240358,0.977601
24,1.250000,6.982400,1.093080,30.147099,0.902909,22.562245,0.535457,20.246024,0.885749,39.155185,0.977760
25,1.300000,7.767300,1.082600,30.094563,0.900430,22.508104,0.533995,19.853700,0.878374,38.667437,0.975782
26,1.350000,6.945700,1.112320,30.099629,0.910806,22.663736,0.537262,19.472564,0.873882,38.395632,0.973854
27,1.400000,6.819000,1.153960,30.179311,0.912441,22.905867,0.543735,19.264875,0.869109,37.948227,0.971766
28,1.450000,6.721000,1.219240,30.045832,0.910771,23.097688,0.550888,19.152931,0.868690,37.745809,0.970773
29,1.500000,6.889000,1.200240,30.300071,0.914262,23.296813,0.559290,19.138632,0.867350,37.362963,0.966467
