frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend,psnr_hud,ssim_hud,psnr_hud_blend,ssim_hud_blend
16,0.283339,7.131400,1.158520,32.649828,0.952062,27.758152,0.691915,20.366912,0.879936,38.161071,0.956544
17,0.300006,7.160400,1.315080,32.753747,0.952590,27.739928,0.690470,20.542837,0.882103,38.012861,0.956054
18,0.316673,7.162200,1.282040,32.754257,0.952834,27.709044,0.688652,20.483196,0.881116,37.958283,0.955738
19,0.333340,7.442600,1.255280,32.756599,0.952978,27.671466,0.686642,20.496335,0.878694,37.834659,0.954501
20,0.350007,6.926100,1.166920,32.729746,0.953340,27.636087,0.685236,20.524277,0.878495,37.632659,0.954194
21,0.366674,7.149100,1.155200,32.737993,0.953651,27.615859,0.684179,20.461415,0.877000,37.508494,0.952114
22,0.383341,6.711200,1.194160,32.638287,0.953959,27.577676,0.682798,20.372587,0.874295,37.369986,0.950229
23,0.400008,7.152100,1.240280,32.441373,0.954100,27.550046,0.681061,19.991825,0.865270,37.236834,0.946760
24,0.416675,6.765100,1.084600,32.393260,0.954721,27.508137,0.678492,19.893791,0.861945,37.129272,0.944815
25,0.433342,7.896300,1.159800,32.232603,0.954311,27.481312,0.676195,19.712882,0.856451,37.211564,0.944700
26,0.450009,7.097200,1.116760,32.296521,0.954773,27.450933,0.675613,19.808371,0.856679,37.381809,0.948800
27,0.466676,6.880700,1.104000,32.349291,0.954898,27.403717,0.675900,19.957775,0.861648,37.522471,0.951603
28,0.483343,7.273200,1.171200,32.359449,0.955359,27.375645,0.676350,20.014034,0.859930,37.683960,0.953254
29,0.500010,6.972000,1.168960,32.349812,0.955723,27.359027,0.676595,19.919873,0.856379,37.869190,0.955227
30,0.516677,7.058300,1.119280,32.365618,0.956112,27.373115,0.676938,19.910896,0.855416,38.116088,0.956219
31,0.533344,6.857300,1.181520,32.397936,0.956661,27.409268,0.677626,19.916929,0.854405,38.095738,0.955710
32,0.550011,6.999900,1.252360,32.106518,0.956602,27.432263,0.678624,19.529022,0.848028,38.229796,0.956739
33,0.566678,7.115700,1.108800,32.025332,0.956899,27.463221,0.679700,19.366504,0.848691,38.658861,0.960612
34,0.583345,7.334200,1.285520,31.776338,0.957262,27.499643,0.681580,18.962558,0.842397,38.982168,0.963930
35,0.600012,7.058300,1.196520,31.626372,0.957565,27.576799,0.686054,18.715254,0.838193,39.269689,0.966546
36,0.616679,7.138000,1.259800,31.602671,0.957926,27.660771,0.689609,18.656214,0.837849,39.641583,0.969965
37,0.633346,7.035700,1.153200,31.544329,0.957659,27.743190,0.693033,18.580029,0.835201,39.774457,0.971406
38,0.650013,6.972000,1.308680,31.585643,0.957714,27.819336,0.698152,18.632900,0.831636,39.806549,0.972164
39,0.666680,6.900900,1.310400,31.783035,0.957975,27.898069,0.703741,18.895333,0.836903,39.756622,0.970926
40,0.683347,7.086800,1.241680,32.037852,0.958970,27.978824,0.708330,19.236709,0.842531,39.738168,0.971607
41,0.700014,7.402500,1.249800,32.102361,0.959053,28.047904,0.714139,19.337548,0.846010,39.845637,0.973309
42,0.716681,7.016700,1.234440,31.899450,0.959021,28.127330,0.721408,19.050925,0.841084,40.003762,0.976202
43,0.733348,6.998500,1.256920,31.687223,0.958610,28.179379,0.727412,18.804013,0.832596,40.146115,0.978091
44,0.750015,7.442000,1.117040,31.479628,0.958727,28.166428,0.731072,18.565271,0.824786,40.386926,0.979342
45,0.766682,7.081700,1.140440,31.328111,0.958367,28.126024,0.734819,18.324591,0.819414,40.229457,0.979870
46,0.783349,6.882600,1.145560,31.359185,0.958775,28.133967,0.742348,18.399271,0.815566,39.155835,0.980852
47,0.800016,7.236300,1.202080,31.225106,0.958805,28.182736,0.751478,18.257558,0.804762,39.358259,0.986235
48,0.816683,7.034400,1.257160,31.077047,0.959525,28.278762,0.761716,17.970166,0.803051,39.308492,0.985480
49,0.833350,7.214400,1.165720,30.909251,0.958730,28.357679,0.771581,17.729229,0.794442,39.294810,0.984285
50,0.850017,7.206600,1.252480,30.349740,0.958275,28.435655,0.781504,17.130731,0.763227,40.638931,0.986017
51,0.866684,7.295400,1.237560,30.079600,0.957511,28.530216,0.794252,16.919797,0.738633,38.502716,0.990767
52,0.883351,7.331600,1.208480,29.663733,0.955637,28.496276,0.809342,16.474419,0.727922,40.754883,0.996736
53,0.900018,6.920200,1.157680,29.348055,0.953404,27.533771,0.821929,16.758114,0.741431,38.814782,0.996409
54,0.916685,6.639800,1.116560,28.439541,0.936332,24.476489,0.815099,16.804250,0.736796,30.988106,0.989443
55,0.933352,6.670700,1.178120,28.046618,0.929820,24.004774,0.820222,16.757393,0.717978,27.459078,0.955827
56,0.950019,6.635900,1.074080,26.953933,0.916562,22.936464,0.810763,16.726835,0.694557,28.056842,0.923296
57,0.966686,6.861300,1.225760,26.016931,0.921009,22.323540,0.807756,16.982543,0.703224,29.305940,0.923952
58,0.983353,6.654400,1.134560,27.597610,0.937381,21.588730,0.802749,16.852513,0.702782,31.604042,0.941544
59,1.000020,6.863700,1.114240,27.015887,0.940497,21.839480,0.813665,17.012272,0.711566,31.565695,0.969540
60,1.016687,6.577000,1.182520,28.195667,0.948847,22.443638,0.828849,16.642235,0.671841,30.964927,0.960424
61,1.033354,6.812000,1.050160,27.322086,0.940783,22.904737,0.840081,16.893363,0.680749,32.053257,0.963717
62,1.050021,6.631900,1.185480,28.989227,0.944869,24.272096,0.835367,18.260886,0.714959,31.576554,0.952997
63,1.066688,6.714500,1.099640,31.680856,0.929623,24.419978,0.814905,27.347066,0.976456,43.356760,0.988680
64,1.083355,6.748400,1.160200,29.853081,0.907868,24.032459,0.788841,27.245014,0.977020,45.371676,0.992111
65,1.100022,7.570500,1.215240,29.227476,0.916265,24.515172,0.758396,26.948285,0.976521,45.272022,0.992082
66,1.116689,6.817300,1.284440,31.018124,0.930427,24.175163,0.715074,26.588860,0.974662,45.161652,0.991688
67,1.133356,6.636600,1.250920,31.552567,0.934240,23.870106,0.676754,26.135405,0.972635,44.957637,0.991365
68,1.150023,6.840600,1.258280,31.804892,0.934153,23.940130,0.647187,25.577364,0.968583,44.774421,0.990963
69,1.166690,6.778200,1.257680,30.632615,0.931916,24.115593,0.623996,24.910424,0.963062,44.540342,0.990831
70,1.183357,6.671000,1.155880,32.610220,0.936653,24.655424,0.616965,24.307270,0.958388,44.345676,0.990802
71,1.200024,7.034600,1.299240,32.691453,0.937136,24.647317,0.615361,23.849953,0.953447,44.189699,0.990563
72,1.216691,7.194600,1.175560,32.710427,0.937035,24.622716,0.614553,23.725223,0.952318,44.092096,0.990140
73,1.233358,6.814500,1.236280,32.648305,0.935708,24.604980,0.613122,23.611145,0.949969,43.943094,0.989566
74,1.250025,6.791600,1.192000,32.592889,0.935106,24.583405,0.613436,23.379369,0.946447,43.814728,0.988970
75,1.266692,6.832400,1.179000,32.527377,0.934627,24.534384,0.613877,23.264032,0.945439,43.501002,0.988318
76,1.283359,6.787500,1.241960,32.467117,0.934192,24.467095,0.611802,23.122992,0.943515,43.337601,0.987824
77,1.300026,6.757200,1.153680,32.442422,0.934114,24.408558,0.610804,22.982765,0.941930,43.211281,0.986909
78,1.316693,6.594700,1.248440,32.382953,0.933601,24.394313,0.610348,22.825744,0.939309,43.022988,0.985700
79,1.333360,7.008900,1.237040,32.345252,0.932838,24.445702,0.611826,22.884945,0.939227,42.755282,0.985049
80,1.350027,6.558600,1.245720,32.397073,0.933052,24.548889,0.615508,22.798773,0.937755,42.730299,0.985219
81,1.366694,6.809100,1.249120,32.382288,0.932348,24.673940,0.619073,22.782435,0.937238,42.531452,0.985134
82,1.383361,7.162300,1.280960,32.416310,0.932500,24.773732,0.622445,22.761580,0.935467,42.345105,0.984598
83,1.400028,6.680800,1.169320,32.451399,0.932527,24.881548,0.624852,22.766129,0.934494,42.204412,0.984411
84,1.416695,6.702700,1.156040,32.430717,0.931964,24.961995,0.626296,22.713500,0.932916,42.337172,0.984925
85,1.433362,6.690500,1.160880,32.418004,0.931868,25.042070,0.628671,22.634220,0.931967,42.139897,0.984152
86,1.450029,6.721500,1.190840,32.417178,0.931791,25.142733,0.631772,22.509188,0.929359,41.877480,0.982221
87,1.466696,6.714900,1.176080,32.401595,0.931506,25.227850,0.634762,22.450999,0.927659,41.701759,0.980664
88,1.483363,6.666200,1.282600,32.377035,0.930822,25.329625,0.637593,22.363009,0.925338,41.570084,0.979119
89,1.500030,6.804000,1.257960,32.386512,0.930448,25.435410,0.640847,22.369598,0.925657,41.424063,0.978664
90,1.516697,6.684300,1.259600,32.490270,0.930996,25.554911,0.644180,22.475360,0.926861,41.243839,0.977813
91,1.533364,6.614200,1.111840,32.501786,0.931091,25.658929,0.646524,22.448703,0.925910,41.095546,0.976846
92,1.550031,6.608200,1.201480,32.481196,0.930930,25.758585,0.648524,22.395324,0.924978,41.017630,0.976365
93,1.566698,6.498400,1.174960,32.444015,0.930740,25.847260,0.650421,22.265636,0.923673,40.946253,0.976430
94,1.583365,6.578300,1.169600,32.396466,0.930503,25.947579,0.653257,22.099342,0.921323,40.770276,0.975761
95,1.600032,6.620000,1.249720,32.454924,0.930340,26.033139,0.655445,22.184076,0.923232,40.727666,0.975661
96,1.616699,7.019100,1.237560,32.325349,0.930033,26.114661,0.657317,21.821100,0.918176,40.682881,0.976174
97,1.633366,6.869100,1.100480,32.276030,0.928713,26.175195,0.658172,21.841544,0.918748,40.655413,0.975807
98,1.650033,6.489900,1.236400,32.185991,0.928448,26.270687,0.659818,21.587706,0.912896,40.618395,0.974189
99,1.666700,6.802400,1.253400,32.308516,0.928348,26.410317,0.662603,21.768205,0.914607,40.479495,0.972887
100,1.683367,7.001400,1.154280,32.183746,0.928928,26.527413,0.665337,21.369595,0.909454,40.517408,0.972900
101,1.700034,6.692700,1.129160,32.117765,0.928648,26.617022,0.667339,21.219615,0.905138,40.695112,0.973013
102,1.716701,6.556700,1.268840,32.041787,0.928723,26.702489,0.669508,21.021139,0.900769,40.997080,0.974133
103,1.733368,6.742200,1.247920,31.963123,0.929105,26.777865,0.670569,20.833817,0.897094,41.186784,0.975257
104,1.750035,6.764900,1.130760,31.986484,0.928555,26.855897,0.672334,20.907462,0.899355,41.695146,0.976639
105,1.766702,6.660000,1.237560,31.892307,0.928286,26.927219,0.673241,20.715665,0.897715,42.482753,0.978342
106,1.783369,6.711200,1.174320,31.941088,0.928099,27.004140,0.674801,20.799352,0.899606,42.597804,0.978904
107,1.800036,6.704300,1.239760,31.931667,0.927672,27.068659,0.676010,20.843167,0.901839,42.762326,0.979843
108,1.816703,6.628700,1.124240,31.900053,0.928031,27.141919,0.677163,20.713045,0.900405,43.477676,0.980383
109,1.833370,6.665000,1.247840,31.924877,0.928954,27.203494,0.677803,20.692775,0.901469,43.649768,0.980654
110,1.850037,6.611300,1.171280,31.815663,0.928760,27.256260,0.678296,20.503804,0.898068,43.738107,0.981388
111,1.866704,6.569300,1.149280,31.696411,0.928576,27.296057,0.678373,20.300719,0.894395,43.749256,0.982074
112,1.883371,6.615500,1.256120,31.673597,0.928017,27.323793,0.678709,20.341996,0.896438,43.541401,0.982103
113,1.900038,6.745800,1.241880,31.511743,0.927504,27.346950,0.678083,20.032607,0.891877,43.587750,0.983199
114,1.916705,6.923500,1.253720,31.544971,0.927972,27.402322,0.678227,20.041718,0.893996,43.579183,0.984299
115,1.933372,6.631500,1.169600,31.525620,0.927081,27.447465,0.677693,20.077353,0.896720,43.259079,0.985214
116,1.950039,6.804000,1.161840,31.417480,0.927464,27.501856,0.677876,19.853177,0.890896,42.873692,0.985307
