frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend,psnr_hud,ssim_hud,psnr_hud_blend,ssim_hud_blend
10,0.550000,7.536300,1.130040,36.504114,0.953296,25.656387,0.619620,51.191318,0.998017,38.622347,0.966080
11,0.600000,7.427100,1.067880,36.466812,0.953989,25.760700,0.627623,51.396066,0.998274,39.755353,0.973357
12,0.650000,7.527400,1.169200,36.604618,0.953207,25.942983,0.637670,50.654598,0.997640,40.476369,0.976921
13,0.700000,7.179700,1.247280,36.588337,0.953378,26.127051,0.652542,50.620573,0.998056,40.803615,0.978913
14,0.750000,7.894600,1.111440,36.380925,0.954651,26.198988,0.669298,50.343671,0.997760,41.280957,0.982539
15,0.800000,7.273100,1.146840,35.587839,0.954333,25.605816,0.684442,45.428424,0.997577,35.358254,0.972601
16,0.850000,7.695500,1.325840,35.773946,0.955721,25.586492,0.712719,49.758221,0.998452,35.032523,0.968670
17,0.900000,7.735100,1.272960,31.508958,0.943672,24.564281,0.745721,45.091306,0.998409,33.969127,0.995393
18,0.950000,7.286900,1.158800,22.259250,0.832987,19.641586,0.725010,39.239795,0.993422,27.017335,0.959154
19,1.000000,7.115000,1.093240,20.248750,0.884452,18.231584,0.741287,47.860634,0.994861,29.421482,0.928319
20,1.050000,6.746200,1.010520,21.113872,0.870244,19.719470,0.780042,27.385177,0.816586,26.083423,0.910464
21,1.100000,6.843200,1.084320,22.748411,0.857240,20.681907,0.687409,49.691335,0.996259,39.032846,0.974013
22,1.150000,6.879800,1.070320,25.902082,0.874268,20.998649,0.584091,50.855621,0.997530,39.493541,0.977869
23,1.200000,7.013900,0.980080,28.414242,0.896933,22.239546,0.537821,50.980432,0.997800,39.240449,0.977602
24,1.250000,6.879800,1.053880,32.082640,0.907264,22.562245,0.535457,51.201963,0.997798,39.155181,0.977761
25,1.300000,7.751000,1.054200,32.234191,0.905112,22.508104,0.533995,51.025804,0.997728,38.667429,0.975782
26,1.350000,6.830800,1.062080,32.504499,0.915657,22.663736,0.537262,51.176221,0.997705,38.395499,0.973854
27,1.400000,6.710100,1.205520,32.810724,0.917498,22.905867,0.543735,50.936951,0.997623,37.948146,0.971767
28,1.450000,6.696000,1.063920,32.661499,0.915849,23.097688,0.550888,50.981713,0.997569,37.745835,0.970774
29,1.500000,6.937600,1.091200,33.168191,0.919438,23.296813,0.559290,50.994605,0.997472,37.362867,0.966467
