frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend,psnr_hud,ssim_hud,psnr_hud_blend,ssim_hud_blend
16,0.283339,7.221600,1.305000,37.286446,0.957226,27.758153,0.691915,53.117166,0.998348,38.160949,0.956542
17,0.300006,6.873100,1.118120,37.365570,0.957769,27.739928,0.690470,53.030048,0.998192,38.012767,0.956051
18,0.316673,7.155200,1.118120,37.449746,0.958039,27.709043,0.688652,53.167085,0.998260,37.958225,0.955736
19,0.333340,6.858200,1.075920,37.465105,0.958288,27.671466,0.686642,53.133501,0.998312,37.834529,0.954499
20,0.350007,6.668400,1.063440,37.523232,0.958678,27.636086,0.685236,52.948768,0.998237,37.632537,0.954190
21,0.366674,7.234600,1.085560,37.555015,0.959103,27.615859,0.684179,53.266717,0.998427,37.508427,0.952111
22,0.383341,6.990000,1.065400,37.570075,0.959558,27.577676,0.682798,53.031786,0.998426,37.369838,0.950226
23,0.400008,7.112500,1.083080,37.634650,0.960064,27.550045,0.681060,52.946707,0.998416,37.236689,0.946757
24,0.416675,6.995000,1.051200,37.714075,0.960804,27.508137,0.678492,53.108919,0.998435,37.129197,0.944812
25,0.433342,7.773800,1.242760,37.669679,0.960704,27.481312,0.676194,53.294341,0.998433,37.211493,0.944697
26,0.450009,6.837900,1.050480,37.711194,0.961148,27.450932,0.675613,53.443481,0.998405,37.381642,0.948797
27,0.466676,7.075600,1.138560,37.620924,0.961087,27.403717,0.675900,53.254870,0.998344,37.522445,0.951601
28,0.483343,6.894800,1.052640,37.677809,0.961703,27.375645,0.676350,53.678101,0.998635,37.683918,0.953252
29,0.500010,6.905300,1.396720,37.736676,0.962228,27.359027,0.676595,54.363518,0.998837,37.869110,0.955225
30,0.516677,7.362300,1.218840,37.772333,0.962609,27.373115,0.676938,54.394892,0.998899,38.115963,0.956217
31,0.533344,7.204000,1.128800,37.863728,0.963133,27.409268,0.677626,54.396827,0.998925,38.095655,0.955708
32,0.550011,7.004700,1.113480,37.820349,0.963352,27.432263,0.678624,55.175318,0.999096,38.229666,0.956736
33,0.566678,7.342700,1.238240,37.796302,0.963647,27.463221,0.679700,55.001655,0.999045,38.658905,0.960610
34,0.583345,7.930400,1.066400,37.869841,0.964281,27.499644,0.681580,54.449036,0.998980,38.982293,0.963929
35,0.600012,7.094300,1.116720,38.010559,0.964885,27.576799,0.686054,55.079207,0.998952,39.269946,0.966545
36,0.616679,7.050800,1.085640,38.080006,0.965215,27.660771,0.689609,56.515726,0.999224,39.641670,0.969965
37,0.633346,7.028100,1.196440,37.984207,0.964950,27.743191,0.693033,57.042391,0.999387,39.774754,0.971406
38,0.650013,7.193600,1.214080,37.938522,0.965060,27.819336,0.698152,56.550165,0.999357,39.806751,0.972164
39,0.666680,7.166700,1.214480,37.893005,0.964843,27.898069,0.703741,55.564700,0.999303,39.756828,0.970926
40,0.683347,7.340200,1.116680,38.062347,0.965913,27.978824,0.708330,54.912549,0.999316,39.738388,0.971607
41,0.700014,7.089100,1.089600,38.003065,0.965957,28.047904,0.714139,54.060870,0.999228,39.845829,0.973309
42,0.716681,7.112300,1.104000,38.035566,0.966346,28.127330,0.721408,53.409119,0.999175,40.003876,0.976202
43,0.733348,6.977500,1.112920,38.011382,0.966171,28.179380,0.727412,53.738743,0.999134,40.146602,0.978091
44,0.750015,7.031100,1.167640,38.005939,0.966718,28.166430,0.731072,53.101048,0.998791,40.387486,0.979342
45,0.766682,7.476200,1.226000,37.913157,0.966442,28.126022,0.734817,54.611118,0.999388,40.229681,0.979870
46,0.783349,7.241100,1.139080,37.979660,0.967429,28.133967,0.742348,54.185190,0.999234,39.155926,0.980852
47,0.800016,7.015800,1.060840,37.866887,0.967386,28.182736,0.751478,55.526530,0.999453,39.358381,0.986234
48,0.816683,7.398500,1.222280,37.792685,0.967821,28.278763,0.761716,57.260370,0.999678,39.308616,0.985480
49,0.833350,7.064300,1.210720,37.728987,0.967388,28.357679,0.771581,56.228859,0.999621,39.294728,0.984285
50,0.850017,7.244000,1.235680,37.689659,0.968482,28.435656,0.781504,57.148645,0.999739,40.638999,0.986018
51,0.866684,7.000100,1.215080,37.577239,0.968360,28.530217,0.794252,43.300515,0.998096,38.502926,0.990767
52,0.883351,6.913400,1.206880,37.021196,0.967406,28.496276,0.809342,52.028249,0.999563,40.754942,0.996737
53,0.900018,7.077100,1.219040,34.680408,0.963828,27.533766,0.821929,44.614980,0.999191,38.812939,0.996410
54,0.916685,6.710500,1.188120,32.534937,0.947043,24.476491,0.815099,45.407498,0.999237,30.988313,0.989443
55,0.933352,6.820100,1.142560,31.703107,0.943458,24.004773,0.820221,45.876040,0.997981,27.459043,0.955825
56,0.950019,6.870500,1.145040,29.989290,0.931411,22.936457,0.810762,46.711651,0.997350,28.056286,0.923291
57,0.966686,6.397200,1.055160,27.810745,0.934465,22.323535,0.807756,47.712137,0.996731,29.305283,0.923944
58,0.983353,6.751300,1.162520,30.317507,0.950110,21.588728,0.802749,50.256937,0.997209,31.603527,0.941542
59,1.000020,6.688600,1.224360,29.324671,0.954318,21.839480,0.813665,51.786647,0.999152,31.565576,0.969538
60,1.016687,7.034300,1.067600,32.322767,0.964280,22.443638,0.828849,49.265519,0.997864,30.965038,0.960426
61,1.033354,6.900100,1.039960,30.330014,0.956455,22.904737,0.840081,41.656857,0.991480,32.053314,0.963717
62,1.050021,6.601000,1.056040,31.918397,0.957149,24.272096,0.835367,39.803084,0.974700,31.576459,0.952998
63,1.066688,6.868700,1.147280,32.221644,0.931108,24.419978,0.814905,50.476925,0.996855,43.356699,0.988680
64,1.083355,6.777400,1.061440,30.110858,0.908209,24.032459,0.788841,51.566226,0.997689,45.372004,0.992112
65,1.100022,6.563100,1.074760,29.505568,0.917077,24.515172,0.758396,51.686395,0.997851,45.272196,0.992083
66,1.116689,6.779900,1.220080,31.484382,0.931314,24.175163,0.715074,51.689708,0.997933,45.161717,0.991689
67,1.133356,6.926700,1.121240,32.146312,0.935197,23.870106,0.676754,51.700563,0.997945,44.957866,0.991366
68,1.150023,6.846600,1.217400,32.531492,0.935262,23.940130,0.647187,51.800506,0.997945,44.774849,0.990964
69,1.166690,7.112200,1.212440,31.273307,0.933234,24.115596,0.623996,51.898286,0.998010,44.540232,0.990831
70,1.183357,6.896100,1.175200,33.850713,0.938147,24.655426,0.616965,51.922044,0.998104,44.345505,0.990802
71,1.200024,6.659900,1.216880,34.126029,0.938817,24.647318,0.615361,52.015829,0.998084,44.189748,0.990563
72,1.216691,7.104900,1.228240,34.202316,0.938757,24.622716,0.614553,52.132408,0.998138,44.092182,0.990140
73,1.233358,6.865600,1.216000,34.161984,0.937518,24.604981,0.613122,51.889538,0.998027,43.943245,0.989567
74,1.250025,6.734600,1.160880,34.182045,0.937040,24.583405,0.613436,51.886054,0.998008,43.814799,0.988970
75,1.266692,6.914400,1.112320,34.138727,0.936600,24.534384,0.613877,51.803126,0.997975,43.500879,0.988318
76,1.283359,6.905600,1.081800,34.115072,0.936234,24.467096,0.611802,51.722765,0.997940,43.337652,0.987824
77,1.300026,6.707300,1.111400,34.144873,0.936223,24.408558,0.610804,51.927449,0.997950,43.211236,0.986909
78,1.316693,6.874500,1.140840,34.133455,0.935806,24.394313,0.610348,52.147141,0.997988,43.023103,0.985701
79,1.333360,6.970500,1.233160,34.048456,0.935055,24.445702,0.611827,52.055892,0.997954,42.755338,0.985050
80,1.350027,6.860300,1.099840,34.167945,0.935325,24.548889,0.615508,52.157327,0.998054,42.730256,0.985219
81,1.366694,6.868300,1.119280,34.154081,0.934639,24.673940,0.619073,52.118247,0.998081,42.531353,0.985135
82,1.383361,6.886900,1.120240,34.216193,0.934859,24.773728,0.622444,51.912458,0.997968,42.345141,0.984598
83,1.400028,6.783000,1.138840,34.267074,0.934933,24.881548,0.624852,52.078681,0.998019,42.204097,0.984410
84,1.416695,6.637500,1.199840,34.263293,0.934433,24.961995,0.626296,52.154645,0.998054,42.337144,0.984925
85,1.433362,6.736500,1.202440,34.285677,0.934373,25.042070,0.628671,52.081649,0.997999,42.139873,0.984153
86,1.450029,6.704200,1.255560,34.353246,0.934402,25.142733,0.631772,51.980302,0.997883,41.877361,0.982221
87,1.466696,6.555300,1.215320,34.362301,0.934189,25.227850,0.634762,52.167565,0.997977,41.701554,0.980663
88,1.483363,6.986800,1.224600,34.374575,0.933578,25.329624,0.637593,52.049069,0.997871,41.569806,0.979118
89,1.500030,6.577500,1.109080,34.385760,0.933197,25.435410,0.640847,51.915116,0.997850,41.423997,0.978664
90,1.516697,6.847700,1.071960,34.488627,0.933718,25.554911,0.644180,51.882410,0.997794,41.243768,0.977813
91,1.533364,6.765400,1.111160,34.522739,0.933833,25.658928,0.646524,51.835459,0.997743,41.095387,0.976845
92,1.550031,6.746500,1.094160,34.521425,0.933717,25.758585,0.648524,51.923446,0.997757,41.017648,0.976366
93,1.566698,6.719600,1.067080,34.541146,0.933592,25.847260,0.650421,51.863872,0.997801,40.946272,0.976430
94,1.583365,6.706000,1.220640,34.569251,0.933426,25.947579,0.653257,51.711119,0.997727,40.770168,0.975761
95,1.600032,6.950900,1.090200,34.610896,0.933205,26.033139,0.655445,51.813336,0.997799,40.727473,0.975661
96,1.616699,6.767700,1.181920,34.637890,0.933074,26.114661,0.657317,51.977281,0.997839,40.682862,0.976175
97,1.633366,6.798200,1.217960,34.540353,0.931750,26.175195,0.658172,51.951266,0.997806,40.655208,0.975807
98,1.650033,6.771800,1.151160,34.566935,0.931718,26.270687,0.659818,52.014998,0.997800,40.618265,0.974189
99,1.666700,6.743400,1.100240,34.648103,0.931570,26.410317,0.662603,52.101232,0.997804,40.479350,0.972888
100,1.683367,7.125900,1.153360,34.731426,0.932335,26.527413,0.665337,52.177020,0.997774,40.517351,0.972901
101,1.700034,6.649100,1.121360,34.737869,0.932224,26.617022,0.667339,52.417192,0.997768,40.694935,0.973012
102,1.716701,6.720300,1.221520,34.772578,0.932496,26.702489,0.669508,52.705955,0.997816,40.997022,0.974134
103,1.733368,6.873700,1.085800,34.798494,0.933022,26.777865,0.670569,52.836745,0.997851,41.186634,0.975257
104,1.750035,6.730700,1.205360,34.784300,0.932430,26.855897,0.672334,53.330041,0.998011,41.695058,0.976639
105,1.766702,6.851800,1.234360,34.785652,0.932259,26.927219,0.673241,53.467455,0.998006,42.482678,0.978341
106,1.783369,6.656400,1.207920,34.786702,0.931950,27.004139,0.674801,53.451616,0.998009,42.597508,0.978903
107,1.800036,6.817700,1.155480,34.728589,0.931493,27.068658,0.676010,53.507743,0.998110,42.762189,0.979841
108,1.816703,6.865000,1.068480,34.777630,0.931897,27.141918,0.677163,54.514606,0.998326,43.477515,0.980382
109,1.833370,6.691000,1.223520,34.841025,0.932791,27.203494,0.677803,54.893614,0.998474,43.649752,0.980653
