frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,5.345200,1.287120,37.249535,0.956629,27.608022,0.676243
17,0.300006,5.562200,1.095400,37.327417,0.957171,27.587697,0.674772
18,0.316673,5.678600,1.053840,37.410849,0.957467,27.556436,0.673007
19,0.333340,5.611300,1.097840,37.425637,0.957727,27.517670,0.670876
20,0.350007,5.487200,1.204000,37.481417,0.958094,27.476728,0.668974
21,0.366674,5.370700,1.089640,37.514163,0.958579,27.453937,0.667845
22,0.383341,5.660000,1.035240,37.526902,0.959018,27.417744,0.666628
23,0.400008,5.847200,1.063240,37.591098,0.959524,27.388923,0.664840
24,0.416675,5.521800,1.032720,37.671601,0.960305,27.342685,0.662128
25,0.433342,5.423700,1.210680,37.630600,0.960230,27.314880,0.659952
26,0.450009,5.843500,1.031360,37.674120,0.960685,27.288097,0.659291
27,0.466676,6.484500,1.159480,37.584551,0.960606,27.245652,0.659772
28,0.483343,5.561100,1.192400,37.645321,0.961278,27.223177,0.660783
29,0.500010,5.560500,1.035440,37.708815,0.961860,27.212596,0.661506
30,0.516677,5.477000,1.121880,37.744374,0.962249,27.232257,0.662330
31,0.533344,5.610500,1.113680,37.836875,0.962766,27.272748,0.663382
32,0.550011,5.726500,1.034000,37.797436,0.963032,27.302703,0.664885
33,0.566678,5.456000,1.181000,37.772606,0.963317,27.345416,0.666700
34,0.583345,5.730800,1.044120,37.843438,0.963910,27.394674,0.669757
35,0.600012,5.664900,1.085840,37.988057,0.964585,27.484322,0.675377
36,0.616679,5.710200,1.185120,38.062753,0.964965,27.580432,0.679796
37,0.633346,5.800700,1.201640,37.968639,0.964717,27.667794,0.683425
38,0.650013,5.518500,1.183480,37.920236,0.964809,27.743021,0.688966
39,0.666680,5.771900,1.183280,37.871164,0.964584,27.819532,0.695116
40,0.683347,6.074500,1.142400,38.036388,0.965631,27.898183,0.700173
41,0.700014,5.489400,1.179160,37.970121,0.965622,27.968287,0.706581
42,0.716681,5.684300,1.106640,37.999943,0.966005,28.049980,0.714435
43,0.733348,5.595700,1.183920,37.978505,0.965880,28.103426,0.720908
44,0.750015,5.665200,1.196360,37.971107,0.966417,28.093675,0.725185
45,0.766682,5.577700,1.228160,37.886833,0.966244,28.048620,0.729475
46,0.783349,5.712600,1.145640,37.949667,0.967190,28.030158,0.737067
47,0.800016,5.747400,1.122160,37.846982,0.967231,28.078668,0.747203
48,0.816683,5.675100,1.183960,37.778295,0.967680,28.175685,0.758021
49,0.833350,5.845900,1.171680,37.708543,0.967246,28.258351,0.768169
50,0.850017,5.685300,1.235360,37.675167,0.968395,28.369804,0.779243
51,0.866684,5.848800,1.182880,37.196838,0.968037,28.404155,0.792802
52,0.883351,5.771900,1.172600,36.952980,0.967287,28.412665,0.808966
53,0.900018,5.568300,1.112240,34.540692,0.963759,27.431150,0.821579
54,0.916685,5.381400,1.080840,32.462842,0.946705,24.159995,0.813498
55,0.933352,5.306800,1.054120,31.660302,0.942803,23.483911,0.815976
56,0.950019,5.352900,1.155920,29.967826,0.930997,22.620144,0.805307
57,0.966686,5.311100,1.193320,27.799519,0.934096,22.113703,0.802146
58,0.983353,5.440300,1.152880,30.296171,0.949692,21.417246,0.796017
59,1.000020,5.612000,1.050360,29.309910,0.953927,21.633011,0.806082
60,1.016687,5.372700,1.101320,32.285987,0.963878,22.243494,0.822571
61,1.033354,5.498200,0.971840,30.247056,0.954076,22.739229,0.833628
62,1.050021,5.545700,1.038960,31.722109,0.951752,24.038398,0.828297
63,1.066688,5.403600,1.051520,32.202942,0.930083,24.404637,0.811301
64,1.083355,5.266500,1.033080,30.101570,0.907379,24.022022,0.785369
65,1.100022,6.087000,1.153880,29.497637,0.916293,24.503198,0.754836
66,1.116689,5.365300,1.168240,31.472440,0.930542,24.163670,0.711394
67,1.133356,5.317000,1.177960,32.132142,0.934412,23.858805,0.672923
68,1.150023,5.381000,1.111520,32.516055,0.934488,23.928119,0.643181
69,1.166690,5.292900,1.141520,31.261996,0.932468,24.102474,0.619819
70,1.183357,5.394300,1.063440,33.830495,0.937395,24.639964,0.612614
71,1.200024,5.522700,1.261640,34.104667,0.938063,24.631156,0.610840
72,1.216691,5.539700,1.179720,34.180730,0.938022,24.605826,0.609847
73,1.233358,5.480400,1.169200,34.139546,0.936767,24.587301,0.608223
74,1.250025,5.465200,1.171000,34.159557,0.936301,24.565117,0.608407
75,1.266692,5.480600,1.228840,34.116446,0.935870,24.515571,0.608686
76,1.283359,5.487600,1.173720,34.092172,0.935499,24.447821,0.606448
77,1.300026,5.403000,1.123680,34.122106,0.935498,24.388736,0.605318
78,1.316693,5.241800,1.183600,34.111238,0.935095,24.373908,0.604738
79,1.333360,5.386400,1.198480,34.026357,0.934346,24.424114,0.606053
80,1.350027,5.546800,1.099080,34.146374,0.934630,24.526082,0.609554
