frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,5.248200,1.016800,37.236176,0.956500,27.608022,0.676243
17,0.300006,5.308300,1.148320,37.316834,0.957034,27.587697,0.674772
18,0.316673,5.519100,1.065920,37.401034,0.957358,27.556436,0.673007
19,0.333340,5.981000,1.020560,37.414609,0.957606,27.517670,0.670876
20,0.350007,5.465100,1.038240,37.476484,0.958002,27.476728,0.668974
21,0.366674,5.704200,1.138160,37.505650,0.958468,27.453937,0.667845
22,0.383341,5.357200,1.139640,37.518253,0.958909,27.417744,0.666628
23,0.400008,5.591000,0.992320,37.578821,0.959385,27.388923,0.664840
24,0.416675,5.431000,0.988960,37.670096,0.960249,27.342685,0.662128
25,0.433342,5.295400,1.059640,37.613577,0.960022,27.314880,0.659952
26,0.450009,5.239000,1.120440,37.664144,0.960577,27.288097,0.659291
27,0.466676,5.676500,0.984520,37.563672,0.960397,27.245652,0.659772
28,0.483343,6.118200,1.009280,37.634520,0.961190,27.223177,0.660783
29,0.500010,5.434500,1.208400,37.700972,0.961782,27.212596,0.661506
30,0.516677,5.286200,1.028360,37.731789,0.962173,27.232257,0.662330
31,0.533344,5.399800,1.142480,37.826662,0.962672,27.272748,0.663382
32,0.550011,5.533700,0.990920,37.786989,0.962977,27.302703,0.664885
33,0.566678,5.368700,1.146000,37.763127,0.963234,27.345416,0.666700
34,0.583345,5.627500,1.000040,37.836345,0.963829,27.394674,0.669757
35,0.600012,5.721700,1.070360,37.980401,0.964501,27.484322,0.675377
36,0.616679,5.479900,1.130240,38.056545,0.964879,27.580432,0.679796
37,0.633346,5.777800,1.039760,37.960846,0.964624,27.667794,0.683425
38,0.650013,5.644600,1.101320,37.914634,0.964741,27.743021,0.688966
39,0.666680,5.721700,1.130680,37.859953,0.964466,27.819532,0.695116
40,0.683347,5.787600,1.132080,38.037518,0.965557,27.898183,0.700173
41,0.700014,5.540800,1.156360,37.964810,0.965538,27.968287,0.706581
42,0.716681,5.757900,1.081840,38.003000,0.965969,28.049980,0.714435
43,0.733348,5.643300,1.127800,37.968375,0.965786,28.103426,0.720908
44,0.750015,5.662400,1.041000,37.964682,0.966350,28.093675,0.725185
45,0.766682,5.613200,1.115160,37.876563,0.966179,28.048620,0.729475
46,0.783349,5.630500,0.995480,37.933635,0.967119,28.030158,0.737067
47,0.800016,5.626900,1.153800,37.835213,0.967161,28.078668,0.747203
48,0.816683,5.929200,1.139560,37.761698,0.967586,28.175685,0.758021
49,0.833350,5.581400,1.096640,37.700882,0.967153,28.258351,0.768169
50,0.850017,5.801200,1.163680,37.649763,0.968271,28.369804,0.779243
51,0.866684,5.865000,1.080680,37.380041,0.968016,28.404155,0.792802
52,0.883351,5.572500,1.130800,36.996380,0.967250,28.412665,0.808966
53,0.900018,5.557200,1.057240,34.584247,0.963629,27.431150,0.821579
54,0.916685,5.351700,1.261640,32.262171,0.946438,24.159995,0.813498
55,0.933352,5.379700,1.020320,31.752700,0.943039,23.483911,0.815976
56,0.950019,5.273000,1.089960,30.055713,0.931741,22.620144,0.805307
57,0.966686,5.240900,1.140000,27.800644,0.935038,22.113703,0.802146
58,0.983353,5.387600,1.090680,30.263649,0.949956,21.417246,0.796017
59,1.000020,5.027600,1.078920,29.361375,0.954090,21.633011,0.806082
60,1.016687,5.003300,1.079080,32.385461,0.963290,22.243494,0.822571
61,1.033354,5.230400,0.985280,29.786129,0.953294,22.739229,0.833628
62,1.050021,5.319700,0.936080,31.123872,0.950103,24.038398,0.828297
63,1.066688,5.373600,1.077320,32.399579,0.929701,24.404637,0.811301
64,1.083355,5.320800,0.982840,30.154450,0.907548,24.022022,0.785369
65,1.100022,5.334000,1.135600,29.495649,0.916109,24.503198,0.754836
66,1.116689,5.044000,1.125240,31.556482,0.930247,24.163630,0.711392
67,1.133356,5.398300,1.131640,32.256986,0.934394,23.858813,0.672926
68,1.150023,5.047000,1.144000,32.628251,0.934093,23.928120,0.643182
69,1.166690,5.668200,1.089960,30.999082,0.931858,24.102472,0.619819
70,1.183357,5.548300,0.984440,33.892050,0.936015,24.639963,0.612614
71,1.200024,5.424000,0.991320,34.005742,0.936780,24.631156,0.610840
72,1.216691,5.417500,0.991200,34.082266,0.936755,24.605827,0.609847
73,1.233358,5.409300,1.127560,34.018606,0.935176,24.587312,0.608223
74,1.250025,5.411700,1.065560,34.060705,0.934799,24.565117,0.608407
75,1.266692,5.300500,0.993400,34.031717,0.934383,24.515571,0.608686
76,1.283359,5.440000,1.029920,34.020122,0.934163,24.447821,0.606448
77,1.300026,5.283100,1.140240,34.059727,0.934481,24.388736,0.605318
78,1.316693,5.252400,1.126920,33.941430,0.934110,24.373908,0.604738
79,1.333360,5.234700,1.147880,33.853198,0.933230,24.424114,0.606053
80,1.350027,5.332400,1.185920,33.969905,0.933326,24.526088,0.609554
81,1.366694,5.258900,1.158240,33.993343,0.932817,24.649632,0.612945
82,1.383361,5.286500,1.095240,34.051886,0.933018,24.748136,0.616207
83,1.400028,5.152800,1.071960,34.108902,0.933076,24.854658,0.618491
84,1.416695,5.169600,1.134320,34.099708,0.932720,24.933780,0.619795
85,1.433362,5.565200,1.149160,34.110269,0.932592,25.012594,0.622071
86,1.450029,5.096400,1.077720,34.191460,0.932636,25.111764,0.625102
87,1.466696,5.310200,1.146120,34.200325,0.932457,25.195483,0.628018
88,1.483363,5.247000,1.143400,34.229290,0.931936,25.295436,0.630769
89,1.500030,4.973200,1.140440,34.239662,0.931627,25.399759,0.633925
90,1.516697,5.486400,1.037320,34.365243,0.932329,25.517182,0.637151
91,1.533364,5.226800,1.011440,34.396412,0.932442,25.618877,0.639383
92,1.550031,5.291000,1.463920,34.407613,0.932452,25.716770,0.641329
93,1.566698,5.544600,1.144080,34.423396,0.932319,25.803746,0.643193
94,1.583365,5.309700,1.142280,34.460304,0.932107,25.901837,0.645984
95,1.600032,5.189500,1.095160,34.505807,0.931949,25.985590,0.648167
96,1.616699,5.433000,1.167760,34.528092,0.931824,26.065470,0.650036
97,1.633366,5.314700,1.141280,34.450600,0.930571,26.124283,0.650882
98,1.650033,5.312800,1.141320,34.458487,0.930500,26.217948,0.652588
99,1.666700,5.225800,1.196320,34.557904,0.930442,26.354841,0.655372
100,1.683367,5.357300,1.161160,34.634721,0.931227,26.469983,0.658137
101,1.700034,5.159800,1.143080,34.647713,0.931132,26.559255,0.660201
102,1.716701,5.037600,1.062920,34.677062,0.931435,26.646318,0.662431
103,1.733368,5.024700,1.017400,34.722751,0.932085,26.725490,0.663607
104,1.750035,5.038800,1.199600,34.710338,0.931491,26.808259,0.665484
