frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,6.028500,1.650160,38.983739,0.972847,27.536372,0.669173
17,0.300006,5.980800,1.953440,39.059609,0.972513,27.563046,0.670999
18,0.316673,6.306300,1.670280,38.958529,0.972017,27.556500,0.670569
19,0.333340,5.853300,1.806840,39.143515,0.973406,27.500075,0.667614
20,0.350007,5.734400,1.706040,39.366777,0.974385,27.442619,0.665648
21,0.366674,5.892000,1.760160,39.227693,0.974232,27.431517,0.664442
22,0.383341,6.095400,1.744680,39.044921,0.972640,27.437593,0.665603
23,0.400008,5.980200,1.883720,39.267068,0.973866,27.389941,0.663320
24,0.416675,6.056100,1.750440,39.528503,0.975310,27.301201,0.657484
25,0.433342,5.977100,1.633920,39.474868,0.974645,27.314623,0.658666
26,0.450009,5.994100,1.597800,39.373652,0.974464,27.316731,0.658990
27,0.466676,7.280400,1.632320,39.318205,0.975070,27.259906,0.658410
28,0.483343,6.262600,1.590680,39.535205,0.976338,27.216741,0.659078
29,0.500010,5.912200,1.581760,39.438893,0.976074,27.209292,0.659482
30,0.516677,6.184200,1.778000,39.267446,0.974625,27.263519,0.662359
31,0.533344,6.208400,1.623440,39.482913,0.975985,27.286349,0.662810
32,0.550011,6.211500,1.981600,39.659604,0.977123,27.273929,0.660927
33,0.566678,6.119400,1.815120,39.491705,0.976829,27.339676,0.665883
34,0.583345,5.911300,1.770640,39.443452,0.976319,27.421114,0.669840
35,0.600012,5.988200,1.776800,39.681751,0.977473,27.492571,0.674494
36,0.616679,6.063400,1.705680,39.847692,0.978335,27.569519,0.678574
37,0.633346,6.488000,1.790800,39.638218,0.977389,27.660523,0.682103
38,0.650013,6.281900,1.698200,39.490910,0.976125,27.776110,0.689221
39,0.666680,6.058400,1.602320,39.529826,0.976699,27.832813,0.694880
40,0.683347,6.252700,1.654120,39.800152,0.977452,27.856191,0.696869
41,0.700014,6.021200,1.792640,39.667142,0.977282,27.957731,0.706110
42,0.716681,6.027800,1.766280,39.443337,0.976110,28.054712,0.714150
43,0.733348,6.061400,1.732600,39.574201,0.976991,28.096066,0.719905
44,0.750015,6.117200,1.620720,39.537944,0.977580,28.056190,0.723820
45,0.766682,6.078800,1.758120,39.403302,0.977000,28.026772,0.728143
46,0.783349,6.422400,1.728400,39.148056,0.976281,28.047367,0.737100
47,0.800016,6.105700,1.762800,39.219184,0.977490,28.071125,0.746827
48,0.816683,6.227700,1.642880,39.218663,0.978082,28.121749,0.754572
49,0.833350,6.091100,1.771080,39.170164,0.977666,28.228391,0.767658
50,0.850017,6.028800,1.772680,38.846510,0.977365,28.369213,0.778708
51,0.866684,6.311000,1.737920,38.330422,0.977403,28.374816,0.791332
52,0.883351,6.207900,1.789920,37.922235,0.977363,28.379855,0.806976
53,0.900018,6.198200,1.781560,34.932847,0.971936,27.403796,0.819152
54,0.916685,6.239900,1.778920,32.415855,0.950921,24.160374,0.812107
55,0.933352,5.872300,1.705560,31.517494,0.949156,23.466435,0.812954
56,0.950019,6.200300,1.664560,29.986925,0.936403,22.593186,0.799531
57,0.966686,5.774600,1.754840,27.726929,0.940831,22.087231,0.800585
58,0.983353,5.827400,1.663080,30.340144,0.958344,21.414891,0.795128
59,1.000020,5.624800,1.722440,29.657075,0.963337,21.618720,0.804174
60,1.016687,6.174400,1.621560,33.001448,0.970782,22.217702,0.820311
61,1.033354,5.834500,1.570320,29.595150,0.956699,22.721753,0.830943
62,1.050021,5.850200,1.981600,31.629073,0.954912,24.037870,0.827507
63,1.066688,5.790600,1.731000,31.091594,0.935469,24.385275,0.809623
64,1.083355,5.819200,1.675160,28.695870,0.919199,23.999547,0.785446
65,1.100022,6.362200,1.637920,29.546845,0.931994,24.516135,0.756516
66,1.116689,5.814100,1.609640,32.186146,0.949101,24.181417,0.713709
67,1.133356,5.582700,1.711320,33.106076,0.954429,23.855374,0.673559
68,1.150023,5.868000,1.678560,33.946141,0.956526,23.898561,0.640460
69,1.166690,6.114100,1.618560,31.443263,0.954297,24.078893,0.618898
70,1.183357,6.146200,1.846480,35.294271,0.958193,24.659960,0.613883
71,1.200024,5.755700,1.649120,35.760576,0.959480,24.623892,0.610208
72,1.216691,5.848100,1.659880,36.056469,0.962491,24.550128,0.606408
73,1.233358,5.849900,1.628280,35.974322,0.959844,24.563612,0.606553
74,1.250025,6.206400,1.692000,35.830724,0.958463,24.568479,0.607845
75,1.266692,5.894700,1.708240,35.989662,0.959811,24.502526,0.607624
76,1.283359,5.945500,1.670200,36.062786,0.959988,24.392887,0.601803
77,1.300026,5.752100,1.712680,36.011244,0.959867,24.344183,0.602326
78,1.316693,5.805900,1.847480,35.617018,0.955845,24.376296,0.604296
79,1.333360,5.755500,1.754920,35.672006,0.957190,24.403161,0.604416
80,1.350027,5.880700,1.765840,36.057794,0.960693,24.456525,0.605737
81,1.366694,6.011300,1.666280,36.030217,0.958536,24.610470,0.610978
82,1.383361,6.086700,1.744760,35.904504,0.957245,24.730166,0.615283
83,1.400028,5.926800,1.658600,36.111958,0.959172,24.812160,0.617104
84,1.416695,5.749300,1.645200,36.218177,0.959525,24.849215,0.615295
85,1.433362,5.755900,1.752040,36.151290,0.959335,24.942940,0.619468
86,1.450029,5.798900,1.687400,35.875951,0.955513,25.091444,0.625057
87,1.466696,5.781600,1.632960,36.003741,0.956741,25.156506,0.626798
88,1.483363,5.912700,1.853880,36.192483,0.958757,25.207442,0.627797
