frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,6.848200,2.498720,39.288821,0.974929,27.536372,0.669173
17,0.300006,6.973000,2.601720,39.365111,0.974504,27.563046,0.670999
18,0.316673,7.107900,2.728480,39.251874,0.973988,27.556500,0.670569
19,0.333340,6.701400,2.392400,39.459635,0.975212,27.500075,0.667614
20,0.350007,6.984900,2.484880,39.649417,0.976086,27.442619,0.665648
21,0.366674,6.671800,2.582680,39.474872,0.975729,27.431517,0.664442
22,0.383341,6.969100,2.541960,39.204990,0.973826,27.437593,0.665603
23,0.400008,7.012500,2.407520,39.598675,0.975603,27.389941,0.663320
24,0.416675,6.675500,2.399720,39.791003,0.976784,27.301201,0.657484
25,0.433342,7.005000,2.451600,39.733323,0.976244,27.314623,0.658666
26,0.450009,7.764600,2.552400,39.576960,0.975798,27.316731,0.658990
27,0.466676,6.883600,2.783280,39.659581,0.976753,27.259906,0.658410
28,0.483343,6.811100,2.471240,39.857587,0.977974,27.216741,0.659078
29,0.500010,6.629600,2.506680,39.624984,0.977513,27.209292,0.659482
30,0.516677,7.079100,2.549560,39.432848,0.975846,27.263519,0.662359
31,0.533344,6.980700,2.501320,39.846301,0.977858,27.286349,0.662810
32,0.550011,6.879100,2.574240,39.990714,0.978826,27.273929,0.660927
33,0.566678,6.896200,2.516680,39.761178,0.978527,27.339658,0.665881
34,0.583345,6.872900,2.515680,39.679320,0.977942,27.421113,0.669840
35,0.600012,6.759800,2.511480,39.999159,0.979066,27.492571,0.674494
36,0.616679,6.783500,2.448120,40.182876,0.980142,27.569519,0.678574
37,0.633346,6.956700,2.530040,39.974816,0.979316,27.660523,0.682103
38,0.650013,6.858100,2.470440,39.669118,0.977690,27.776110,0.689221
39,0.666680,6.932800,2.483640,40.025948,0.979501,27.832813,0.694880
40,0.683347,7.230900,2.535760,40.234943,0.980232,27.856191,0.696869
41,0.700014,6.903700,2.522640,40.178723,0.980401,27.957731,0.706110
42,0.716681,6.909600,2.422160,39.943561,0.979579,28.054712,0.714150
43,0.733348,6.986800,2.540400,40.210354,0.980544,28.096066,0.719905
44,0.750015,7.149100,2.509640,40.231004,0.981564,28.056190,0.723820
45,0.766682,6.809700,2.293400,39.945639,0.980393,28.026772,0.728143
46,0.783349,6.767400,2.477320,39.476807,0.979075,28.047367,0.737100
47,0.800016,7.161500,2.455680,39.891106,0.980816,28.071125,0.746827
48,0.816683,6.992400,2.489720,39.731387,0.981174,28.121749,0.754572
49,0.833350,6.888100,2.451560,39.831122,0.980945,28.228391,0.767658
50,0.850017,6.844100,2.469000,39.470752,0.980187,28.369213,0.778708
51,0.866684,7.062800,2.602920,39.621241,0.980365,28.374816,0.791332
52,0.883351,7.177700,2.526360,38.775649,0.979101,28.379855,0.806976
53,0.900018,6.937500,2.498480,35.460991,0.971957,27.403796,0.819152
54,0.916685,6.740600,2.429800,33.689534,0.955983,24.160374,0.812107
55,0.933352,6.641300,2.564560,31.666307,0.951390,23.466435,0.812954
56,0.950019,6.574200,2.557800,30.207400,0.943178,22.593186,0.799531
57,0.966686,6.785400,2.534080,29.208418,0.949273,22.087231,0.800585
58,0.983353,6.636000,2.476600,30.563881,0.964954,21.414891,0.795128
59,1.000020,6.382000,2.528200,28.481478,0.966883,21.618720,0.804174
60,1.016687,6.382700,2.504960,30.954071,0.970614,22.217702,0.820311
61,1.033354,6.607600,2.369840,29.357785,0.957078,22.721753,0.830943
62,1.050021,6.494300,2.354840,31.066523,0.957262,24.037870,0.827507
63,1.066688,6.554800,2.481800,29.451033,0.936325,24.385269,0.809619
64,1.083355,6.782700,2.445760,27.098311,0.927479,23.999547,0.785446
65,1.100022,6.411800,2.468000,29.271380,0.941640,24.516135,0.756516
66,1.116689,6.560500,2.475440,32.255690,0.954911,24.181417,0.713709
67,1.133356,6.557700,2.370320,33.626379,0.960199,23.855374,0.673559
68,1.150023,6.307100,2.519200,34.092163,0.961162,23.898561,0.640460
69,1.166690,6.736600,2.451600,30.388960,0.956214,24.078893,0.618898
70,1.183357,6.758400,2.404960,35.541517,0.960182,24.659960,0.613883
71,1.200024,6.966300,2.489120,36.202901,0.962387,24.623892,0.610208
72,1.216691,6.771700,2.510480,36.318240,0.964159,24.550128,0.606408
73,1.233358,6.522800,2.510080,36.278177,0.961878,24.563612,0.606553
74,1.250025,6.955800,2.549120,36.022899,0.959964,24.568479,0.607845
75,1.266692,6.694600,2.401160,36.279520,0.961721,24.502526,0.607624
76,1.283359,6.761800,2.350240,36.288267,0.961474,24.392887,0.601803
77,1.300026,6.732200,2.495360,36.193706,0.961103,24.344183,0.602326
78,1.316693,6.500000,2.477800,35.796383,0.956984,24.376296,0.604296
79,1.333360,6.802100,2.544040,35.974846,0.959284,24.403161,0.604416
80,1.350027,6.704300,2.553520,36.198608,0.961889,24.456525,0.605737
81,1.366694,6.705900,2.488280,36.184262,0.959679,24.610470,0.610978
