frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,6.116200,1.573320,35.668248,0.932071,27.740995,0.686805
17,0.300006,5.845500,1.575640,35.834067,0.934074,27.711361,0.684609
18,0.316673,6.465100,1.801240,35.889081,0.935162,27.665790,0.682492
19,0.333340,6.359200,1.572240,35.921121,0.936055,27.632103,0.680269
20,0.350007,6.015700,1.724480,35.971668,0.936015,27.589925,0.678256
21,0.366674,6.051400,1.913680,36.008860,0.936418,27.556858,0.676597
22,0.383341,5.962600,1.802000,35.981008,0.937146,27.509227,0.674881
23,0.400008,6.175200,1.542560,36.024420,0.937742,27.477802,0.673001
24,0.416675,5.977800,1.628480,36.058148,0.938363,27.431128,0.669816
25,0.433342,6.279700,1.796880,36.075144,0.938041,27.391943,0.666757
26,0.450009,6.717900,1.626440,36.103176,0.939388,27.356012,0.665851
27,0.466676,6.289100,1.701600,36.088831,0.940542,27.307985,0.666011
28,0.483343,5.943800,1.849920,36.076361,0.941147,27.288705,0.667171
29,0.500010,6.127500,1.625080,36.190221,0.941859,27.277334,0.667592
30,0.516677,6.187400,1.559760,36.127128,0.941534,27.295112,0.668395
31,0.533344,6.638300,1.611680,36.238209,0.942948,27.338349,0.669510
32,0.550011,5.746600,1.542920,36.234879,0.943573,27.371386,0.670744
33,0.566678,6.084600,1.619000,36.332454,0.945206,27.408202,0.672300
34,0.583345,6.160300,1.561880,36.359814,0.945491,27.463318,0.675054
35,0.600012,5.947600,1.695480,36.468290,0.945959,27.551509,0.680466
36,0.616679,6.102700,1.590520,36.478251,0.946500,27.651837,0.684836
37,0.633346,5.986700,1.631640,36.524868,0.946865,27.731350,0.687876
38,0.650013,6.205800,1.690600,36.475159,0.946832,27.802380,0.693116
39,0.666680,6.024300,1.611680,36.489260,0.946919,27.869090,0.698762
40,0.683347,5.929100,1.611960,36.597433,0.948346,27.955613,0.704145
41,0.700014,6.075300,1.699480,36.716226,0.949859,28.025485,0.710183
42,0.716681,5.928100,1.708440,36.717074,0.950272,28.096835,0.717392
43,0.733348,5.946300,1.718920,36.728997,0.950369,28.167780,0.723908
44,0.750015,6.279300,1.658080,36.697006,0.950996,28.156903,0.728405
45,0.766682,5.997000,1.677000,36.662322,0.951875,28.099866,0.732577
46,0.783349,5.950100,1.713240,36.521474,0.951745,28.077619,0.739672
47,0.800016,6.199400,1.619600,36.668465,0.953168,28.131668,0.749939
48,0.816683,6.059000,1.687400,36.653614,0.953876,28.228613,0.760392
49,0.833350,6.086100,1.599600,36.737164,0.955045,28.311851,0.770438
50,0.850017,5.930000,1.693000,36.513046,0.954340,28.400199,0.780807
51,0.866684,6.002900,1.594520,36.450234,0.954501,28.441693,0.794711
52,0.883351,6.079300,1.655840,36.134024,0.953828,28.467778,0.811009
53,0.900018,5.898600,1.757800,34.233181,0.950141,27.470338,0.823426
54,0.916685,5.788100,1.762840,31.847739,0.934348,24.180708,0.816141
55,0.933352,5.732300,1.795080,31.135247,0.932115,23.510319,0.819983
56,0.950019,5.941200,1.666760,30.192948,0.930733,22.644634,0.809828
57,0.966686,5.719900,1.730600,28.697743,0.931462,22.137274,0.806256
58,0.983353,5.793200,1.660840,30.176573,0.945753,21.440578,0.800275
59,1.000020,5.483100,1.735360,28.693862,0.950272,21.665260,0.810382
60,1.016687,5.621000,1.563760,30.792151,0.957296,22.272198,0.826700
61,1.033354,5.816800,1.518880,30.734940,0.949519,22.755465,0.837504
62,1.050021,5.750700,1.629440,31.332593,0.941558,24.064083,0.833474
63,1.066688,5.689500,1.571520,29.890447,0.912891,24.434290,0.817398
64,1.083355,5.620200,1.713680,27.388759,0.890877,24.029707,0.788538
65,1.100022,6.340000,1.801720,28.211383,0.895995,24.525988,0.758272
66,1.116689,5.706600,1.689200,30.465951,0.906902,24.194767,0.715237
67,1.133356,5.788700,1.727840,31.287540,0.909622,23.905087,0.677119
68,1.150023,5.419200,1.751360,31.698724,0.909786,23.977413,0.648208
69,1.166690,5.707500,1.654080,30.573372,0.905924,24.153964,0.625391
70,1.183357,5.890500,1.668640,32.567087,0.908765,24.707218,0.618839
71,1.200024,5.891900,1.647280,32.697688,0.907578,24.703730,0.616999
72,1.216691,5.772800,1.680160,32.736573,0.906301,24.688766,0.616497
73,1.233358,5.804500,1.727960,32.662326,0.904849,24.684424,0.615421
74,1.250025,6.020100,1.568600,32.650679,0.903788,24.661050,0.615389
75,1.266692,5.964500,1.767080,32.567417,0.902046,24.616580,0.615349
76,1.283359,5.835100,1.715760,32.518932,0.900413,24.546275,0.613322
77,1.300026,6.033200,1.608320,32.469583,0.900090,24.487279,0.612538
78,1.316693,5.819900,1.660800,32.414684,0.898863,24.476763,0.612103
79,1.333360,5.940000,1.615800,32.439421,0.898594,24.540939,0.613854
80,1.350027,5.640900,1.626840,32.403761,0.896752,24.635834,0.616154
81,1.366694,5.818200,1.675320,32.448013,0.896889,24.769662,0.619667
82,1.383361,5.905200,1.630320,32.503233,0.897078,24.873866,0.622531
83,1.400028,5.688700,1.618880,32.511261,0.897008,24.984880,0.624871
84,1.416695,5.773100,1.649520,32.493098,0.895603,25.066715,0.626195
85,1.433362,5.584900,1.668400,32.506472,0.894778,25.160450,0.628915
86,1.450029,5.852700,1.648480,32.545777,0.894854,25.266516,0.632042
87,1.466696,5.982700,1.682960,32.572362,0.894943,25.351780,0.635081
88,1.483363,6.023200,1.698840,32.633119,0.894658,25.453937,0.638092
89,1.500030,5.733200,1.618920,32.546119,0.892733,25.540821,0.639620
90,1.516697,5.704800,1.690520,32.665422,0.893619,25.651238,0.642396
91,1.533364,5.770000,1.582200,32.683557,0.893808,25.757106,0.644358
92,1.550031,5.531600,1.699320,32.722115,0.894118,25.867120,0.647052
93,1.566698,5.794000,1.545280,32.715110,0.892448,25.958658,0.649206
94,1.583365,5.787400,1.751240,32.713143,0.891415,26.051520,0.651723
95,1.600032,5.715000,1.612200,32.771799,0.892043,26.132123,0.654607
96,1.616699,5.808100,1.809280,32.783065,0.891511,26.200769,0.655952
97,1.633366,5.788300,1.645160,32.820667,0.892297,26.266092,0.657209
98,1.650033,6.050300,1.649480,32.821534,0.891613,26.349965,0.658111
99,1.666700,5.694000,1.752120,32.904089,0.891531,26.483057,0.660687
100,1.683367,5.953400,1.619640,32.961722,0.892478,26.598156,0.664567
101,1.700034,5.816100,1.755120,32.975372,0.892033,26.684342,0.666193
102,1.716701,5.754800,1.713560,32.951563,0.891151,26.755880,0.667307
103,1.733368,5.722100,1.558960,32.903998,0.890124,26.820698,0.668184
104,1.750035,5.720700,1.576080,32.971782,0.890594,26.910001,0.670419
105,1.766702,5.801300,1.703440,33.019537,0.891341,26.990852,0.671713
106,1.783369,5.633100,1.724360,33.030790,0.892205,27.058360,0.673099
107,1.800036,5.761900,1.702520,32.981290,0.891354,27.116801,0.674096
108,1.816703,5.763700,1.719920,33.034457,0.891448,27.199879,0.675658
