frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,2.800100,0.560000,35.916386,0.939346,28.304563,0.706666
17,0.300006,2.874700,0.594680,35.975605,0.939682,28.258924,0.703693
18,0.316673,2.746000,0.561400,36.004605,0.940653,28.208250,0.700362
19,0.333340,2.512900,0.567120,36.066440,0.941462,28.159724,0.697138
20,0.350007,3.023600,0.574640,36.098097,0.942114,28.098681,0.693814
21,0.366674,3.015300,0.562800,36.189806,0.943470,28.061841,0.691232
22,0.383341,2.975000,0.556960,36.141059,0.943940,27.996567,0.687801
23,0.400008,2.589500,0.627880,36.203390,0.944248,27.957230,0.684541
24,0.416675,2.619200,0.575200,36.318384,0.946029,27.907953,0.679944
25,0.433342,3.019800,0.563640,36.323506,0.946262,27.863395,0.676675
26,0.450009,2.579500,0.579840,36.326393,0.946785,27.816371,0.674039
27,0.466676,2.508000,0.604080,36.214833,0.946424,27.764796,0.672993
28,0.483343,3.578900,0.567360,36.324624,0.947824,27.742289,0.672933
29,0.500010,2.723700,0.561120,36.386423,0.948183,27.710084,0.672581
30,0.516677,2.886700,0.553480,36.396427,0.948967,27.730545,0.672405
31,0.533344,2.652600,0.563960,36.461284,0.949280,27.770342,0.671842
32,0.550011,3.046800,0.593440,36.409655,0.949044,27.803389,0.671712
33,0.566678,2.725500,0.568240,36.462029,0.949923,27.827582,0.672232
34,0.583345,3.070200,0.552680,36.479918,0.950823,27.882463,0.674198
35,0.600012,2.966800,0.580520,36.535391,0.951539,27.977402,0.678631
36,0.616679,3.002800,0.542400,36.640009,0.951797,28.082396,0.682611
37,0.633346,2.935400,0.653360,36.614783,0.952020,28.151903,0.684351
38,0.650013,3.030600,0.542640,36.611518,0.952385,28.231338,0.688576
39,0.666680,2.746900,0.553520,36.706053,0.953334,28.319924,0.693282
40,0.683347,3.026500,0.548680,36.790379,0.954385,28.384280,0.697095
41,0.700014,2.914000,0.648880,36.859419,0.955505,28.461298,0.702705
42,0.716681,2.832900,0.538840,36.999137,0.956340,28.539108,0.709698
43,0.733348,2.615600,0.548440,36.930734,0.956341,28.595501,0.715024
44,0.750015,2.828700,0.540200,36.997224,0.957002,28.582987,0.717138
45,0.766682,3.019600,0.542120,36.890650,0.957078,28.489124,0.718237
46,0.783349,2.702600,0.584640,36.847419,0.958357,28.475996,0.723842
47,0.800016,2.792000,0.546720,36.852607,0.959191,28.528352,0.733484
48,0.816683,2.988900,0.538520,36.864659,0.959589,28.615492,0.744946
49,0.833350,2.972100,0.547680,36.728974,0.959732,28.705527,0.755021
50,0.850017,3.061600,0.528680,36.708833,0.960756,28.814323,0.766246
51,0.866684,2.788500,0.534280,36.451318,0.960085,28.828104,0.781262
52,0.883351,2.951000,0.565000,36.388112,0.960936,28.827010,0.799825
53,0.900018,2.899900,0.623520,34.480656,0.957150,27.750857,0.814588
54,0.916685,3.078600,0.564000,31.658642,0.938615,24.321273,0.809236
55,0.933352,2.875800,0.531520,31.438689,0.936640,23.634436,0.817613
56,0.950019,3.272600,0.559400,28.961798,0.922351,22.742094,0.805079
57,0.966686,2.734600,0.506320,27.492219,0.927040,22.219134,0.798419
58,0.983353,2.698000,0.521240,30.495713,0.943875,21.522843,0.788511
59,1.000020,2.695400,0.545520,29.620207,0.946674,21.732349,0.796252
60,1.016687,2.941000,0.570080,32.144582,0.957272,22.334243,0.809407
61,1.033354,2.917100,0.533040,31.550234,0.950689,22.830851,0.819431
62,1.050021,2.657600,0.575320,33.507866,0.948750,24.174804,0.821015
63,1.066688,3.060700,0.522280,32.390422,0.930103,24.572359,0.815889
64,1.083355,2.964200,0.512200,29.665631,0.903547,24.191698,0.795517
65,1.100022,2.814100,0.528600,29.101384,0.908505,24.751023,0.771238
66,1.116689,2.805900,0.534560,31.036605,0.921264,24.486803,0.728628
67,1.133356,2.571500,0.544200,31.419828,0.920346,24.211585,0.689255
68,1.150023,2.748700,0.560400,32.121915,0.923455,24.309757,0.658038
69,1.166690,2.848000,0.562520,30.396445,0.918925,24.518892,0.635131
70,1.183357,2.628400,0.550120,32.838608,0.926244,25.147689,0.630654
71,1.200024,3.028700,0.526800,32.957732,0.925594,25.147570,0.630902
72,1.216691,2.637800,0.553120,32.962373,0.924522,25.147050,0.633000
73,1.233358,2.827200,0.542080,32.934591,0.922541,25.162676,0.634816
74,1.250025,2.793800,0.522120,32.954608,0.921119,25.164324,0.637987
75,1.266692,2.763400,0.538480,32.863856,0.919731,25.111880,0.639351
76,1.283359,2.840200,0.537000,32.812375,0.918549,25.053689,0.638407
77,1.300026,2.909000,0.532600,32.756844,0.918130,25.004779,0.639055
78,1.316693,2.794400,0.554200,32.776689,0.917615,24.998572,0.639537
79,1.333360,2.773200,0.593320,32.773180,0.917229,25.072261,0.641754
80,1.350027,2.799300,0.548720,32.805790,0.916654,25.183284,0.646008
81,1.366694,2.952100,0.539400,32.816417,0.916154,25.346656,0.650552
82,1.383361,2.821200,0.553280,32.876169,0.915297,25.469693,0.654758
83,1.400028,2.726500,0.559640,32.787012,0.913325,25.575838,0.656178
84,1.416695,2.844000,0.535920,32.824338,0.913415,25.674710,0.658407
85,1.433362,2.831500,0.617320,32.876349,0.913215,25.780270,0.661812
86,1.450029,2.776800,0.540960,32.930831,0.912799,25.903199,0.665562
87,1.466696,3.021800,0.554840,32.949758,0.912474,25.996742,0.668738
88,1.483363,2.825400,0.539560,33.066301,0.913441,26.113465,0.672470
89,1.500030,2.628900,0.570280,33.098127,0.913577,26.216402,0.675818
90,1.516697,2.925700,0.601080,33.118788,0.912905,26.338501,0.678835
91,1.533364,2.882600,0.539640,33.111460,0.912107,26.444625,0.680782
92,1.550031,2.922300,0.618600,33.105003,0.911435,26.528482,0.682422
93,1.566698,2.738400,0.563400,33.144192,0.911618,26.643054,0.685047
94,1.583365,2.714100,0.604880,33.137461,0.910418,26.728731,0.686995
95,1.600032,2.700500,0.595280,33.217871,0.910593,26.817958,0.689846
96,1.616699,2.796600,0.532480,33.233266,0.910606,26.888666,0.691790
97,1.633366,3.062400,0.537280,33.276735,0.910849,26.966865,0.693609
98,1.650033,2.748100,0.593640,33.281409,0.910897,27.067607,0.696155
99,1.666700,2.844200,0.545680,33.404108,0.910973,27.213409,0.699460
100,1.683367,2.830100,0.549960,33.450480,0.911120,27.321820,0.701919
101,1.700034,2.700700,0.548480,33.495322,0.910801,27.435006,0.704664
102,1.716701,2.826200,0.619720,33.501353,0.910666,27.499123,0.705838
103,1.733368,2.860700,0.566720,33.530328,0.910984,27.594391,0.707635
104,1.750035,2.789500,0.526680,33.570355,0.911567,27.682143,0.709385
105,1.766702,2.977300,0.554960,33.573274,0.911817,27.764615,0.711031
106,1.783369,2.704900,0.628280,33.560629,0.911999,27.839756,0.713027
107,1.800036,2.953100,0.532040,33.627931,0.912787,27.923861,0.714628
108,1.816703,2.814800,0.590200,33.671292,0.913449,27.992990,0.716129
109,1.833370,2.813500,0.571520,33.650277,0.912880,28.061701,0.716735
110,1.850037,2.947600,0.601280,33.613496,0.912521,28.122838,0.717459
111,1.866704,2.914600,0.590920,33.598859,0.912396,28.170063,0.717797
112,1.883371,2.569100,0.583040,33.572841,0.912831,28.211888,0.719312
113,1.900038,2.802000,0.620280,33.506818,0.912657,28.212625,0.719207
114,1.916705,2.956300,0.536520,33.588288,0.913844,28.280091,0.719890
115,1.933372,2.714200,0.624520,33.635749,0.914907,28.356201,0.721259
116,1.950039,2.818300,0.553000,33.627947,0.915365,28.428754,0.722381
117,1.966706,2.785800,0.610000,33.726056,0.916751,28.503681,0.723444
118,1.983373,2.937100,0.558560,33.775310,0.917875,28.535718,0.723323
119,2.000040,2.839500,0.575760,33.793159,0.918380,28.572772,0.723404
