frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,3.435700,0.812760,36.006839,0.939971,28.304563,0.706666
17,0.300006,3.103200,0.796120,36.087988,0.940930,28.258924,0.703693
18,0.316673,3.476400,0.799680,36.089985,0.941731,28.208250,0.700362
19,0.333340,3.418700,0.936200,36.183306,0.942889,28.159724,0.697138
20,0.350007,3.275100,0.892960,36.223803,0.943823,28.098681,0.693814
21,0.366674,3.101900,0.856800,36.299997,0.944787,28.061841,0.691232
22,0.383341,3.034400,0.857200,36.257697,0.944985,27.996567,0.687801
23,0.400008,3.047700,0.843000,36.345482,0.945873,27.957230,0.684541
24,0.416675,3.039800,0.913800,36.432837,0.947151,27.907953,0.679944
25,0.433342,2.925400,0.826160,36.415843,0.947501,27.863395,0.676675
26,0.450009,4.383300,0.810040,36.430232,0.947783,27.816371,0.674039
27,0.466676,3.010800,0.831960,36.349982,0.948017,27.764796,0.672993
28,0.483343,3.069100,0.819080,36.458818,0.949121,27.742289,0.672933
29,0.500010,3.135900,0.835440,36.459891,0.949588,27.710084,0.672581
30,0.516677,3.337500,0.813800,36.565526,0.950580,27.730545,0.672405
31,0.533344,3.279300,0.846280,36.637791,0.951125,27.770342,0.671842
32,0.550011,3.137700,0.869360,36.568924,0.951422,27.803389,0.671712
33,0.566678,3.241600,0.943360,36.587670,0.951897,27.827582,0.672232
34,0.583345,3.183900,0.833040,36.644850,0.952785,27.882463,0.674198
35,0.600012,2.983200,0.912880,36.702158,0.953195,27.977402,0.678631
36,0.616679,3.027000,0.777560,36.822264,0.953866,28.082396,0.682611
37,0.633346,3.036900,0.777880,36.784899,0.953801,28.151903,0.684351
38,0.650013,3.151700,0.789520,36.767980,0.954280,28.231338,0.688576
39,0.666680,3.300000,0.852960,36.915319,0.955451,28.319924,0.693282
40,0.683347,3.365800,0.877240,36.955937,0.956250,28.384280,0.697095
41,0.700014,3.226000,0.776840,37.050441,0.957449,28.461298,0.702705
42,0.716681,2.997800,0.844240,37.180209,0.958072,28.539108,0.709698
43,0.733348,3.042000,0.823720,37.152278,0.958571,28.595501,0.715024
44,0.750015,3.437700,0.887080,37.200518,0.959099,28.582987,0.717138
45,0.766682,3.253800,0.815040,37.103052,0.959577,28.489124,0.718237
