frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,6.400300,2.041600,37.431233,0.958300,27.608022,0.676243
17,0.300006,6.776200,2.130920,37.533244,0.958836,27.587697,0.674772
18,0.316673,6.630400,2.162520,37.613965,0.959109,27.556436,0.673007
19,0.333340,6.424400,2.101000,37.619135,0.959238,27.517670,0.670876
20,0.350007,6.427200,1.995680,37.636778,0.959516,27.476728,0.668974
21,0.366674,6.313000,2.209040,37.696736,0.960057,27.453855,0.667843
22,0.383341,6.480800,2.187240,37.706449,0.960410,27.417744,0.666628
23,0.400008,6.724200,2.139560,37.789230,0.960928,27.388923,0.664840
24,0.416675,6.568000,2.215320,37.814064,0.961497,27.342685,0.662128
25,0.433342,6.585800,2.072640,37.805669,0.961510,27.314880,0.659952
26,0.450009,7.638200,2.150400,37.844526,0.962000,27.288097,0.659291
27,0.466676,6.416400,2.161440,37.835190,0.962217,27.245652,0.659772
28,0.483343,6.580700,2.026960,37.801377,0.962680,27.223177,0.660783
29,0.500010,6.645300,2.070040,37.915308,0.963283,27.212596,0.661506
30,0.516677,6.605500,2.053440,37.923645,0.963572,27.232257,0.662330
31,0.533344,6.646100,2.018360,38.054796,0.964237,27.272748,0.663382
32,0.550011,6.622600,2.158600,37.938826,0.964347,27.302703,0.664885
33,0.566678,6.575400,2.070040,37.970257,0.964792,27.345416,0.666700
34,0.583345,6.564100,2.176600,38.037555,0.965153,27.394674,0.669757
35,0.600012,6.766000,2.104320,38.193523,0.965919,27.484322,0.675377
36,0.616679,6.565800,2.119760,38.232558,0.966237,27.580432,0.679796
37,0.633346,6.774100,2.143280,38.220515,0.966445,27.667794,0.683425
38,0.650013,6.415900,2.102640,38.097942,0.966432,27.743021,0.688966
39,0.666680,6.658400,2.255160,38.130659,0.966761,27.819532,0.695116
40,0.683347,6.968100,2.125960,38.293528,0.967361,27.898183,0.700173
41,0.700014,6.479200,2.181840,38.271972,0.967909,27.968287,0.706581
42,0.716681,6.577200,2.107440,38.277251,0.968330,28.049980,0.714435
43,0.733348,6.716500,2.088600,38.339853,0.968603,28.103426,0.720908
44,0.750015,6.904000,2.085400,38.357103,0.969074,28.093675,0.725185
45,0.766682,6.586300,2.276680,38.294803,0.969161,28.048620,0.729475
46,0.783349,6.605800,2.059920,38.298107,0.969653,28.030158,0.737067
47,0.800016,6.774600,2.056400,38.253576,0.970051,28.078668,0.747203
48,0.816683,6.630900,2.124920,38.147223,0.970224,28.175685,0.758021
49,0.833350,6.688700,2.088000,38.050889,0.969882,28.258351,0.768169
50,0.850017,6.593800,2.098720,37.991107,0.970245,28.369804,0.779243
51,0.866684,6.697000,2.121920,38.040384,0.970419,28.404155,0.792802
52,0.883351,6.753200,2.110200,37.615884,0.968816,28.412665,0.808966
53,0.900018,7.060500,2.230120,34.973386,0.964343,27.431150,0.821579
54,0.916685,6.460400,2.098560,33.540762,0.955399,24.159995,0.813498
55,0.933352,6.272200,2.167480,32.640074,0.948304,23.483911,0.815976
56,0.950019,6.138600,2.176160,31.251153,0.944912,22.620144,0.805307
57,0.966686,6.727700,2.176040,29.155529,0.945370,22.113703,0.802146
58,0.983353,6.425800,2.174000,28.977236,0.954278,21.417246,0.796017
59,1.000020,6.261400,2.099080,29.201829,0.959509,21.633011,0.806082
60,1.016687,6.445500,2.031680,31.541881,0.966205,22.243494,0.822571
61,1.033354,6.331000,2.079280,30.620847,0.954625,22.739229,0.833628
62,1.050021,6.277500,2.131120,31.520480,0.953640,24.038398,0.828297
63,1.066688,6.157900,2.131800,31.330921,0.930026,24.404637,0.811301
64,1.083355,6.064400,2.079040,29.904553,0.923207,24.022022,0.785369
65,1.100022,6.381100,2.156440,30.223965,0.926114,24.503198,0.754836
