frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,4.470000,1.384640,33.913607,0.969503,31.350561,0.946622
17,0.300006,4.551500,1.530080,33.855325,0.969576,31.360860,0.946930
18,0.316673,5.153900,1.268160,34.008296,0.970096,31.384621,0.947123
19,0.333340,3.993200,1.379840,33.916403,0.969887,31.404232,0.947085
20,0.350007,4.522300,1.307760,33.806650,0.969551,31.363848,0.947096
21,0.366674,4.697700,1.350040,33.908623,0.969995,31.449408,0.947603
22,0.383341,4.086200,1.286800,33.877920,0.970206,31.525865,0.948440
23,0.400008,4.455800,1.578440,34.094020,0.970605,31.782071,0.949462
24,0.416675,4.272600,1.264040,33.986854,0.970211,31.781858,0.949516
25,0.433342,4.067000,1.293240,34.057761,0.970427,31.703299,0.948668
26,0.450009,4.000600,1.254800,34.160147,0.970875,31.733380,0.949117
27,0.466676,4.311500,1.248920,34.122650,0.970093,31.748006,0.948307
28,0.483343,4.186600,1.352360,34.043543,0.970563,31.759051,0.948894
29,0.500010,4.304600,1.374400,34.000520,0.970512,31.781202,0.949157
30,0.516677,4.291700,1.336440,33.875460,0.970220,31.742008,0.949287
31,0.533344,4.232200,1.262800,34.073018,0.971045,31.844010,0.949323
32,0.550011,4.422700,1.463960,34.022947,0.970374,31.818583,0.948930
33,0.566678,3.962100,1.262840,34.008606,0.970604,31.675987,0.948042
34,0.583345,4.404800,1.253400,34.040296,0.970210,31.644423,0.947378
35,0.600012,4.009700,1.243480,34.092907,0.970754,31.647784,0.947633
36,0.616679,4.149200,1.372880,34.013498,0.970154,31.618496,0.947525
37,0.633346,4.268100,1.214600,34.004456,0.970275,31.696833,0.947850
38,0.650013,4.087900,1.387920,34.063857,0.970843,31.704767,0.947897
39,0.666680,4.346500,1.232160,34.082724,0.970873,31.697415,0.947779
40,0.683347,4.405100,1.247520,34.163648,0.971430,31.705942,0.947845
41,0.700014,4.506800,1.225680,34.281615,0.971798,31.742942,0.948010
42,0.716681,4.424200,1.289200,34.180480,0.970901,31.689910,0.947286
43,0.733348,4.474600,1.289320,34.072738,0.970890,31.556429,0.946484
44,0.750015,4.629500,1.224080,34.138095,0.970927,31.554148,0.946149
45,0.766682,4.297800,1.250120,34.037740,0.970682,31.511074,0.946114
46,0.783349,4.355300,1.378120,34.058864,0.970886,31.487995,0.945644
47,0.800016,4.405100,1.210400,34.085651,0.971176,31.461903,0.945731
48,0.816683,4.340200,1.215720,34.073695,0.971473,31.407715,0.945664
49,0.833350,4.518900,1.279640,34.058911,0.971357,31.392089,0.945407
50,0.850017,4.507000,1.309080,34.018689,0.970844,31.405524,0.945385
51,0.866684,4.405200,1.204320,34.041394,0.970701,31.403848,0.945273
52,0.883351,4.466600,1.237240,33.979340,0.970477,31.424351,0.945440
53,0.900018,4.822700,1.301680,34.064219,0.970746,31.508986,0.945803
54,0.916685,4.171900,1.225760,34.045803,0.970530,31.465228,0.945514
55,0.933352,4.055800,1.187600,34.011735,0.970704,31.461335,0.945749
56,0.950019,4.128800,1.205360,33.827568,0.969835,31.365982,0.945504
57,0.966686,4.537400,1.200760,33.957505,0.970369,31.333330,0.945108
58,0.983353,4.216900,1.204200,34.005956,0.970761,31.310618,0.945067
59,1.000020,4.102700,1.292160,34.019414,0.970859,31.337429,0.945401
60,1.016687,4.479100,1.213960,34.069303,0.970956,31.397424,0.945602
61,1.033354,4.226800,1.226680,34.022031,0.970738,31.379103,0.945314
62,1.050021,4.903400,1.262160,33.983617,0.970306,31.393302,0.945590
63,1.066688,4.331400,1.420480,33.974559,0.970321,31.399650,0.945608
64,1.083355,4.228700,1.317200,34.029423,0.970805,31.399591,0.945957
65,1.100022,4.382000,1.334280,34.134451,0.971350,31.386396,0.946278
66,1.116689,4.416500,1.295200,34.045170,0.970957,31.268158,0.945709
67,1.133356,4.098800,1.479120,33.852387,0.970801,31.131451,0.945106
68,1.150023,4.469900,1.425840,33.934426,0.970492,31.175327,0.944833
69,1.166690,4.341000,1.273520,33.700535,0.970365,31.252696,0.945226
70,1.183357,4.647700,1.388520,33.981867,0.970767,31.391140,0.945030
71,1.200024,4.505600,1.214320,34.055467,0.970699,31.592526,0.946099
72,1.216691,3.986600,1.586440,34.076343,0.970776,31.711709,0.947504
73,1.233358,4.332100,1.469800,34.218729,0.971611,31.714326,0.948002
74,1.250025,4.667300,1.266440,34.282882,0.971757,31.704331,0.947922
75,1.266692,4.343000,1.258960,34.296651,0.972009,31.674601,0.947786
76,1.283359,4.208800,1.377400,34.290129,0.972115,31.664248,0.947941
77,1.300026,4.131100,1.206080,34.095361,0.971501,31.652008,0.948368
78,1.316693,4.091900,1.410840,34.259016,0.971567,31.772761,0.948440
79,1.333360,4.193100,1.289040,34.220345,0.971505,31.735233,0.948022
80,1.350027,4.300900,1.258960,34.093304,0.971387,31.588348,0.947684
81,1.366694,4.198300,1.425160,34.040790,0.970770,31.502366,0.946800
82,1.383361,4.295200,1.466200,34.181316,0.971562,31.520468,0.947047
83,1.400028,4.222100,1.603640,34.233157,0.971668,31.627734,0.947678
84,1.416695,4.200500,1.434120,34.260480,0.971923,31.651150,0.947898
85,1.433362,4.180800,1.332280,34.309572,0.972274,31.612544,0.947578
86,1.450029,4.062100,1.430320,34.261597,0.971812,31.606694,0.947357
87,1.466696,4.095400,1.378480,34.282548,0.972058,31.625144,0.947420
88,1.483363,4.178200,1.363240,34.263110,0.972114,31.623523,0.947524
89,1.500030,4.134900,1.342560,34.204731,0.971436,31.664933,0.947321
90,1.516697,4.171600,1.390360,34.407385,0.972522,31.738278,0.947942
91,1.533364,4.030800,1.422840,34.380883,0.972526,31.765233,0.948323
92,1.550031,4.345300,1.265880,34.363298,0.972682,31.766661,0.948631
93,1.566698,4.309700,1.429080,34.344758,0.972685,31.763955,0.948675
94,1.583365,4.144100,1.379680,34.338515,0.972768,31.759047,0.948653
95,1.600032,4.182500,1.581040,34.394841,0.973067,31.772073,0.948972
96,1.616699,4.325900,1.265240,34.364769,0.973267,31.746792,0.948846
97,1.633366,4.796700,1.409960,34.209021,0.972474,31.729067,0.948543
98,1.650033,4.163300,1.387760,34.313963,0.972962,31.722550,0.948542
99,1.666700,4.222000,1.427680,34.348914,0.973175,31.714414,0.948468
100,1.683367,4.156200,1.317120,34.390127,0.973229,31.722049,0.948474
101,1.700034,4.163200,1.405040,34.350798,0.973432,31.734905,0.948973
102,1.716701,4.235600,1.385680,34.491014,0.973665,31.901925,0.949590
103,1.733368,3.725300,1.257840,34.526054,0.973700,31.934407,0.949855
104,1.750035,4.586600,1.207840,34.140715,0.972171,31.768291,0.948876
105,1.766702,4.172400,1.193720,34.393538,0.972912,31.829874,0.948884
106,1.783369,4.019200,1.310000,34.448132,0.973145,31.831793,0.948602
107,1.800036,4.096000,1.219880,34.506381,0.973335,31.837448,0.948940
108,1.816703,4.117500,1.234960,34.495709,0.973395,31.798400,0.948651
109,1.833370,4.377200,1.333680,34.515684,0.973502,31.803503,0.949135
110,1.850037,4.125300,1.244520,34.438111,0.973181,31.836040,0.949483
111,1.866704,4.184200,1.429000,34.371446,0.973193,31.875092,0.949426
112,1.883371,4.110000,1.207160,34.220847,0.972724,31.734142,0.948841
113,1.900038,4.139100,1.272440,34.085710,0.972223,31.653600,0.948131
114,1.916705,4.342100,1.255520,34.271351,0.972672,31.664146,0.948032
115,1.933372,3.906000,1.199960,34.279540,0.972886,31.604157,0.947389
116,1.950039,4.263800,1.273560,34.285914,0.972689,31.633707,0.947836
117,1.966706,3.994200,1.225960,34.244661,0.972725,31.583322,0.947611
118,1.983373,4.113500,1.491080,34.250770,0.972828,31.593097,0.947906
119,2.000040,3.824000,1.274840,34.262931,0.973047,31.606707,0.948272
