frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,4.555500,1.513240,33.996812,0.970190,31.350561,0.946622
17,0.300006,4.312600,1.617160,34.011368,0.970463,31.360860,0.946930
18,0.316673,4.763500,1.653040,34.103846,0.971040,31.384621,0.947123
19,0.333340,4.676800,1.645640,34.039805,0.970779,31.404232,0.947085
20,0.350007,4.377100,1.696320,33.846166,0.970333,31.363848,0.947096
21,0.366674,4.473300,1.615520,34.012793,0.970845,31.449408,0.947603
22,0.383341,4.509300,1.536080,34.015965,0.971219,31.525865,0.948440
23,0.400008,4.751900,1.604360,34.206871,0.971575,31.782071,0.949462
24,0.416675,4.389700,1.615200,34.067029,0.971104,31.781858,0.949516
25,0.433342,4.314400,1.652000,34.184264,0.971356,31.703299,0.948668
26,0.450009,4.273400,1.556280,34.233046,0.971838,31.733380,0.949117
27,0.466676,4.476000,1.516480,34.246961,0.971050,31.748006,0.948307
28,0.483343,4.604200,1.528880,34.207270,0.971632,31.759051,0.948894
29,0.500010,4.590100,1.520320,34.091210,0.971400,31.781202,0.949157
30,0.516677,4.436200,1.707040,33.971674,0.971128,31.742008,0.949287
31,0.533344,4.596900,1.634240,34.178017,0.971896,31.844010,0.949323
32,0.550011,4.542600,1.589600,34.135230,0.971311,31.818583,0.948930
33,0.566678,4.749500,1.696240,34.164414,0.971583,31.675987,0.948042
34,0.583345,4.448700,1.671520,34.154354,0.971066,31.644423,0.947378
35,0.600012,4.409100,1.861560,34.143787,0.971471,31.647784,0.947633
36,0.616679,4.976900,1.548160,34.120358,0.971092,31.618496,0.947525
37,0.633346,4.695700,1.514360,34.136862,0.971233,31.696833,0.947850
38,0.650013,4.511400,1.750160,34.171210,0.971637,31.704767,0.947897
39,0.666680,4.336500,1.687720,34.158989,0.971725,31.697415,0.947779
40,0.683347,4.364500,1.548200,34.293408,0.972364,31.705942,0.947845
41,0.700014,4.365300,1.640160,34.373975,0.972683,31.742942,0.948010
42,0.716681,4.472800,1.556560,34.274678,0.971763,31.689910,0.947286
43,0.733348,4.397300,1.494880,34.238330,0.971831,31.556429,0.946484
44,0.750015,4.566300,1.710480,34.241270,0.971804,31.554148,0.946149
45,0.766682,4.218000,1.428280,34.177691,0.971783,31.511074,0.946114
46,0.783349,4.446900,1.503040,34.165880,0.971820,31.487995,0.945644
47,0.800016,4.240600,1.502880,34.174004,0.972062,31.461903,0.945731
48,0.816683,4.185500,1.743960,34.200860,0.972402,31.407715,0.945664
49,0.833350,4.374800,1.512800,34.159311,0.972221,31.392089,0.945407
50,0.850017,4.788300,1.578200,34.096624,0.971709,31.405524,0.945385
51,0.866684,4.404000,1.533840,34.144015,0.971710,31.403848,0.945273
52,0.883351,4.215900,1.528960,33.911058,0.970677,31.424351,0.945440
53,0.900018,4.362100,1.811160,34.144904,0.971624,31.508986,0.945803
54,0.916685,4.570900,1.640560,34.187196,0.971622,31.465228,0.945514
55,0.933352,4.480900,1.661200,34.116575,0.971710,31.461335,0.945749
56,0.950019,4.337200,1.660880,33.942865,0.970857,31.365983,0.945504
57,0.966686,4.548700,1.703600,34.083543,0.971524,31.333331,0.945108
58,0.983353,4.638100,1.656200,34.135980,0.971876,31.310618,0.945067
59,1.000020,4.358000,1.679680,34.102386,0.971823,31.337429,0.945401
60,1.016687,4.765400,1.668520,34.180030,0.971925,31.397425,0.945602
61,1.033354,4.622000,1.570880,34.148466,0.971623,31.379103,0.945314
62,1.050021,5.148600,1.802680,34.110378,0.971347,31.393301,0.945590
63,1.066688,4.384300,1.672400,34.117173,0.971425,31.399650,0.945608
64,1.083355,5.497300,1.528000,34.177727,0.971893,31.399591,0.945957
65,1.100022,4.654900,1.706400,34.260327,0.972382,31.386394,0.946278
66,1.116689,4.229500,1.653640,34.181994,0.971983,31.268158,0.945709
67,1.133356,4.329000,1.724120,34.120701,0.972226,31.131449,0.945106
68,1.150023,4.434800,1.659480,34.064363,0.971686,31.175325,0.944833
69,1.166690,4.798500,1.639720,33.938959,0.971588,31.252695,0.945226
70,1.183357,4.802600,1.717680,34.136000,0.971790,31.391138,0.945030
71,1.200024,4.738100,1.940800,34.137003,0.971570,31.592526,0.946099
72,1.216691,4.401900,1.667880,34.124576,0.971575,31.711712,0.947504
73,1.233358,4.645900,1.776160,34.341954,0.972531,31.714324,0.948002
74,1.250025,4.660900,1.670000,34.391698,0.972628,31.704330,0.947922
75,1.266692,4.624400,1.687000,34.391469,0.972885,31.674597,0.947786
76,1.283359,4.509800,1.680840,34.416076,0.972998,31.664243,0.947941
77,1.300026,4.554200,1.665200,34.166344,0.972286,31.652006,0.948368
78,1.316693,4.397400,1.785600,34.320568,0.972314,31.772759,0.948440
79,1.333360,4.517300,1.636520,34.314227,0.972227,31.735228,0.948022
80,1.350027,4.708100,1.753840,34.178743,0.972125,31.588345,0.947684
81,1.366694,4.667000,1.931800,34.234363,0.971995,31.502361,0.946800
82,1.383361,4.446300,1.859560,34.313762,0.972477,31.520464,0.947047
83,1.400028,4.534700,1.622080,34.328489,0.972516,31.627727,0.947677
84,1.416695,4.600300,1.665320,34.406172,0.972967,31.651150,0.947898
85,1.433362,4.545400,1.616440,34.436833,0.973226,31.612544,0.947578
86,1.450029,4.376900,1.565920,34.333366,0.972537,31.606694,0.947357
87,1.466696,4.435100,1.769480,34.384429,0.972863,31.625144,0.947420
88,1.483363,4.191900,1.663280,34.275620,0.972614,31.623523,0.947524
89,1.500030,4.341400,1.671960,34.384226,0.972544,31.664933,0.947321
90,1.516697,4.510000,1.655600,34.538543,0.973468,31.738278,0.947942
91,1.533364,4.655400,1.700520,34.532762,0.973507,31.765233,0.948323
92,1.550031,4.448700,1.708920,34.474216,0.973553,31.766661,0.948631
93,1.566698,4.385100,1.859960,34.458046,0.973562,31.763955,0.948675
94,1.583365,4.484500,1.769040,34.492455,0.973797,31.759047,0.948653
95,1.600032,4.509200,1.644520,34.511349,0.974001,31.772073,0.948972
96,1.616699,4.361000,1.642720,34.464425,0.974088,31.746792,0.948846
97,1.633366,4.518000,1.653560,34.305668,0.973271,31.729067,0.948543
98,1.650033,4.415200,1.672880,34.454451,0.974008,31.722550,0.948542
99,1.666700,4.571000,1.702120,34.488349,0.974138,31.714414,0.948468
100,1.683367,4.562700,1.768920,34.556798,0.974261,31.722049,0.948474
101,1.700034,4.588300,1.705880,34.551782,0.974519,31.734905,0.948973
102,1.716701,4.605800,1.736960,34.504507,0.974390,31.901925,0.949590
103,1.733368,4.512300,1.753960,34.704779,0.974867,31.934407,0.949855
104,1.750035,4.444300,1.676400,34.284786,0.973197,31.768291,0.948876
105,1.766702,4.654300,1.798280,34.577337,0.974094,31.829874,0.948884
106,1.783369,4.631300,1.691760,34.609869,0.974163,31.831793,0.948602
107,1.800036,4.367800,1.723680,34.640427,0.974385,31.837448,0.948940
108,1.816703,4.440400,1.723680,34.692055,0.974595,31.798400,0.948651
109,1.833370,4.358000,1.650640,34.605230,0.974369,31.803503,0.949135
110,1.850037,4.458200,1.784040,34.625242,0.974409,31.836040,0.949483
111,1.866704,4.453400,1.667200,34.617900,0.974274,31.875092,0.949426
112,1.883371,4.546500,1.696320,34.561655,0.974165,31.734142,0.948841
113,1.900038,4.408100,1.719160,34.431433,0.973918,31.653600,0.948131
114,1.916705,4.338400,1.661800,34.531437,0.974039,31.664146,0.948032
