frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,6.535800,2.030600,37.422454,0.958194,27.608022,0.676243
17,0.300006,6.635500,1.740280,37.520985,0.958713,27.587697,0.674772
18,0.316673,6.827600,1.894880,37.592774,0.958956,27.556436,0.673007
19,0.333340,6.310300,1.818160,37.603896,0.959123,27.517670,0.670876
20,0.350007,6.692700,1.993120,37.636678,0.959470,27.476728,0.668974
21,0.366674,6.476700,1.974520,37.690293,0.959985,27.453937,0.667845
22,0.383341,6.006100,1.952600,37.694294,0.960311,27.417744,0.666628
23,0.400008,6.285800,1.723920,37.784673,0.960820,27.388923,0.664840
24,0.416675,6.257100,1.726760,37.801911,0.961431,27.342685,0.662128
25,0.433342,6.399000,1.888920,37.801565,0.961500,27.314880,0.659952
26,0.450009,7.304200,1.969840,37.865660,0.961995,27.288097,0.659291
27,0.466676,6.379400,1.702160,37.851912,0.962238,27.245652,0.659772
28,0.483343,6.719800,2.002360,37.840689,0.962745,27.223177,0.660783
29,0.500010,6.086000,1.794600,37.911592,0.963266,27.212596,0.661506
30,0.516677,6.421200,1.924880,37.939435,0.963531,27.232257,0.662330
31,0.533344,6.510700,1.950160,38.061842,0.964167,27.272748,0.663382
32,0.550011,6.298000,1.757160,37.949589,0.964282,27.302703,0.664885
33,0.566678,6.731300,1.800320,37.995521,0.964770,27.345416,0.666700
34,0.583345,6.385600,1.729720,38.047061,0.965090,27.394674,0.669757
35,0.600012,6.272600,1.839280,38.204382,0.965861,27.484322,0.675377
36,0.616679,6.506900,1.720400,38.221570,0.966112,27.580432,0.679796
37,0.633346,6.646500,1.734480,38.211394,0.966356,27.667794,0.683425
38,0.650013,6.559900,1.884760,38.084385,0.966354,27.743021,0.688966
39,0.666680,6.743700,1.720360,38.151825,0.966762,27.819532,0.695116
40,0.683347,6.798500,1.906000,38.299731,0.967341,27.898183,0.700173
41,0.700014,6.359600,1.869120,38.276858,0.967870,27.968287,0.706581
42,0.716681,6.604300,1.894240,38.275305,0.968337,28.049980,0.714435
43,0.733348,6.078100,1.744680,38.328006,0.968540,28.103426,0.720908
44,0.750015,6.449200,1.923520,38.347132,0.969079,28.093675,0.725185
45,0.766682,6.305100,1.763880,38.306717,0.969134,28.048620,0.729475
46,0.783349,6.640600,1.822200,38.249448,0.969635,28.030158,0.737067
47,0.800016,6.526700,1.897000,38.224572,0.970034,28.078668,0.747203
48,0.816683,6.473500,1.873360,38.176708,0.970246,28.175685,0.758021
49,0.833350,6.663200,1.856360,38.133434,0.969945,28.258351,0.768169
50,0.850017,6.537500,2.007000,37.941622,0.970322,28.369804,0.779243
51,0.866684,6.632000,1.957240,37.885171,0.970494,28.404155,0.792802
52,0.883351,6.403800,1.847360,37.575817,0.969933,28.412665,0.808966
53,0.900018,6.229800,1.833640,35.334062,0.966040,27.431150,0.821579
54,0.916685,6.003200,1.917240,32.840038,0.954139,24.159995,0.813498
55,0.933352,6.029500,1.874080,34.008061,0.954695,23.483911,0.815976
56,0.950019,6.062300,1.835480,32.266090,0.951242,22.620144,0.805307
57,0.966686,6.153400,1.857840,29.115835,0.948749,22.113703,0.802146
58,0.983353,5.804400,1.873080,29.411482,0.955107,21.417246,0.796017
59,1.000020,6.253100,1.779160,29.007725,0.957984,21.633011,0.806082
60,1.016687,6.053200,1.790920,30.902027,0.964035,22.243494,0.822571
61,1.033354,5.890000,1.827160,30.170886,0.957724,22.739229,0.833628
62,1.050021,6.061100,1.664400,26.082863,0.955007,24.038398,0.828297
63,1.066688,6.089900,1.777080,34.310476,0.948869,24.404637,0.811301
64,1.083355,6.300800,1.860760,31.682166,0.932149,24.022022,0.785369
65,1.100022,5.704100,1.824960,30.750222,0.930924,24.503198,0.754836
66,1.116689,6.109400,1.821080,32.126667,0.936986,24.163630,0.711392
67,1.133356,7.654000,1.740800,32.431445,0.938384,23.858813,0.672926
68,1.150023,6.051100,1.778640,32.391951,0.937801,23.928120,0.643182
69,1.166690,6.363400,1.840880,31.157233,0.934155,24.102472,0.619819
70,1.183357,6.081300,1.864520,34.057913,0.938758,24.639963,0.612614
71,1.200024,5.943000,1.789960,34.349796,0.939404,24.631156,0.610840
72,1.216691,6.078100,1.845280,34.363305,0.938905,24.605827,0.609847
73,1.233358,6.156900,1.804000,34.319926,0.938018,24.587312,0.608223
74,1.250025,6.312700,1.808920,34.289704,0.937113,24.565117,0.608407
75,1.266692,6.141600,1.887360,34.264134,0.936572,24.515571,0.608686
76,1.283359,6.200900,1.788920,34.275418,0.936292,24.447821,0.606448
77,1.300026,6.107500,1.877760,34.279550,0.936122,24.388736,0.605318
