frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,4.526600,1.883160,33.775686,0.968625,31.350561,0.946622
17,0.300006,4.696200,1.774200,33.791988,0.968942,31.360860,0.946930
18,0.316673,4.471400,1.548200,33.824891,0.969102,31.384621,0.947123
19,0.333340,4.175100,1.902040,33.849392,0.969278,31.404232,0.947085
20,0.350007,4.433100,1.637760,33.547494,0.968390,31.363848,0.947096
21,0.366674,4.665600,1.655760,33.865692,0.969441,31.449408,0.947603
22,0.383341,4.544500,1.720560,33.686106,0.969329,31.525865,0.948440
23,0.400008,4.517200,1.880880,34.072055,0.970277,31.782071,0.949462
24,0.416675,4.382200,1.572920,33.895226,0.969539,31.781858,0.949516
25,0.433342,4.579300,1.539840,33.983710,0.969950,31.703299,0.948668
26,0.450009,4.496200,1.526560,33.975050,0.970053,31.733380,0.949117
27,0.466676,4.612900,1.681040,34.035780,0.969480,31.748006,0.948307
28,0.483343,4.404600,1.766640,33.914798,0.969755,31.759051,0.948894
29,0.500010,4.505500,1.554000,33.898504,0.969818,31.781202,0.949157
30,0.516677,4.406500,1.561640,33.810610,0.969687,31.742008,0.949287
31,0.533344,4.369300,1.888240,34.032436,0.970465,31.844010,0.949323
32,0.550011,4.157500,1.753840,33.925031,0.969593,31.818583,0.948930
33,0.566678,4.149900,1.660080,33.947007,0.969955,31.675987,0.948042
34,0.583345,4.717500,1.544960,33.900434,0.969652,31.644423,0.947378
35,0.600012,4.475800,1.527320,34.066237,0.970232,31.647784,0.947633
36,0.616679,4.398600,1.726000,33.867695,0.969445,31.618496,0.947525
37,0.633346,4.251100,1.551080,33.955894,0.969731,31.696833,0.947850
38,0.650013,4.212400,1.568080,33.960594,0.969977,31.704767,0.947897
39,0.666680,4.620800,1.542160,33.997802,0.970229,31.697415,0.947779
40,0.683347,4.941400,1.525240,34.137951,0.970885,31.705942,0.947845
41,0.700014,4.354100,1.703040,34.207350,0.971129,31.742942,0.948010
42,0.716681,4.536000,1.589280,34.123067,0.970317,31.689910,0.947286
43,0.733348,4.833000,1.513360,34.085090,0.970605,31.556429,0.946484
44,0.750015,4.468000,1.585520,34.086502,0.970350,31.554148,0.946149
45,0.766682,4.434900,1.828400,34.012602,0.970263,31.511074,0.946114
46,0.783349,4.534700,1.498720,34.003761,0.970301,31.487995,0.945644
47,0.800016,4.598800,1.682440,34.022747,0.970645,31.461903,0.945731
48,0.816683,4.387700,1.491640,34.045232,0.970914,31.407715,0.945664
49,0.833350,4.675100,1.765000,33.963457,0.970719,31.392089,0.945407
50,0.850017,4.531100,1.565280,33.959427,0.970259,31.405524,0.945385
51,0.866684,4.338300,1.515840,33.981805,0.970306,31.403848,0.945273
52,0.883351,4.543000,1.521320,33.861970,0.969834,31.424351,0.945440
53,0.900018,4.415900,1.505960,34.002729,0.970299,31.508986,0.945803
54,0.916685,4.690000,1.747000,33.969464,0.969967,31.465228,0.945514
55,0.933352,4.454000,1.662280,33.924340,0.970096,31.461335,0.945749
56,0.950019,4.533000,1.705440,33.810869,0.969385,31.365982,0.945504
57,0.966686,4.579500,1.729080,33.873721,0.969793,31.333330,0.945108
58,0.983353,4.609700,1.581000,33.908299,0.970044,31.310618,0.945067
59,1.000020,4.450100,1.801040,33.924561,0.970102,31.337429,0.945401
60,1.016687,4.902100,1.664280,33.898331,0.969876,31.397424,0.945602
61,1.033354,4.336100,1.637160,33.932789,0.970003,31.379103,0.945314
62,1.050021,5.362600,2.092080,33.827449,0.969272,31.393302,0.945590
63,1.066688,4.303400,1.715000,33.884109,0.969519,31.399650,0.945608
64,1.083355,5.428000,1.597440,33.903267,0.969821,31.399591,0.945957
65,1.100022,4.494800,1.671240,34.046295,0.970573,31.386396,0.946278
66,1.116689,6.462200,1.740880,33.937475,0.970082,31.268158,0.945709
67,1.133356,4.481900,1.688280,33.695883,0.969821,31.131451,0.945106
68,1.150023,4.483400,1.891640,33.740303,0.969344,31.175327,0.944833
69,1.166690,4.622500,1.663880,33.586070,0.969542,31.252696,0.945226
70,1.183357,4.498000,1.668520,33.905940,0.969940,31.391140,0.945030
71,1.200024,4.568800,1.645400,33.967088,0.969882,31.592526,0.946099
72,1.216691,4.498500,1.669440,33.977895,0.969958,31.711709,0.947504
73,1.233358,4.442600,1.681680,34.172037,0.970983,31.714326,0.948002
74,1.250025,4.753100,1.988960,34.167433,0.970866,31.704331,0.947922
75,1.266692,4.422800,1.548160,34.220519,0.971367,31.674601,0.947786
76,1.283359,4.550600,1.819240,34.226707,0.971475,31.664248,0.947941
77,1.300026,4.345800,1.662320,34.043544,0.970945,31.652008,0.948368
78,1.316693,4.314800,1.680960,34.170739,0.970902,31.772761,0.948440
79,1.333360,4.406000,1.654920,34.190348,0.971009,31.735233,0.948022
80,1.350027,4.560800,1.684720,33.992719,0.970727,31.588348,0.947684
81,1.366694,4.586600,1.694520,34.035924,0.970478,31.502366,0.946800
82,1.383361,4.278100,1.717200,34.126695,0.970951,31.520468,0.947047
83,1.400028,4.508800,1.656680,34.188170,0.971158,31.627734,0.947678
84,1.416695,4.330000,1.565000,34.244303,0.971543,31.651150,0.947898
85,1.433362,4.216100,1.670040,34.212053,0.971508,31.612544,0.947578
86,1.450029,4.501000,1.784360,34.182429,0.971235,31.606694,0.947357
87,1.466696,4.481100,1.789000,34.233783,0.971477,31.625144,0.947420
88,1.483363,4.440300,1.654280,34.188282,0.971501,31.623523,0.947524
89,1.500030,4.490300,1.678120,34.239513,0.971219,31.664933,0.947321
90,1.516697,4.556000,1.708360,34.316066,0.971794,31.738278,0.947942
91,1.533364,4.793900,1.667200,34.290187,0.971723,31.765233,0.948323
92,1.550031,4.588900,1.682080,34.202176,0.971760,31.766661,0.948631
93,1.566698,4.253800,1.761120,34.250354,0.971860,31.763955,0.948675
94,1.583365,4.459700,1.702080,34.162718,0.971743,31.759047,0.948653
95,1.600032,4.503000,1.648320,34.213477,0.972165,31.772073,0.948972
96,1.616699,4.510700,1.732080,34.157225,0.971913,31.746792,0.948846
97,1.633366,4.503700,1.773120,34.053269,0.971433,31.729067,0.948543
98,1.650033,4.368500,1.679880,34.185129,0.971929,31.722550,0.948542
99,1.666700,4.782700,1.678240,34.258301,0.972258,31.714414,0.948468
100,1.683367,4.480800,1.656080,34.172871,0.971911,31.722049,0.948474
101,1.700034,4.433100,1.734480,34.269685,0.972586,31.734905,0.948973
102,1.716701,4.463200,1.654440,34.371359,0.972735,31.901925,0.949590
103,1.733368,4.351600,1.652840,34.425870,0.972831,31.934407,0.949855
104,1.750035,4.285100,1.700640,33.920213,0.970854,31.768291,0.948876
105,1.766702,4.602700,1.657680,34.311028,0.972102,31.829874,0.948884
106,1.783369,4.471700,1.851920,34.303393,0.972259,31.831793,0.948602
107,1.800036,4.375100,1.989040,34.394175,0.972446,31.837448,0.948940
108,1.816703,4.537500,1.648160,34.288279,0.972213,31.798400,0.948651
109,1.833370,4.358600,1.695600,34.332010,0.972358,31.803503,0.949135
110,1.850037,4.813700,1.704040,34.232022,0.972097,31.836040,0.949483
111,1.866704,4.410000,1.717960,34.334869,0.972382,31.875092,0.949426
112,1.883371,4.414500,1.892200,33.907874,0.971534,31.734142,0.948841
113,1.900038,4.672500,1.901400,34.066921,0.971707,31.653600,0.948131
114,1.916705,4.669000,1.680440,34.046316,0.971543,31.664146,0.948032
115,1.933372,4.508500,1.561760,34.193845,0.972034,31.604157,0.947389
116,1.950039,4.516600,1.676240,34.086562,0.971683,31.633707,0.947836
117,1.966706,4.426500,1.657760,34.155519,0.971871,31.583322,0.947611
118,1.983373,4.421200,1.570520,34.052786,0.971766,31.593097,0.947906
119,2.000040,4.285700,1.723880,34.139591,0.972121,31.606707,0.948272
