frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,5.999200,1.909080,37.404745,0.957818,27.608022,0.676243
17,0.300006,6.083400,1.928400,37.493248,0.958368,27.587697,0.674772
18,0.316673,6.265600,1.919600,37.569885,0.958601,27.556436,0.673007
19,0.333340,6.441700,1.955760,37.563409,0.958727,27.517670,0.670876
20,0.350007,6.373800,1.812560,37.633305,0.959143,27.476728,0.668974
21,0.366674,6.424100,2.083080,37.673057,0.959653,27.453937,0.667845
22,0.383341,6.561400,1.999400,37.657155,0.959950,27.417744,0.666628
23,0.400008,6.631100,1.728560,37.745905,0.960423,27.388923,0.664840
24,0.416675,6.588000,1.750040,37.784726,0.961052,27.342685,0.662128
25,0.433342,6.591900,1.802920,37.794982,0.961239,27.314880,0.659952
26,0.450009,7.200900,1.921120,37.798888,0.961559,27.288097,0.659291
27,0.466676,6.574500,1.727560,37.781529,0.961759,27.245652,0.659772
28,0.483343,6.573400,1.774480,37.747840,0.962259,27.223177,0.660783
29,0.500010,6.573100,2.064800,37.865384,0.962857,27.212596,0.661506
30,0.516677,6.439000,1.720000,37.877418,0.963180,27.232257,0.662330
31,0.533344,6.476500,2.109040,38.021521,0.963841,27.272748,0.663382
32,0.550011,6.497100,2.030720,37.898540,0.963926,27.302703,0.664885
33,0.566678,6.252500,1.940640,37.962364,0.964468,27.345416,0.666700
34,0.583345,6.453000,1.786400,37.985826,0.964767,27.394674,0.669757
35,0.600012,6.414200,1.909320,38.178799,0.965631,27.484322,0.675377
36,0.616679,6.282500,1.777760,38.213126,0.965895,27.580432,0.679796
37,0.633346,6.489300,1.912080,38.185863,0.966110,27.667794,0.683425
38,0.650013,6.296100,1.821920,38.085339,0.966097,27.743021,0.688966
39,0.666680,6.650900,1.751200,38.142077,0.966557,27.819532,0.695116
40,0.683347,6.224900,1.963200,38.287948,0.967084,27.898183,0.700173
41,0.700014,6.437100,1.787520,38.246602,0.967649,27.968287,0.706581
42,0.716681,6.366900,1.852360,38.204004,0.967963,28.049980,0.714435
43,0.733348,6.411800,1.937200,38.323099,0.968331,28.103426,0.720908
44,0.750015,6.488600,1.791600,38.340044,0.968806,28.093675,0.725185
45,0.766682,6.172900,1.919360,38.280750,0.968849,28.048620,0.729475
46,0.783349,6.286500,1.864720,38.277282,0.969380,28.030158,0.737067
47,0.800016,6.504900,1.899080,38.245522,0.969724,28.078668,0.747203
48,0.816683,6.390300,1.900280,38.158103,0.969900,28.175685,0.758021
49,0.833350,6.364700,1.907720,38.046984,0.969582,28.258351,0.768169
50,0.850017,6.363100,1.946240,37.954423,0.969843,28.369804,0.779243
51,0.866684,6.413000,1.857280,37.990038,0.970138,28.404155,0.792802
52,0.883351,6.319100,1.829680,37.693242,0.969017,28.412665,0.808966
53,0.900018,6.327200,1.865840,35.095582,0.965327,27.431150,0.821579
54,0.916685,6.253500,1.907920,33.240351,0.956226,24.159995,0.813498
55,0.933352,6.345500,1.906200,32.720141,0.949513,23.483911,0.815976
56,0.950019,6.202400,1.822160,31.214103,0.945016,22.620144,0.805307
57,0.966686,6.065900,1.785360,28.543749,0.944296,22.113703,0.802146
58,0.983353,6.159200,1.726600,28.822871,0.954847,21.417246,0.796017
59,1.000020,5.711600,1.824120,28.873006,0.958719,21.633011,0.806082
60,1.016687,6.073300,1.737320,30.604033,0.963858,22.243494,0.822571
61,1.033354,6.043300,1.714920,29.471451,0.952646,22.739229,0.833628
62,1.050021,6.010800,1.762760,25.735731,0.947044,24.038398,0.828297
63,1.066688,6.101400,1.919240,31.141729,0.930965,24.404637,0.811301
64,1.083355,6.317600,1.789200,29.807544,0.922622,24.022022,0.785369
65,1.100022,5.993500,1.753560,30.021204,0.924329,24.503198,0.754836
66,1.116689,6.098100,1.810480,31.914597,0.937171,24.163630,0.711392
67,1.133356,5.704900,1.754400,32.407514,0.938430,23.858813,0.672926
68,1.150023,6.227500,1.907840,32.171605,0.937210,23.928120,0.643182
69,1.166690,6.235300,1.845760,30.224451,0.933696,24.102472,0.619819
70,1.183357,6.157700,1.779680,34.020046,0.938465,24.639963,0.612614
71,1.200024,6.326700,1.790240,34.326555,0.939321,24.631156,0.610840
72,1.216691,6.086900,1.886360,34.365304,0.938921,24.605827,0.609847
73,1.233358,6.067400,1.847800,34.276926,0.937730,24.587312,0.608223
74,1.250025,6.355500,1.886360,34.306901,0.937078,24.565117,0.608407
75,1.266692,6.277000,1.875320,34.269570,0.936462,24.515571,0.608686
76,1.283359,6.042400,1.741960,34.260064,0.936084,24.447821,0.606448
77,1.300026,6.097500,2.105040,34.254760,0.935852,24.388736,0.605318
78,1.316693,6.010200,1.891480,34.206566,0.935270,24.373908,0.604738
79,1.333360,6.064700,1.908760,34.109532,0.934383,24.424114,0.606053
80,1.350027,6.349800,1.877680,34.224303,0.934612,24.526082,0.609554
81,1.366694,6.096800,1.931640,34.220760,0.934109,24.649632,0.612945
82,1.383361,6.096800,1.797160,34.268789,0.934232,24.748136,0.616207
83,1.400028,6.028800,1.838720,34.332073,0.934420,24.854681,0.618494
84,1.416695,6.285100,1.744960,34.304089,0.933859,24.933780,0.619795
85,1.433362,5.980700,1.881440,34.240510,0.933386,25.012594,0.622071
86,1.450029,6.765500,1.781960,34.304394,0.933338,25.111764,0.625102
87,1.466696,6.232300,1.907480,34.287906,0.933152,25.195483,0.628018
88,1.483363,6.284300,1.727000,34.310748,0.932582,25.295436,0.630769
