frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,4.361900,1.721800,34.018665,0.970220,31.350561,0.946622
17,0.300006,4.684100,1.539480,33.970407,0.970280,31.360860,0.946930
18,0.316673,4.678500,1.522680,34.080450,0.970817,31.384621,0.947123
19,0.333340,4.184700,1.698760,34.025101,0.970538,31.404232,0.947085
20,0.350007,4.415700,1.563400,33.871002,0.970269,31.363848,0.947096
21,0.366674,4.333000,1.598200,34.027730,0.970667,31.449408,0.947603
22,0.383341,4.379700,1.651200,34.010171,0.971000,31.525865,0.948440
23,0.400008,4.324700,1.518160,34.157652,0.971109,31.782071,0.949462
24,0.416675,4.765700,1.639680,34.055202,0.970851,31.781858,0.949516
25,0.433342,4.541500,1.628000,34.176116,0.971069,31.703299,0.948668
26,0.450009,4.398100,1.957400,34.252780,0.971559,31.733380,0.949117
27,0.466676,4.260900,1.605720,34.201957,0.970724,31.748006,0.948307
28,0.483343,4.521200,1.618880,34.179900,0.971327,31.759051,0.948894
29,0.500010,4.475200,1.569720,34.046004,0.970934,31.781202,0.949157
30,0.516677,4.437100,1.823040,33.982758,0.970941,31.742008,0.949287
31,0.533344,4.810900,1.645440,34.171150,0.971683,31.844010,0.949323
32,0.550011,4.565900,1.573920,34.099682,0.971017,31.818583,0.948930
33,0.566678,4.194300,1.557040,34.119372,0.971309,31.675987,0.948042
34,0.583345,4.512200,1.682280,34.141362,0.970771,31.644423,0.947378
35,0.600012,4.641300,1.540480,34.213259,0.971419,31.647784,0.947633
36,0.616679,4.719700,1.598040,34.084095,0.970732,31.618496,0.947525
37,0.633346,4.389600,1.547440,34.106659,0.970936,31.696833,0.947850
38,0.650013,4.395700,1.553520,34.144670,0.971432,31.704767,0.947897
39,0.666680,4.484000,1.689960,34.160256,0.971507,31.697415,0.947779
40,0.683347,4.244800,1.516040,34.291393,0.972210,31.705942,0.947845
41,0.700014,4.569400,1.610280,34.360829,0.972477,31.742942,0.948010
42,0.716681,4.737700,1.470760,34.234582,0.971475,31.689910,0.947286
43,0.733348,4.548700,1.650000,34.218349,0.971699,31.556429,0.946484
44,0.750015,4.663000,1.744240,34.211808,0.971602,31.554148,0.946149
45,0.766682,4.687600,1.459680,34.175025,0.971557,31.511074,0.946114
46,0.783349,4.856600,1.507120,34.160479,0.971603,31.487995,0.945644
47,0.800016,4.504500,1.717560,34.158699,0.971741,31.461903,0.945731
48,0.816683,4.689700,1.643080,34.217482,0.972232,31.407715,0.945664
49,0.833350,4.451300,1.500760,34.162328,0.972026,31.392089,0.945407
50,0.850017,4.954100,1.500600,34.127031,0.971569,31.405524,0.945385
51,0.866684,4.493600,1.504920,34.125384,0.971353,31.403848,0.945273
52,0.883351,4.538900,1.694560,34.053859,0.971070,31.424351,0.945440
53,0.900018,4.486900,1.916800,34.138540,0.971361,31.508986,0.945803
54,0.916685,4.217600,1.509480,34.127224,0.971121,31.465228,0.945514
55,0.933352,4.675800,1.730720,34.112492,0.971452,31.461335,0.945749
56,0.950019,4.571100,1.649800,34.005496,0.970728,31.365982,0.945504
57,0.966686,4.725900,1.832480,34.063293,0.971180,31.333330,0.945108
58,0.983353,4.523500,1.648560,34.128539,0.971587,31.310618,0.945067
59,1.000020,4.828300,1.656800,34.117723,0.971605,31.337429,0.945401
60,1.016687,4.471400,1.789080,34.203835,0.971837,31.397424,0.945602
61,1.033354,4.557900,1.630160,34.168097,0.971516,31.379103,0.945314
62,1.050021,5.245900,1.701400,34.060530,0.970987,31.393302,0.945590
63,1.066688,4.489400,1.713040,34.088355,0.971144,31.399650,0.945608
64,1.083355,4.569100,1.529360,34.167793,0.971765,31.399591,0.945957
65,1.100022,5.294200,1.684560,34.239907,0.972087,31.386396,0.946278
66,1.116689,4.472100,1.662200,34.205269,0.971888,31.268158,0.945709
67,1.133356,4.484300,1.668480,34.106646,0.971957,31.131451,0.945106
68,1.150023,4.141400,1.652080,34.085288,0.971518,31.175327,0.944833
69,1.166690,4.393700,1.655880,34.035716,0.971675,31.252696,0.945226
70,1.183357,4.719200,1.683680,34.164052,0.971810,31.391140,0.945030
71,1.200024,4.371300,1.659920,34.148667,0.971410,31.592526,0.946099
72,1.216691,4.515100,1.752520,34.188108,0.971654,31.711709,0.947504
73,1.233358,4.526400,1.783080,34.332679,0.972433,31.714326,0.948002
74,1.250025,4.789400,1.685560,34.361258,0.972382,31.704331,0.947922
75,1.266692,4.845900,1.707320,34.388181,0.972695,31.674601,0.947786
76,1.283359,4.172100,1.639800,34.401502,0.972818,31.664248,0.947941
77,1.300026,4.575100,1.714680,34.180130,0.972160,31.652008,0.948368
78,1.316693,4.497800,1.612320,34.337744,0.972160,31.772761,0.948440
79,1.333360,4.381100,1.664720,34.354046,0.972260,31.735233,0.948022
80,1.350027,4.468100,1.678320,33.894175,0.971446,31.588348,0.947684
81,1.366694,4.735500,1.771880,34.171694,0.971550,31.502366,0.946800
82,1.383361,4.637500,1.683960,34.304666,0.972241,31.520468,0.947047
83,1.400028,4.343300,1.649280,34.278855,0.972168,31.627734,0.947678
84,1.416695,4.308500,1.566600,34.399172,0.972774,31.651150,0.947898
85,1.433362,4.201000,1.603720,34.420967,0.973000,31.612544,0.947578
