frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
60,0.508331,6.070500,1.171080,37.962550,0.963092,28.433960,0.697362
61,0.516665,5.570300,1.261600,37.926882,0.962899,28.450378,0.698488
62,0.524998,5.924000,1.130800,37.980647,0.963109,28.465027,0.699903
63,0.533331,5.594300,1.027840,38.005705,0.963508,28.486568,0.701585
64,0.541664,5.572200,1.018280,38.009979,0.964083,28.507120,0.703636
65,0.549998,5.543700,1.020640,37.947467,0.964009,28.523504,0.705401
66,0.558331,5.719400,1.176680,38.035424,0.964227,28.544052,0.707372
67,0.566664,6.383200,1.215960,38.057680,0.964476,28.568940,0.709488
68,0.574998,5.784400,1.157760,38.064738,0.964362,28.601817,0.711717
69,0.583331,5.792100,1.030880,38.062017,0.964554,28.625547,0.713869
70,0.591664,5.515900,1.188720,38.072377,0.964771,28.654346,0.716128
71,0.599998,5.539000,1.035200,38.117205,0.964859,28.695894,0.718345
72,0.608331,5.535400,1.026440,38.200900,0.965497,28.736056,0.720435
73,0.616664,5.726300,1.119080,38.244723,0.965923,28.773844,0.722216
74,0.624997,5.861200,1.171280,38.214155,0.965886,28.809759,0.724417
75,0.633331,5.467400,1.212640,38.211835,0.966094,28.856742,0.727347
76,0.641664,5.593300,1.396640,38.207090,0.966413,28.906953,0.730564
77,0.649997,5.700200,1.100920,38.215452,0.966621,28.942711,0.733255
78,0.658331,5.592400,1.045040,38.254242,0.966571,28.981176,0.735671
79,0.666664,5.570300,1.035800,38.231927,0.966474,29.023516,0.738066
80,0.674997,5.668600,1.058520,38.320770,0.967171,29.069475,0.740813
81,0.683331,5.600000,1.028000,38.376744,0.967565,29.117450,0.743849
82,0.691664,5.738000,1.221920,38.408275,0.967806,29.177094,0.747618
83,0.699997,5.728000,1.164720,38.393553,0.968072,29.228944,0.751781
84,0.708330,5.868800,1.134520,38.397330,0.968445,29.278269,0.755542
85,0.716664,5.451800,1.036440,38.425411,0.968733,29.331622,0.759134
86,0.724997,5.457600,1.183320,38.475577,0.968936,29.360967,0.762196
87,0.733330,5.620400,1.243520,38.391092,0.968836,29.390140,0.765225
88,0.741664,5.663800,1.030320,38.345301,0.969063,29.423454,0.768650
89,0.749997,5.766800,1.030040,38.288292,0.969160,29.457286,0.771710
90,0.758330,5.742400,1.036720,38.428774,0.969705,29.488529,0.774375
91,0.766664,6.151300,1.079800,38.366197,0.969627,29.499848,0.776834
92,0.774997,5.716400,1.072280,38.406074,0.969778,29.546437,0.780179
93,0.783330,5.779400,1.164680,38.374224,0.969899,29.591895,0.784194
94,0.791663,5.794400,1.209240,38.393620,0.970741,29.629154,0.788051
95,0.799997,5.499300,1.168160,38.356338,0.970777,29.678884,0.791276
96,0.808330,5.981400,1.074160,38.329320,0.971052,29.720041,0.794610
97,0.816663,6.071900,1.084200,38.280660,0.970911,29.779838,0.798581
98,0.824997,5.770700,1.076440,38.289509,0.971289,29.853170,0.803833
99,0.833330,5.746600,1.194400,38.299909,0.971203,29.939769,0.810210
100,0.841663,5.735100,1.034920,38.384016,0.971669,30.057199,0.816502
101,0.849997,5.723400,1.061680,38.334219,0.971848,30.157037,0.822801
102,0.858330,5.666200,1.190400,38.182408,0.971875,30.193783,0.829178
103,0.866663,5.770100,1.043240,38.217386,0.971840,30.220278,0.835575
104,0.874996,5.430800,1.033480,38.150757,0.971961,30.244763,0.841285
105,0.883330,5.533200,1.071160,38.164077,0.972069,30.282384,0.847708
106,0.891663,5.655600,1.058160,37.758878,0.971779,30.070104,0.854598
107,0.899996,5.417600,1.258360,37.046273,0.970418,29.113059,0.859312
108,0.908330,5.331600,1.227280,37.013538,0.967009,27.110942,0.859360
109,0.916663,5.537300,1.043840,35.653594,0.961449,26.606239,0.863480
110,0.924996,5.511600,1.178040,34.766301,0.959944,26.423311,0.870147
111,0.933330,5.331500,1.010480,35.226927,0.960098,26.257974,0.872352
112,0.941663,5.108300,1.267760,33.977515,0.955130,25.698377,0.868448
113,0.949996,5.642800,1.129000,32.154999,0.953612,25.253608,0.866025
114,0.958329,5.281900,1.125200,32.557894,0.956234,25.101175,0.864205
115,0.966663,5.238600,0.990720,32.186789,0.960321,24.763442,0.861726
116,0.974996,5.210300,1.055480,33.760389,0.963856,24.240839,0.856519
117,0.983329,5.171800,1.119640,35.409287,0.967003,24.229107,0.854448
118,0.991663,5.320200,1.123520,35.727588,0.968703,24.463920,0.858948
119,0.999996,5.344700,1.162240,32.792500,0.969326,24.256685,0.860080
120,1.008329,5.365600,1.116080,35.527099,0.973248,24.443991,0.863557
121,1.016663,5.212500,1.007040,35.567756,0.975543,24.974895,0.869150
122,1.024996,5.110800,1.030640,36.345647,0.976241,25.322869,0.872241
123,1.033329,5.614400,1.339240,35.173867,0.972558,25.122094,0.868047
124,1.041662,5.480100,1.057760,35.261254,0.969469,25.648971,0.865645
125,1.049996,5.523500,0.980120,36.383496,0.969777,26.742976,0.871365
126,1.058329,5.765700,1.049400,36.777976,0.964244,26.878865,0.869651
127,1.066662,5.722200,1.062120,35.340755,0.953785,26.482566,0.861157
128,1.074996,5.910600,0.995640,34.584737,0.947034,26.382208,0.855694
129,1.083329,5.271100,0.999880,32.432338,0.934459,26.102593,0.844457
130,1.091662,5.439300,1.015240,31.212122,0.935116,26.350638,0.831717
131,1.099996,5.730200,1.017240,32.659253,0.940818,26.790172,0.817406
