frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
15,0.533333,6.578400,1.887800,37.524531,0.961484,26.252498,0.627602
16,0.566666,6.979700,1.789520,37.270429,0.961846,26.325392,0.636261
17,0.599999,6.533800,1.888960,37.543436,0.962960,26.413662,0.642924
18,0.633333,7.059500,1.924760,37.777186,0.963372,26.536904,0.648106
19,0.666666,6.597900,1.921000,37.626588,0.963171,26.666656,0.657014
20,0.699999,6.398400,2.067120,37.542040,0.962814,26.792570,0.667937
21,0.733333,6.443900,1.795080,37.691005,0.964509,26.928957,0.680779
22,0.766666,6.350300,1.851720,37.503942,0.964294,26.761299,0.694596
23,0.799999,6.319000,1.812800,37.061024,0.964414,26.487601,0.709451
24,0.833333,6.660500,2.022840,36.894001,0.963591,26.552355,0.730022
25,0.866666,6.351900,2.032520,36.869361,0.963649,26.576946,0.754564
26,0.899999,7.542700,1.889680,32.620590,0.951569,25.556316,0.779070
27,0.933332,6.268800,1.901720,26.558605,0.896903,21.391013,0.766574
28,0.966666,6.253000,1.988520,24.599899,0.888882,20.022582,0.751020
29,0.999999,6.333500,1.739520,23.740427,0.926270,19.524146,0.763854
30,1.033332,6.083500,1.674400,25.184878,0.920201,20.561533,0.799877
31,1.066666,5.993100,2.190160,25.463545,0.888732,21.590889,0.776001
32,1.099999,6.126500,1.791800,25.278643,0.889543,22.053525,0.702477
33,1.133332,5.931700,1.915960,29.077346,0.915067,22.086539,0.625284
34,1.166666,5.857500,1.717240,27.575383,0.912114,22.363603,0.573545
35,1.199999,5.885300,1.722160,33.201987,0.922780,23.418761,0.557834
36,1.233332,6.165900,1.833840,33.594389,0.929943,23.423081,0.557174
37,1.266665,5.809900,1.895800,33.619021,0.928185,23.388706,0.551890
38,1.299999,6.222200,1.846080,33.467160,0.925059,23.320637,0.549931
39,1.333332,5.962300,1.750840,33.502225,0.928032,23.366908,0.552732
40,1.366665,6.666200,1.882840,33.596318,0.928315,23.506523,0.556982
41,1.399999,6.261500,1.854200,33.776877,0.928632,23.648182,0.560442
42,1.433332,6.036900,1.704640,33.824337,0.929012,23.764560,0.565174
43,1.466665,6.130000,1.897280,33.854949,0.928794,23.883535,0.570898
44,1.499999,6.189100,1.858640,33.913537,0.928890,24.044554,0.576573
