frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,5.590100,1.213360,37.240224,0.956511,27.608022,0.676243
17,0.300006,5.640800,1.234600,37.317296,0.957036,27.587697,0.674772
18,0.316673,5.418000,1.210520,37.402278,0.957361,27.556436,0.673007
19,0.333340,5.727700,1.310880,37.416710,0.957613,27.517670,0.670876
20,0.350007,5.390800,1.089160,37.473758,0.957998,27.476728,0.668974
21,0.366674,5.417800,1.124760,37.506384,0.958473,27.453937,0.667845
22,0.383341,5.295500,1.062840,37.519350,0.958912,27.417744,0.666628
23,0.400008,5.333100,1.086280,37.579075,0.959385,27.388923,0.664840
24,0.416675,5.526700,1.027240,37.665208,0.960225,27.342685,0.662128
25,0.433342,5.424400,1.203640,37.614719,0.960021,27.314880,0.659952
26,0.450009,5.344000,1.025960,37.666174,0.960583,27.288097,0.659291
27,0.466676,6.185900,1.211280,37.564224,0.960399,27.245652,0.659772
28,0.483343,5.230000,1.025360,37.635165,0.961189,27.223177,0.660783
29,0.500010,5.379600,1.018480,37.701411,0.961782,27.212596,0.661506
30,0.516677,5.391300,1.056120,37.732744,0.962173,27.232257,0.662330
31,0.533344,5.614200,1.029360,37.827529,0.962676,27.272748,0.663382
32,0.550011,5.450300,1.201720,37.792566,0.962973,27.302703,0.664885
33,0.566678,5.513600,1.189880,37.766204,0.963237,27.345416,0.666700
34,0.583345,5.655700,1.105320,37.835538,0.963827,27.394674,0.669757
35,0.600012,5.685600,1.166000,37.980597,0.964501,27.484322,0.675377
36,0.616679,5.671700,1.150800,38.060067,0.964884,27.580432,0.679796
37,0.633346,5.757900,1.110840,37.960293,0.964624,27.667794,0.683425
38,0.650013,5.592400,1.076280,37.914582,0.964734,27.743021,0.688966
39,0.666680,5.552200,1.082400,37.861511,0.964469,27.819532,0.695116
40,0.683347,5.752400,1.180600,38.028697,0.965538,27.898183,0.700173
41,0.700014,5.689000,1.153440,37.964828,0.965539,27.968287,0.706581
42,0.716681,5.432000,1.149760,37.990734,0.965922,28.049980,0.714435
43,0.733348,5.775500,1.192080,37.967850,0.965785,28.103426,0.720908
44,0.750015,5.670900,1.192800,37.961434,0.966344,28.093675,0.725185
45,0.766682,5.596200,1.093920,37.878468,0.966184,28.048620,0.729475
46,0.783349,5.694700,1.180360,37.940993,0.967121,28.030158,0.737067
47,0.800016,5.830000,1.173280,37.836153,0.967161,28.078668,0.747203
48,0.816683,5.809100,1.102800,37.770852,0.967600,28.175685,0.758021
49,0.833350,5.751100,1.156200,37.699706,0.967153,28.258351,0.768169
50,0.850017,5.850100,1.091840,37.664913,0.968292,28.369804,0.779243
51,0.866684,5.826200,1.195680,37.382731,0.968024,28.404155,0.792802
52,0.883351,5.543300,1.193120,37.003114,0.967261,28.412665,0.808966
53,0.900018,5.690100,1.079920,34.586071,0.963641,27.431150,0.821579
54,0.916685,5.445500,1.181480,32.275143,0.946571,24.159995,0.813498
55,0.933352,5.320900,1.128680,31.743526,0.943172,23.483911,0.815976
56,0.950019,5.192400,1.052360,30.064315,0.931913,22.620144,0.805307
57,0.966686,5.131000,1.082760,27.902338,0.936018,22.113703,0.802146
58,0.983353,5.320500,0.971480,30.298878,0.950013,21.417246,0.796017
59,1.000020,5.159200,1.112280,29.401002,0.954417,21.633011,0.806082
60,1.016687,5.462000,1.152360,32.354361,0.963914,22.243494,0.822571
61,1.033354,5.273600,1.015000,30.169490,0.954400,22.739229,0.833628
62,1.050021,5.244500,0.988480,31.790638,0.951859,24.038398,0.828297
63,1.066688,5.354700,1.148760,32.329841,0.930166,24.404637,0.811301
64,1.083355,5.302200,1.132800,30.093435,0.907356,24.022022,0.785369
65,1.100022,5.231900,1.068760,29.490464,0.916153,24.503198,0.754836
66,1.116689,4.840400,1.085640,31.566308,0.930294,24.163630,0.711392
67,1.133356,5.683100,1.212960,32.527125,0.934870,23.858813,0.672926
68,1.150023,5.321600,1.079520,32.678049,0.934292,23.928120,0.643182
69,1.166690,5.338800,1.175440,30.999185,0.931852,24.102472,0.619819
70,1.183357,5.339600,1.207880,33.892731,0.935976,24.639963,0.612614
71,1.200024,5.271300,1.178960,34.006380,0.936784,24.631156,0.610840
72,1.216691,5.383500,1.165760,34.082492,0.936753,24.605827,0.609847
73,1.233358,5.308000,1.215480,34.017798,0.935160,24.587312,0.608223
74,1.250025,5.328900,1.195280,34.063045,0.934802,24.565117,0.608407
75,1.266692,5.561500,1.073280,34.029932,0.934383,24.515571,0.608686
