frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,5.557800,1.104840,37.198335,0.956541,27.608022,0.676243
17,0.300006,5.676400,1.061200,37.315594,0.957215,27.587697,0.674772
18,0.316673,5.396800,1.045080,37.371472,0.957451,27.556436,0.673007
19,0.333340,5.331700,1.151840,37.395985,0.957752,27.517670,0.670876
20,0.350007,5.205800,1.064760,37.454037,0.958038,27.476728,0.668974
21,0.366674,5.479300,1.058680,37.545777,0.958739,27.453937,0.667845
22,0.383341,5.386300,1.101320,37.538360,0.959068,27.417744,0.666628
23,0.400008,5.585100,1.044720,37.606644,0.959677,27.388923,0.664840
24,0.416675,5.408100,1.024160,37.670452,0.960439,27.342685,0.662128
25,0.433342,5.428700,1.023920,37.621915,0.960288,27.314880,0.659952
26,0.450009,5.421700,1.025680,37.680018,0.960808,27.288097,0.659291
27,0.466676,6.588200,1.470680,37.620646,0.960771,27.245652,0.659772
28,0.483343,5.733000,1.019480,37.635147,0.961320,27.223177,0.660783
29,0.500010,5.389900,1.396080,37.715065,0.961964,27.212596,0.661506
30,0.516677,5.684400,1.021160,37.760500,0.962348,27.232257,0.662330
31,0.533344,5.362600,1.048000,37.821943,0.962832,27.272748,0.663382
32,0.550011,5.449000,1.441440,37.745916,0.963014,27.302703,0.664885
33,0.566678,5.677300,1.206240,37.767043,0.963396,27.345416,0.666700
34,0.583345,5.373300,1.171760,37.806931,0.963911,27.394674,0.669757
35,0.600012,5.544300,1.177240,37.925281,0.964566,27.484322,0.675377
36,0.616679,5.825600,1.072800,38.006370,0.964904,27.580432,0.679796
37,0.633346,5.572800,1.172360,37.925430,0.964756,27.667794,0.683425
38,0.650013,5.594300,1.106280,37.858601,0.964776,27.743021,0.688966
39,0.666680,5.590700,1.223000,37.830406,0.964651,27.819532,0.695116
40,0.683347,5.759100,1.098000,37.977732,0.965621,27.898183,0.700173
41,0.700014,5.440800,1.163640,37.953916,0.965838,27.968287,0.706581
42,0.716681,5.528300,1.145200,37.890829,0.965938,28.049980,0.714435
43,0.733348,5.582500,1.241160,37.915842,0.966006,28.103426,0.720908
44,0.750015,5.555200,1.183120,37.853396,0.966355,28.093675,0.725185
45,0.766682,5.919800,1.184360,37.834046,0.966508,28.048620,0.729475
46,0.783349,5.572600,1.172160,37.800089,0.967075,28.030158,0.737067
47,0.800016,5.476000,1.093920,37.810744,0.967648,28.078668,0.747203
48,0.816683,5.687500,1.169320,37.710310,0.967930,28.175685,0.758021
49,0.833350,5.648400,1.185120,37.625200,0.967844,28.258351,0.768169
50,0.850017,5.728600,1.077120,37.433122,0.968013,28.369804,0.779243
51,0.866684,5.478300,1.182640,37.092029,0.968200,28.404155,0.792802
52,0.883351,5.670400,1.106200,36.786917,0.967617,28.412665,0.808966
53,0.900018,5.570100,1.156240,34.449806,0.964001,27.431150,0.821579
54,0.916685,5.240500,1.148600,32.445742,0.946557,24.159995,0.813498
55,0.933352,5.239600,1.124720,31.591860,0.942962,23.483911,0.815976
56,0.950019,5.094900,1.260080,29.969510,0.931131,22.620144,0.805307
57,0.966686,5.333100,1.135960,27.893543,0.936502,22.113703,0.802146
58,0.983353,5.273700,1.135400,30.415067,0.950142,21.417246,0.796017
59,1.000020,5.265500,1.064080,29.340964,0.954190,21.633011,0.806082
60,1.016687,5.247400,1.119880,32.437908,0.964300,22.243494,0.822571
61,1.033354,5.508700,1.021160,30.339768,0.955038,22.739229,0.833628
62,1.050021,5.217100,0.966280,31.887845,0.952315,24.038398,0.828297
63,1.066688,5.180900,1.009800,32.324425,0.930292,24.404637,0.811301
64,1.083355,5.395600,1.216480,30.177517,0.907896,24.022022,0.785369
65,1.100022,5.507600,1.090600,29.699524,0.918442,24.502922,0.754811
66,1.116689,4.995900,1.197240,31.587354,0.932213,24.163630,0.711392
67,1.133356,5.145400,1.174520,32.141061,0.934729,23.858813,0.672926
68,1.150023,5.093800,1.157000,32.529828,0.935728,23.928088,0.643181
69,1.166690,5.541500,1.150640,31.287844,0.933448,24.102472,0.619819
70,1.183357,5.253000,1.024680,33.876182,0.938201,24.639963,0.612614
71,1.200024,5.482500,1.108560,34.159125,0.938619,24.631156,0.610840
72,1.216691,5.457400,1.168120,34.192157,0.938368,24.605827,0.609847
73,1.233358,5.489500,1.054920,34.118126,0.936761,24.587312,0.608223
74,1.250025,5.336900,1.184040,34.142149,0.936451,24.565117,0.608407
75,1.266692,5.518200,1.045600,34.081433,0.935920,24.515571,0.608686
76,1.283359,5.367000,1.179400,34.032535,0.935396,24.447821,0.606448
77,1.300026,5.280900,1.046720,33.963660,0.934815,24.388736,0.605318
78,1.316693,5.440300,1.096880,33.994938,0.934796,24.373908,0.604738
79,1.333360,5.326400,1.234880,33.929857,0.933948,24.424114,0.606053
80,1.350027,5.234700,1.109720,34.103278,0.934522,24.526082,0.609554
81,1.366694,5.407700,1.185760,34.064523,0.933568,24.649632,0.612945
82,1.383361,5.119300,1.074840,34.121047,0.933921,24.748136,0.616207
83,1.400028,5.543500,1.044880,34.182836,0.933969,24.854681,0.618494
84,1.416695,5.169100,1.184200,34.202681,0.933627,24.933780,0.619795
85,1.433362,5.416400,1.306040,34.148403,0.933096,25.012594,0.622071
86,1.450029,5.509800,1.091320,34.285099,0.933648,25.111764,0.625102
87,1.466696,5.353100,1.223360,34.306685,0.933422,25.195483,0.628018
88,1.483363,5.530500,1.147120,34.303741,0.932645,25.295436,0.630769
89,1.500030,5.198300,1.063880,34.315636,0.932327,25.399759,0.633925
90,1.516697,5.406000,1.129000,34.435179,0.932987,25.517182,0.637151
91,1.533364,5.383900,1.075320,34.416017,0.932789,25.618877,0.639383
92,1.550031,5.228300,1.215880,34.469954,0.932979,25.716770,0.641329
93,1.566698,5.343600,1.301640,34.468891,0.932823,25.803746,0.643193
94,1.583365,5.289000,1.105760,34.514444,0.932661,25.901837,0.645984
95,1.600032,5.111400,1.095280,34.512844,0.932260,25.985590,0.648167
96,1.616699,5.429400,1.218240,34.590416,0.932465,26.065470,0.650036
97,1.633366,5.437800,1.171360,34.457022,0.930877,26.124283,0.650882
98,1.650033,5.483300,1.183720,34.532064,0.931137,26.217948,0.652588
99,1.666700,5.140900,1.066880,34.594170,0.930817,26.354841,0.655372
100,1.683367,5.604000,1.199600,34.698410,0.931779,26.470029,0.658140
101,1.700034,5.328500,1.107280,34.694139,0.931591,26.559255,0.660201
102,1.716701,5.335400,1.046840,34.743322,0.932009,26.646318,0.662431
103,1.733368,5.187100,1.211520,34.744899,0.932313,26.725490,0.663607
104,1.750035,5.283300,1.168080,34.763229,0.931965,26.808259,0.665484
105,1.766702,5.051100,1.175000,34.762361,0.931748,26.883162,0.666469
106,1.783369,5.308000,1.169240,34.768364,0.931469,26.961770,0.668110
107,1.800036,5.293400,1.169680,34.715473,0.931056,27.029892,0.669459
108,1.816703,5.089400,1.184880,34.772394,0.931512,27.105414,0.670731
109,1.833370,5.349100,1.085840,34.818992,0.932289,27.166518,0.671451
110,1.850037,5.276200,1.177840,34.800000,0.932324,27.218430,0.672014
111,1.866704,5.367300,1.181840,34.767925,0.932325,27.256900,0.672194
112,1.883371,5.373600,1.152480,34.687937,0.931741,27.283091,0.672597
113,1.900038,5.354900,1.090880,34.658380,0.931339,27.305847,0.672111
114,1.916705,5.373600,1.064520,34.723073,0.931757,27.359970,0.672321
115,1.933372,5.280900,1.113440,34.627782,0.930734,27.402450,0.671819
116,1.950039,5.299800,1.176560,34.654990,0.931351,27.452987,0.671934
117,1.966706,5.374000,1.179280,34.657843,0.931534,27.495526,0.671927
118,1.983373,5.368500,1.205640,34.755658,0.932326,27.544236,0.672350
119,2.000040,5.298100,1.216120,34.778503,0.932848,27.577691,0.672596
