frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,5.133400,1.071960,37.245375,0.956616,27.608022,0.676243
17,0.300006,5.860900,1.184240,37.327006,0.957169,27.587697,0.674772
18,0.316673,5.243800,1.023280,37.409551,0.957464,27.556436,0.673007
19,0.333340,5.262100,1.384480,37.423476,0.957719,27.517670,0.670876
20,0.350007,5.553800,1.032760,37.484058,0.958097,27.476728,0.668974
21,0.366674,5.562600,1.010960,37.513316,0.958573,27.453937,0.667845
22,0.383341,5.466100,1.086760,37.525730,0.959014,27.417744,0.666628
23,0.400008,5.395000,1.150880,37.590647,0.959520,27.388923,0.664840
24,0.416675,5.337700,0.982200,37.676420,0.960326,27.342685,0.662128
25,0.433342,5.324500,1.003600,37.629408,0.960230,27.314880,0.659952
26,0.450009,5.547500,1.024440,37.672634,0.960678,27.288097,0.659291
27,0.466676,5.830300,1.184960,37.583830,0.960601,27.245652,0.659772
28,0.483343,6.221300,1.046120,37.644571,0.961277,27.223177,0.660783
29,0.500010,5.450100,1.146480,37.708327,0.961859,27.212596,0.661506
30,0.516677,5.534600,0.989760,37.743222,0.962247,27.232257,0.662330
31,0.533344,5.592400,0.992640,37.835952,0.962761,27.272748,0.663382
32,0.550011,5.546000,1.047920,37.792081,0.963037,27.302703,0.664885
33,0.566678,5.518900,1.156200,37.769548,0.963314,27.345416,0.666700
34,0.583345,5.503100,1.181360,37.844439,0.963909,27.394674,0.669757
35,0.600012,5.618500,1.183160,37.987256,0.964580,27.484322,0.675377
36,0.616679,5.570400,1.287160,38.059169,0.964959,27.580432,0.679796
37,0.633346,5.572800,1.135520,37.969108,0.964716,27.667794,0.683425
38,0.650013,5.638900,1.278480,37.920548,0.964819,27.743021,0.688966
39,0.666680,5.609900,1.136680,37.869579,0.964580,27.819532,0.695116
40,0.683347,5.766400,1.279280,38.045316,0.965649,27.898183,0.700173
41,0.700014,5.745600,1.138400,37.969721,0.965620,27.968287,0.706581
42,0.716681,5.535800,1.162280,38.011870,0.966050,28.049980,0.714435
43,0.733348,5.741000,1.159840,37.978458,0.965882,28.103426,0.720908
44,0.750015,5.723500,1.243840,37.974357,0.966420,28.093675,0.725185
45,0.766682,5.724200,1.175200,37.884053,0.966231,28.048620,0.729475
46,0.783349,5.763500,0.998880,37.941598,0.967182,28.030090,0.737062
47,0.800016,5.710700,1.146400,37.845948,0.967229,28.078668,0.747203
48,0.816683,5.761700,1.324360,37.769055,0.967665,28.175685,0.758021
49,0.833350,5.817300,1.096400,37.709422,0.967243,28.258351,0.768169
50,0.850017,5.659400,1.229760,37.659704,0.968371,28.369804,0.779243
51,0.866684,5.661300,1.055000,37.195173,0.968029,28.404155,0.792802
52,0.883351,5.689600,1.288240,36.946292,0.967273,28.412665,0.808966
53,0.900018,5.517000,1.148000,34.539356,0.963743,27.431150,0.821579
54,0.916685,5.296100,1.151200,32.433670,0.946547,24.159995,0.813498
55,0.933352,5.395100,1.122640,31.665572,0.942690,23.483911,0.815976
56,0.950019,5.117600,1.127440,29.957150,0.930900,22.620144,0.805307
57,0.966686,5.345900,1.328200,27.806547,0.933774,22.113703,0.802146
58,0.983353,5.238800,1.216640,30.260854,0.949633,21.417246,0.796017
59,1.000020,5.321900,1.139680,29.294427,0.953806,21.633011,0.806082
60,1.016687,5.200000,1.122640,32.315341,0.963258,22.243494,0.822571
61,1.033354,5.339700,1.122080,29.824451,0.952885,22.739229,0.833628
62,1.050021,5.118500,1.020000,31.146806,0.949984,24.038398,0.828297
63,1.066688,5.542200,0.991480,32.286811,0.929672,24.404637,0.811301
64,1.083355,5.255800,1.123800,30.158441,0.907568,24.022022,0.785369
65,1.100022,4.938800,1.223680,29.503030,0.916255,24.503198,0.754836
66,1.116689,5.376000,1.189320,31.461057,0.930434,24.163630,0.711392
67,1.133356,5.220500,1.047400,31.924852,0.933964,23.858813,0.672926
68,1.150023,5.251600,1.160680,32.598928,0.934430,23.928120,0.643182
69,1.166690,5.222200,1.083720,31.252258,0.932342,24.102472,0.619819
