frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,5.253600,1.008360,37.286091,0.956752,27.608022,0.676243
17,0.300006,5.443300,1.207760,37.375462,0.957328,27.587697,0.674772
18,0.316673,5.119300,1.029760,37.454151,0.957575,27.556436,0.673007
19,0.333340,5.651500,1.075440,37.464372,0.957871,27.517670,0.670876
20,0.350007,5.419300,1.050280,37.508400,0.958203,27.476728,0.668974
21,0.366674,5.828000,1.043920,37.552043,0.958691,27.453937,0.667845
22,0.383341,5.485700,1.065920,37.555103,0.959086,27.417744,0.666628
23,0.400008,5.940400,1.177400,37.626318,0.959649,27.388923,0.664840
24,0.416675,5.679800,1.174480,37.703887,0.960453,27.342685,0.662128
25,0.433342,5.693000,1.085760,37.673867,0.960352,27.314880,0.659952
26,0.450009,5.637100,1.323280,37.704588,0.960770,27.288097,0.659291
27,0.466676,5.858200,1.127960,37.614334,0.960718,27.245652,0.659772
28,0.483343,6.651200,1.084680,37.678907,0.961382,27.223177,0.660783
29,0.500010,5.440900,1.087640,37.752568,0.961937,27.212596,0.661506
30,0.516677,5.333400,1.162080,37.773575,0.962303,27.232257,0.662330
31,0.533344,5.792900,1.022920,37.874848,0.962805,27.272748,0.663382
32,0.550011,5.657500,1.117360,37.792618,0.963022,27.302703,0.664885
33,0.566678,5.560500,1.011640,37.836343,0.963440,27.345416,0.666700
34,0.583345,5.771900,1.126200,37.889764,0.963979,27.394674,0.669757
35,0.600012,5.474700,1.123080,38.030829,0.964698,27.484322,0.675377
36,0.616679,5.591800,1.141480,38.073961,0.964949,27.580432,0.679796
37,0.633346,5.751300,1.135840,38.009566,0.964800,27.667794,0.683425
38,0.650013,5.620400,1.096120,37.934667,0.964806,27.743021,0.688966
39,0.666680,5.814000,1.134840,37.905200,0.964614,27.819532,0.695116
40,0.683347,5.824100,1.047520,38.065509,0.965656,27.898183,0.700173
41,0.700014,5.481100,1.129880,38.002189,0.965686,27.968287,0.706581
42,0.716681,5.671900,1.054920,38.015447,0.965955,28.049980,0.714435
43,0.733348,5.606900,0.999640,38.025287,0.965970,28.103426,0.720908
44,0.750015,5.741400,1.136920,38.004159,0.966464,28.093675,0.725185
45,0.766682,5.369100,1.133200,37.929607,0.966348,28.048620,0.729475
46,0.783349,5.628500,1.079080,37.967431,0.967240,28.030158,0.737067
47,0.800016,5.710600,0.999680,37.893960,0.967302,28.078668,0.747203
48,0.816683,5.611200,1.103720,37.809703,0.967689,28.175685,0.758021
49,0.833350,5.647400,1.077920,37.770458,0.967346,28.258351,0.768169
50,0.850017,6.014600,1.060560,37.678919,0.968419,28.369804,0.779243
51,0.866684,5.617600,1.124040,37.263156,0.968112,28.404155,0.792802
52,0.883351,5.761900,1.023880,36.999511,0.967404,28.412665,0.808966
53,0.900018,5.572900,1.041200,35.302131,0.965146,27.431150,0.821579
54,0.916685,5.438300,1.067280,29.265617,0.944197,24.159995,0.813498
55,0.933352,5.476400,1.127960,29.932557,0.943890,23.483911,0.815976
56,0.950019,5.356900,1.135320,30.152805,0.935099,22.620144,0.805307
57,0.966686,5.310200,1.097240,27.740064,0.935828,22.113702,0.802145
58,0.983353,5.362600,0.944040,29.138101,0.946163,21.417246,0.796017
59,1.000020,5.323600,1.086360,29.341594,0.954474,21.633011,0.806082
60,1.016687,5.251200,1.063360,32.471659,0.964886,22.243494,0.822571
61,1.033354,5.331300,1.027440,30.205566,0.960867,22.739229,0.833628
62,1.050021,5.371800,0.996560,30.856911,0.954978,24.038398,0.828297
63,1.066688,5.394000,1.000720,32.825839,0.947170,24.404637,0.811301
64,1.083355,5.462700,1.100040,29.479750,0.920335,24.022022,0.785369
65,1.100022,5.467800,0.993040,27.523132,0.909408,24.503198,0.754836
66,1.116689,5.073100,1.108200,30.127949,0.923041,24.163630,0.711392
67,1.133356,5.974100,1.128440,31.079245,0.926481,23.858813,0.672926
68,1.150023,5.344000,1.002360,32.229202,0.929647,23.928120,0.643182
69,1.166690,5.574700,1.031600,32.106613,0.929889,24.102472,0.619819
70,1.183357,5.596100,1.330280,33.886324,0.937751,24.639963,0.612614
71,1.200024,5.628600,0.990280,34.167777,0.938401,24.631156,0.610840
72,1.216691,5.415100,1.212760,34.236630,0.938282,24.605827,0.609847
73,1.233358,5.537800,0.994360,34.195616,0.937125,24.587312,0.608223
74,1.250025,5.298900,1.175480,34.211905,0.936605,24.565117,0.608407
75,1.266692,5.303500,1.034120,34.173404,0.936163,24.515571,0.608686
76,1.283359,5.229800,1.129440,34.136896,0.935774,24.447821,0.606448
77,1.300026,5.360400,1.136440,34.161953,0.935736,24.388736,0.605318
78,1.316693,5.443200,1.035400,34.138880,0.935240,24.373908,0.604738
79,1.333360,5.287200,1.192840,34.071324,0.934613,24.424114,0.606053
80,1.350027,5.314900,1.133680,34.181570,0.934838,24.526082,0.609554
81,1.366694,5.313500,1.138800,34.180656,0.934194,24.649632,0.612945
82,1.383361,5.238600,1.042880,34.223329,0.934324,24.748136,0.616207
83,1.400028,5.342600,1.046720,34.287460,0.934478,24.854681,0.618494
84,1.416695,5.328900,1.055200,34.266975,0.933906,24.933780,0.619795
85,1.433362,5.658500,1.071400,34.292267,0.933869,25.012594,0.622071
86,1.450029,5.517000,1.024000,34.356850,0.933890,25.111764,0.625102
87,1.466696,5.270700,1.142560,34.369168,0.933711,25.195483,0.628018
88,1.483363,5.452500,1.028080,34.377666,0.933124,25.295436,0.630769
89,1.500030,5.293800,1.034520,34.388268,0.932720,25.399759,0.633925
90,1.516697,5.491300,1.133800,34.485441,0.933240,25.517182,0.637151
91,1.533364,5.273900,0.996320,34.519054,0.933377,25.618877,0.639383
92,1.550031,5.151000,1.181440,34.514673,0.933228,25.716770,0.641329
93,1.566698,5.369800,1.066720,34.540088,0.933125,25.803746,0.643193
94,1.583365,5.223400,1.128880,34.561690,0.932925,25.901837,0.645984
95,1.600032,5.390400,1.047960,34.606740,0.932737,25.985590,0.648167
96,1.616699,5.205200,1.141560,34.624105,0.932583,26.065470,0.650036
97,1.633366,5.455900,1.139800,34.533903,0.931312,26.124283,0.650882
98,1.650033,5.230900,1.061720,34.558376,0.931247,26.217948,0.652588
99,1.666700,5.832200,1.065760,34.641518,0.931146,26.354841,0.655372
100,1.683367,5.398600,1.152920,34.718459,0.931882,26.470029,0.658140
101,1.700034,5.454200,1.052360,34.728882,0.931775,26.559255,0.660201
102,1.716701,5.439500,1.130960,34.759785,0.932051,26.646318,0.662431
103,1.733368,5.351000,1.127080,34.795159,0.932626,26.725490,0.663607
104,1.750035,5.312500,1.038400,34.777806,0.932032,26.808259,0.665484
105,1.766702,5.639200,1.174680,34.788568,0.931889,26.883162,0.666469
106,1.783369,5.358800,1.065200,34.783426,0.931554,26.961770,0.668110
107,1.800036,5.219000,1.137760,34.729077,0.931125,27.029892,0.669459
108,1.816703,5.380700,1.044640,34.778958,0.931534,27.105414,0.670731
109,1.833370,5.376400,1.120040,34.844370,0.932474,27.166518,0.671451
110,1.850037,5.424100,1.057760,34.813203,0.932404,27.218430,0.672014
111,1.866704,5.540000,1.357840,34.785374,0.932432,27.256900,0.672194
112,1.883371,5.018700,1.125600,34.697635,0.931793,27.283091,0.672597
113,1.900038,5.140400,1.128240,34.701850,0.931503,27.305847,0.672111
114,1.916705,5.285100,1.036360,34.761738,0.931879,27.359970,0.672321
115,1.933372,5.307200,1.141680,34.674815,0.930898,27.402450,0.671819
116,1.950039,5.275200,1.048480,34.693645,0.931462,27.452987,0.671934
117,1.966706,5.302200,1.140040,34.707819,0.931738,27.495526,0.671927
118,1.983373,5.439500,1.048520,34.803260,0.932567,27.544236,0.672350
119,2.000040,5.301100,1.246040,34.818436,0.933034,27.577691,0.672596
