frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,4.744800,0.903960,27.608022,0.676243,27.608022,0.676243
17,0.300006,5.135400,0.847840,27.587697,0.674772,27.587697,0.674772
18,0.316673,5.232600,0.817280,27.556436,0.673007,27.556436,0.673007
19,0.333340,5.398300,0.850040,27.517670,0.670876,27.517670,0.670876
20,0.350007,5.033300,0.876040,27.476728,0.668974,27.476728,0.668974
21,0.366674,5.025800,1.144080,27.453937,0.667845,27.453937,0.667845
22,0.383341,4.998400,0.828840,27.417744,0.666628,27.417744,0.666628
23,0.400008,5.441500,0.983600,27.388923,0.664840,27.388923,0.664840
24,0.416675,4.775800,0.933320,27.342685,0.662128,27.342685,0.662128
25,0.433342,5.351800,0.799440,27.314880,0.659952,27.314880,0.659952
26,0.450009,4.969600,0.795480,27.288097,0.659291,27.288097,0.659291
27,0.466676,5.287100,1.014680,27.245652,0.659772,27.245652,0.659772
28,0.483343,5.255500,0.791080,27.223177,0.660783,27.223177,0.660783
29,0.500010,5.102300,0.838440,27.212596,0.661506,27.212596,0.661506
30,0.516677,5.516200,0.888040,27.232253,0.662330,27.232253,0.662330
31,0.533344,5.481900,0.960440,27.272746,0.663382,27.272746,0.663382
32,0.550011,5.294900,0.968080,27.302702,0.664885,27.302702,0.664885
33,0.566678,5.281500,0.893600,27.345416,0.666700,27.345416,0.666700
34,0.583345,5.209600,0.959240,27.394673,0.669757,27.394673,0.669757
35,0.600012,5.185700,0.970880,27.484322,0.675377,27.484322,0.675377
36,0.616679,6.021800,0.968880,27.580432,0.679796,27.580432,0.679796
37,0.633346,5.415400,0.973200,27.667794,0.683425,27.667794,0.683425
38,0.650013,5.373700,0.803080,27.743021,0.688966,27.743021,0.688966
39,0.666680,5.511400,0.871400,27.819532,0.695116,27.819532,0.695116
40,0.683347,5.507100,1.004000,27.898183,0.700173,27.898183,0.700173
41,0.700014,5.125400,0.820680,27.968287,0.706581,27.968287,0.706581
42,0.716681,5.397400,0.811600,28.049980,0.714435,28.049980,0.714435
43,0.733348,5.427800,0.918400,28.103426,0.720908,28.103426,0.720908
44,0.750015,5.229100,0.958520,28.093675,0.725185,28.093675,0.725185
45,0.766682,5.218900,0.863720,28.048620,0.729475,28.048620,0.729475
46,0.783349,5.242400,1.006600,28.030158,0.737067,28.030158,0.737067
47,0.800016,5.233800,0.888080,28.078668,0.747203,28.078668,0.747203
48,0.816683,5.243400,0.965080,28.175685,0.758021,28.175685,0.758021
49,0.833350,5.355600,0.857200,28.258351,0.768169,28.258351,0.768169
50,0.850017,5.215900,0.898960,28.369804,0.779243,28.369804,0.779243
51,0.866684,5.387600,0.925120,28.404155,0.792802,28.404155,0.792802
52,0.883351,5.191100,1.006440,28.412665,0.808966,28.412665,0.808966
53,0.900018,5.396100,0.972680,27.431150,0.821579,27.431150,0.821579
54,0.916685,4.978700,0.858040,24.159995,0.813498,24.159995,0.813498
55,0.933352,4.891300,1.190080,23.483911,0.815976,23.483911,0.815976
56,0.950019,4.911300,0.857440,22.620144,0.805307,22.620144,0.805307
57,0.966686,4.886800,0.940680,22.113703,0.802146,22.113703,0.802146
58,0.983353,4.806200,0.917280,21.417246,0.796017,21.417246,0.796017
59,1.000020,5.012900,0.921560,21.633011,0.806082,21.633011,0.806082
60,1.016687,5.011500,0.794800,22.243494,0.822571,22.243494,0.822571
61,1.033354,5.092600,0.769360,22.739229,0.833628,22.739229,0.833628
62,1.050021,5.150200,0.831480,24.038398,0.828297,24.038398,0.828297
63,1.066688,4.925400,0.908040,24.404637,0.811301,24.404637,0.811301
64,1.083355,5.217600,0.760480,24.022022,0.785369,24.022022,0.785369
65,1.100022,5.108500,0.949080,24.503198,0.754836,24.503198,0.754836
66,1.116689,5.028400,0.842160,24.163630,0.711392,24.163630,0.711392
67,1.133356,5.462400,0.903640,23.858813,0.672926,23.858813,0.672926
68,1.150023,5.036500,0.965600,23.928120,0.643182,23.928120,0.643182
69,1.166690,4.976700,0.971840,24.102472,0.619819,24.102472,0.619819
70,1.183357,5.173400,0.975480,24.639963,0.612614,24.639963,0.612614
71,1.200024,4.920000,0.974960,24.631156,0.610840,24.631156,0.610840
72,1.216691,5.136400,0.965360,24.605827,0.609847,24.605827,0.609847
73,1.233358,5.025300,0.923120,24.587312,0.608223,24.587312,0.608223
74,1.250025,5.047500,1.054600,24.565117,0.608407,24.565117,0.608407
75,1.266692,4.863300,0.895760,24.515571,0.608686,24.515571,0.608686
76,1.283359,4.923700,0.905680,24.447821,0.606448,24.447821,0.606448
77,1.300026,4.894400,0.982400,24.388736,0.605318,24.388736,0.605318
78,1.316693,5.025300,0.905600,24.373908,0.604738,24.373908,0.604738
79,1.333360,4.986800,0.977360,24.424114,0.606053,24.424114,0.606053
80,1.350027,4.862100,0.973920,24.526082,0.609554,24.526082,0.609554
81,1.366694,5.107000,0.985800,24.649632,0.612945,24.649632,0.612945
82,1.383361,4.866100,0.833440,24.748136,0.616207,24.748136,0.616207
83,1.400028,5.057400,0.920400,24.854681,0.618494,24.854681,0.618494
84,1.416695,4.879000,0.903000,24.933780,0.619795,24.933780,0.619795
85,1.433362,5.082600,0.961000,25.012594,0.622071,25.012594,0.622071
86,1.450029,5.009500,0.979240,25.111764,0.625102,25.111764,0.625102
87,1.466696,4.930800,0.971760,25.195483,0.628018,25.195483,0.628018
88,1.483363,5.077700,0.987960,25.295436,0.630769,25.295436,0.630769
89,1.500030,4.961100,0.977360,25.399759,0.633925,25.399759,0.633925
90,1.516697,5.151400,0.886560,25.517182,0.637151,25.517182,0.637151
91,1.533364,4.957400,0.825960,25.618877,0.639383,25.618877,0.639383
92,1.550031,4.950100,0.929200,25.716770,0.641329,25.716770,0.641329
93,1.566698,5.252300,0.991720,25.803738,0.643191,25.803738,0.643191
94,1.583365,5.030900,0.957720,25.901837,0.645984,25.901837,0.645984
95,1.600032,4.927000,0.855840,25.985590,0.648167,25.985590,0.648167
96,1.616699,4.961400,0.981120,26.065470,0.650036,26.065470,0.650036
97,1.633366,5.138800,0.988200,26.124283,0.650882,26.124283,0.650882
98,1.650033,4.963200,0.978200,26.217948,0.652588,26.217948,0.652588
99,1.666700,5.254300,0.931080,26.354841,0.655372,26.354841,0.655372
100,1.683367,5.151000,0.858240,26.470029,0.658140,26.470029,0.658140
101,1.700034,5.129400,1.012160,26.559255,0.660201,26.559255,0.660201
102,1.716701,8.219800,1.009280,26.646318,0.662431,26.646318,0.662431
103,1.733368,5.645600,1.050560,26.725490,0.663607,26.725490,0.663607
104,1.750035,5.566600,0.812640,26.808259,0.665484,26.808259,0.665484
105,1.766702,5.180200,0.987680,26.883162,0.666469,26.883162,0.666469
106,1.783369,5.680200,0.846360,26.961770,0.668110,26.961770,0.668110
107,1.800036,5.083900,0.870000,27.029892,0.669459,27.029892,0.669459
108,1.816703,5.178600,0.919960,27.105414,0.670731,27.105414,0.670731
109,1.833370,5.271000,0.982160,27.166518,0.671451,27.166518,0.671451
110,1.850037,4.945700,0.924040,27.218430,0.672014,27.218430,0.672014
111,1.866704,5.063000,0.968640,27.256900,0.672194,27.256900,0.672194
112,1.883371,5.084900,0.968320,27.283091,0.672597,27.283091,0.672597
113,1.900038,5.255700,0.918240,27.305847,0.672111,27.305847,0.672111
114,1.916705,4.984300,0.959600,27.359970,0.672321,27.359970,0.672321
115,1.933372,5.131600,0.883040,27.402450,0.671819,27.402450,0.671819
116,1.950039,5.171300,0.998440,27.452987,0.671934,27.452987,0.671934
117,1.966706,5.046200,0.944320,27.495526,0.671927,27.495526,0.671927
118,1.983373,5.079100,0.967600,27.544236,0.672350,27.544236,0.672350
119,2.000040,4.920500,1.011480,27.577691,0.672596,27.577691,0.672596
