frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,5.335100,1.047960,37.246683,0.956615,27.608022,0.676243
17,0.300006,5.502700,1.264480,37.322364,0.957146,27.587697,0.674772
18,0.316673,5.546900,1.048000,37.408753,0.957453,27.556436,0.673007
19,0.333340,5.469700,1.074960,37.425363,0.957719,27.517670,0.670876
20,0.350007,5.703600,1.051920,37.480687,0.958089,27.476728,0.668974
21,0.366674,5.729900,1.170680,37.511302,0.958569,27.453937,0.667845
22,0.383341,5.373300,1.170560,37.523736,0.959002,27.417744,0.666628
23,0.400008,5.845900,1.126120,37.586974,0.959504,27.388923,0.664840
24,0.416675,5.610000,1.027760,37.670982,0.960296,27.342685,0.662128
25,0.433342,5.782900,1.023240,37.624281,0.960212,27.314880,0.659952
26,0.450009,5.655100,1.161440,37.671682,0.960667,27.288097,0.659291
27,0.466676,6.397600,1.025920,37.581414,0.960588,27.245652,0.659772
28,0.483343,5.476900,1.163160,37.643053,0.961267,27.223177,0.660783
29,0.500010,5.274900,1.033800,37.706807,0.961842,27.212596,0.661506
30,0.516677,5.514600,1.170560,37.743268,0.962242,27.232257,0.662330
31,0.533344,5.430700,1.042200,37.836172,0.962761,27.272748,0.663382
32,0.550011,5.589900,1.097400,37.792109,0.963014,27.302703,0.664885
33,0.566678,5.884500,1.177280,37.771070,0.963306,27.345416,0.666700
34,0.583345,5.544100,1.205600,37.841511,0.963900,27.394674,0.669757
35,0.600012,5.566500,1.089880,37.987163,0.964576,27.484322,0.675377
36,0.616679,5.520400,1.189240,38.060646,0.964958,27.580432,0.679796
37,0.633346,5.874700,1.115880,37.967039,0.964709,27.667794,0.683425
38,0.650013,5.642800,1.178080,37.919581,0.964797,27.743021,0.688966
39,0.666680,5.596300,1.055000,37.871271,0.964578,27.819532,0.695116
40,0.683347,6.025400,1.077800,38.035236,0.965621,27.898183,0.700173
41,0.700014,6.117600,1.183080,37.963497,0.965596,27.968287,0.706581
42,0.716681,5.678700,1.262680,38.001317,0.965999,28.049980,0.714435
43,0.733348,5.665200,1.050640,37.977463,0.965856,28.103426,0.720908
44,0.750015,5.960400,1.227760,37.969860,0.966399,28.093675,0.725185
45,0.766682,5.645100,1.105440,37.887026,0.966236,28.048620,0.729475
46,0.783349,5.524400,1.069160,37.948177,0.967160,28.030158,0.737067
47,0.800016,5.753600,1.052720,37.846408,0.967215,28.078668,0.747203
48,0.816683,5.735400,1.285760,37.773158,0.967650,28.175685,0.758021
49,0.833350,5.620200,1.175480,37.707389,0.967222,28.258351,0.768169
50,0.850017,5.812000,1.084560,37.676589,0.968384,28.369809,0.779243
51,0.866684,5.677600,1.193440,37.202014,0.968024,28.404163,0.792802
52,0.883351,5.537800,1.045600,36.968729,0.967241,28.412669,0.808966
53,0.900018,5.714400,1.102600,34.557004,0.963762,27.431151,0.821579
54,0.916685,5.537800,1.191600,32.445809,0.946877,24.159996,0.813498
55,0.933352,5.332600,1.190680,31.528538,0.942142,23.483911,0.815976
56,0.950019,5.343000,1.116120,29.838322,0.930537,22.620144,0.805307
57,0.966686,5.235800,1.021240,27.813005,0.934356,22.113703,0.802146
58,0.983353,5.073500,1.147640,30.263041,0.949744,21.417246,0.796017
