frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,4.014100,0.837080,33.788056,0.968549,31.350561,0.946622
17,0.300006,3.677400,0.872880,33.821819,0.968750,31.360860,0.946930
18,0.316673,3.673200,1.140840,33.921104,0.969334,31.384621,0.947123
19,0.333340,3.811700,0.833760,33.830706,0.969167,31.404232,0.947085
20,0.350007,3.913600,0.892240,33.749281,0.969001,31.363848,0.947096
21,0.366674,4.173600,0.933920,33.891889,0.969524,31.449408,0.947603
22,0.383341,3.896000,0.853000,33.767540,0.969449,31.525865,0.948440
23,0.400008,3.679700,0.949240,33.981957,0.969611,31.782071,0.949462
24,0.416675,3.618500,0.874280,33.902420,0.969449,31.781858,0.949516
25,0.433342,3.554900,0.821800,33.977629,0.969697,31.703299,0.948668
26,0.450009,3.673300,0.845560,34.080863,0.970200,31.733380,0.949117
27,0.466676,3.643600,0.884680,34.049137,0.969409,31.748006,0.948307
28,0.483343,3.801200,0.898440,33.965661,0.969894,31.759051,0.948894
29,0.500010,3.528300,0.842160,33.954926,0.969795,31.781202,0.949157
30,0.516677,3.781900,0.853560,33.786554,0.969425,31.742008,0.949287
31,0.533344,3.769600,0.837400,34.025309,0.970485,31.844010,0.949323
32,0.550011,3.677400,0.912000,33.954457,0.969631,31.818583,0.948930
33,0.566678,3.791200,0.843480,33.915790,0.969921,31.675987,0.948042
34,0.583345,3.655800,0.853000,33.963511,0.969625,31.644423,0.947378
35,0.600012,3.784100,1.006800,33.971686,0.969739,31.647784,0.947633
36,0.616679,3.756700,0.891240,33.926959,0.969291,31.618496,0.947525
37,0.633346,3.666700,1.002120,33.928883,0.969573,31.696833,0.947850
38,0.650013,3.890600,0.952080,33.973011,0.970068,31.704767,0.947897
39,0.666680,3.667900,0.915000,34.013932,0.970318,31.697415,0.947779
40,0.683347,3.568900,0.828240,34.077242,0.970781,31.705942,0.947845
41,0.700014,3.524300,0.833680,34.204770,0.971146,31.742942,0.948010
42,0.716681,3.663900,0.909520,34.098564,0.970236,31.689910,0.947286
43,0.733348,3.521400,0.843200,34.001422,0.970398,31.556429,0.946484
44,0.750015,4.027600,0.850120,34.051132,0.970277,31.554148,0.946149
45,0.766682,3.735700,0.844280,33.952878,0.970084,31.511074,0.946114
46,0.783349,3.887800,0.810280,33.974661,0.970184,31.487995,0.945644
47,0.800016,3.997100,0.815840,33.976013,0.970386,31.461903,0.945731
