frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,3.781600,0.944880,33.750243,0.968462,31.350561,0.946622
17,0.300006,3.754800,0.884040,33.785791,0.968646,31.360861,0.946930
18,0.316673,3.793900,0.866320,33.944164,0.969525,31.384620,0.947123
19,0.333340,3.506400,0.834680,33.827044,0.969286,31.404230,0.947085
20,0.350007,3.622400,0.827200,33.776508,0.969275,31.363847,0.947096
21,0.366674,3.576000,0.954600,33.926096,0.969836,31.449411,0.947603
22,0.383341,3.581000,0.878360,33.793784,0.969704,31.525873,0.948441
23,0.400008,3.541000,0.826360,33.941641,0.969332,31.782070,0.949462
24,0.416675,3.852000,0.969280,33.909393,0.969499,31.781856,0.949516
25,0.433342,3.857000,0.973000,33.957598,0.969596,31.703301,0.948669
26,0.450009,3.674400,0.846720,34.092646,0.970309,31.733377,0.949117
27,0.466676,3.620300,0.824200,34.085533,0.969678,31.748008,0.948307
28,0.483343,3.802200,0.875120,33.986384,0.970082,31.759063,0.948894
29,0.500010,3.647900,0.818240,33.972981,0.969888,31.781208,0.949157
30,0.516677,3.854300,0.891280,33.787842,0.969480,31.742009,0.949287
31,0.533344,3.816300,0.827080,34.053686,0.970762,31.844012,0.949323
32,0.550011,3.921700,1.075680,33.962204,0.969752,31.818574,0.948929
33,0.566678,3.801500,0.838640,33.945675,0.970215,31.675983,0.948042
34,0.583345,3.830000,0.854080,33.965906,0.969695,31.644409,0.947378
35,0.600012,3.718200,0.868680,33.954990,0.969622,31.647773,0.947633
36,0.616679,4.028100,0.883720,33.910957,0.969155,31.618497,0.947526
37,0.633346,3.529600,0.855640,33.950313,0.969742,31.696836,0.947850
38,0.650013,3.650900,0.823320,33.991818,0.970231,31.704769,0.947897
39,0.666680,3.763600,0.815680,34.053531,0.970661,31.697408,0.947779
40,0.683347,3.521300,0.825000,34.110825,0.971110,31.705938,0.947845
41,0.700014,3.781000,0.822360,34.242513,0.971469,31.742924,0.948009
42,0.716681,3.558400,0.821760,34.110625,0.970438,31.689898,0.947286
43,0.733348,3.607300,0.988160,34.028879,0.970679,31.556413,0.946484
44,0.750015,3.472600,0.807440,34.083134,0.970615,31.554126,0.946148
45,0.766682,3.692500,0.823440,33.993519,0.970436,31.511059,0.946113
46,0.783349,3.880900,0.808440,33.999935,0.970438,31.487979,0.945643
47,0.800016,4.132400,0.810640,33.966692,0.970467,31.461916,0.945731
48,0.816683,3.884200,0.862480,33.959426,0.970833,31.407733,0.945665
49,0.833350,4.087300,0.832800,33.995300,0.970906,31.392078,0.945407
50,0.850017,3.772800,0.909960,33.962398,0.970447,31.405515,0.945384
51,0.866684,3.991200,0.913120,33.968950,0.970157,31.403850,0.945273
52,0.883351,4.062300,0.995080,33.967579,0.970300,31.424338,0.945440
53,0.900018,3.925300,0.807480,34.033473,0.970491,31.508980,0.945803
54,0.916685,3.674200,0.914480,33.961846,0.969842,31.465208,0.945513
55,0.933352,3.805600,0.818000,33.966517,0.970425,31.461330,0.945749
56,0.950019,3.673100,0.815000,33.726145,0.969039,31.365971,0.945503
57,0.966686,3.536100,0.810600,33.823946,0.969337,31.333354,0.945109
58,0.983353,3.674100,0.810080,33.898854,0.969958,31.310628,0.945067
59,1.000020,3.997200,0.911600,33.888322,0.969948,31.337440,0.945401
60,1.016687,3.590600,0.864880,33.944901,0.970059,31.397430,0.945602
61,1.033354,3.666200,0.808040,33.960729,0.970287,31.379103,0.945314
