frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,3.701900,0.795360,32.881982,0.963238,31.350561,0.946622
17,0.300006,3.729800,0.934760,32.884810,0.962703,31.360860,0.946930
18,0.316673,4.177500,0.756080,33.357604,0.965261,31.384621,0.947123
19,0.333340,3.785900,0.784480,33.220730,0.964814,31.404232,0.947085
20,0.350007,3.598800,0.924520,33.315136,0.965530,31.363848,0.947096
21,0.366674,3.793000,0.776960,33.518561,0.966705,31.449408,0.947603
22,0.383341,3.681600,0.797120,33.366230,0.966214,31.525865,0.948440
23,0.400008,3.476000,0.939880,33.026552,0.962594,31.782071,0.949462
24,0.416675,3.514200,0.901640,33.230154,0.963962,31.781858,0.949516
25,0.433342,3.616300,0.768320,33.346453,0.964517,31.703299,0.948668
26,0.450009,3.791300,0.948080,33.591802,0.966432,31.733380,0.949117
27,0.466676,3.428800,0.807120,33.683598,0.966222,31.748006,0.948307
28,0.483343,3.498600,0.909400,33.634680,0.966810,31.759051,0.948894
29,0.500010,3.427400,0.889800,33.442066,0.965378,31.781202,0.949157
30,0.516677,3.925000,0.757120,33.156265,0.964450,31.742008,0.949287
31,0.533344,3.559300,0.779920,33.666954,0.967507,31.844010,0.949323
32,0.550011,3.624100,0.793800,33.455887,0.965378,31.818583,0.948930
33,0.566678,3.604400,0.777720,33.650315,0.967322,31.675987,0.948042
34,0.583345,3.698800,0.761960,33.395746,0.964534,31.644423,0.947378
35,0.600012,3.491700,0.833400,33.170729,0.963475,31.647784,0.947633
36,0.616679,3.826700,0.939240,33.063973,0.962869,31.618496,0.947525
37,0.633346,3.696200,0.767760,33.437544,0.965498,31.696833,0.947850
38,0.650013,3.481500,0.770040,33.474979,0.965665,31.704767,0.947897
39,0.666680,3.505600,0.874760,33.676700,0.967155,31.697415,0.947779
40,0.683347,3.381200,0.753680,33.710032,0.967659,31.705942,0.947845
41,0.700014,3.722400,0.869040,33.809342,0.968005,31.742942,0.948010
42,0.716681,3.767600,0.779400,33.665208,0.966803,31.689910,0.947286
43,0.733348,3.566000,0.950800,33.544481,0.966866,31.556429,0.946484
44,0.750015,3.378500,0.764040,33.639206,0.967374,31.554148,0.946149
45,0.766682,3.595000,0.893720,33.520603,0.966701,31.511074,0.946114
46,0.783349,3.591900,0.718960,33.539227,0.966793,31.487995,0.945644
47,0.800016,3.686200,0.864760,33.220509,0.965746,31.461903,0.945731
48,0.816683,3.621400,0.751240,33.245721,0.966413,31.407715,0.945664
49,0.833350,3.648800,0.729360,33.367349,0.966245,31.392089,0.945407
50,0.850017,3.549800,0.734480,33.508076,0.966534,31.405524,0.945385
51,0.866684,3.522100,0.783080,33.344653,0.965583,31.403848,0.945273
52,0.883351,3.338500,0.733480,33.410721,0.965994,31.424351,0.945440
53,0.900018,3.746100,0.739000,33.475099,0.966079,31.508986,0.945803
54,0.916685,3.762500,0.737640,33.293659,0.964534,31.465228,0.945514
55,0.933352,3.556100,0.855000,33.515476,0.966683,31.461335,0.945749
56,0.950019,3.715400,0.896120,33.011979,0.963928,31.365982,0.945504
57,0.966686,3.653600,0.847840,33.071246,0.963559,31.333330,0.945108
58,0.983353,3.647500,0.910480,33.239258,0.965633,31.310618,0.945067
59,1.000020,3.589300,0.801840,33.098526,0.965250,31.337429,0.945401
60,1.016687,3.842100,0.921560,33.238371,0.965446,31.397424,0.945602
61,1.033354,3.608100,0.996520,33.459357,0.965987,31.379103,0.945314
62,1.050021,3.767100,1.012600,33.374632,0.965795,31.393302,0.945590
63,1.066688,3.813700,0.851960,33.413897,0.965778,31.399650,0.945608
64,1.083355,4.456600,0.905040,33.676399,0.968255,31.399591,0.945957
65,1.100022,3.800500,0.904600,33.643838,0.967418,31.386396,0.946278
66,1.116689,3.540000,0.767200,33.597010,0.967717,31.268158,0.945709
67,1.133356,3.764000,0.876120,33.300466,0.966918,31.131451,0.945106
68,1.150023,3.668900,0.908920,33.392576,0.966747,31.175327,0.944833
69,1.166690,3.684400,0.859680,33.297602,0.966333,31.252696,0.945226
70,1.183357,3.483300,0.903520,33.594730,0.967413,31.391140,0.945030
71,1.200024,3.752200,0.906400,33.494346,0.965895,31.592526,0.946099
72,1.216691,4.734900,0.835000,33.647894,0.967314,31.711709,0.947504
73,1.233358,3.580900,1.097960,33.880194,0.968696,31.714326,0.948002
74,1.250025,3.541200,0.753840,33.819778,0.968098,31.704331,0.947922
75,1.266692,3.619500,0.914320,33.946091,0.969212,31.674601,0.947786
76,1.283359,3.718800,0.792160,33.978162,0.969336,31.664248,0.947941
77,1.300026,3.923500,0.861160,33.546389,0.967526,31.652008,0.948368
78,1.316693,3.769600,0.955440,33.597822,0.966185,31.772761,0.948440
79,1.333360,3.733900,0.890600,33.631451,0.966496,31.735233,0.948022
80,1.350027,3.671600,0.858960,33.587068,0.967604,31.588348,0.947684
81,1.366694,3.803100,0.811720,33.482178,0.966066,31.502366,0.946800
82,1.383361,3.672700,0.865120,33.570545,0.966986,31.520468,0.947047
83,1.400028,3.904400,0.887520,33.650608,0.966822,31.627734,0.947678
84,1.416695,3.988600,0.763360,33.727583,0.967379,31.651150,0.947898
85,1.433362,3.450800,1.075680,33.691031,0.967807,31.612544,0.947578
86,1.450029,3.809400,1.085480,33.455526,0.965926,31.606694,0.947357
87,1.466696,3.808900,0.861080,33.647127,0.967537,31.625144,0.947420
88,1.483363,3.747300,0.919240,33.531676,0.966702,31.623523,0.947524
89,1.500030,3.689400,1.023400,33.634080,0.966679,31.664933,0.947321
90,1.516697,3.813200,0.922960,33.870609,0.968290,31.738278,0.947942
91,1.533364,3.943300,0.884280,33.836143,0.968671,31.765233,0.948323
92,1.550031,3.920000,0.860360,33.764299,0.968407,31.766661,0.948631
93,1.566698,3.775800,0.898920,33.855155,0.969019,31.763955,0.948675
94,1.583365,3.815900,0.823800,33.636733,0.968405,31.759047,0.948653
95,1.600032,3.789200,0.833280,33.461316,0.967755,31.772073,0.948972
96,1.616699,3.609500,0.915680,33.483860,0.968634,31.746792,0.948846
97,1.633366,3.718800,0.902000,33.369793,0.967373,31.729067,0.948543
98,1.650033,4.101000,0.846000,33.448614,0.967541,31.722550,0.948542
99,1.666700,3.967800,0.888480,33.566818,0.968353,31.714414,0.948468
100,1.683367,4.020600,0.817400,33.648622,0.968386,31.722049,0.948474
101,1.700034,3.713000,0.887120,33.515770,0.968128,31.734905,0.948973
102,1.716701,3.600100,0.864560,33.807715,0.969118,31.901925,0.949590
103,1.733368,3.746200,0.813280,33.704100,0.968969,31.934407,0.949855
104,1.750035,3.790000,1.033760,33.325782,0.967705,31.768291,0.948876
105,1.766702,4.049100,0.885040,33.319022,0.967614,31.829874,0.948884
106,1.783369,3.872300,0.917400,33.562338,0.968091,31.831793,0.948602
107,1.800036,3.724000,0.892600,33.351929,0.967765,31.837448,0.948940
108,1.816703,3.751200,0.897200,33.359883,0.968273,31.798400,0.948651
109,1.833370,3.649300,0.884240,33.224330,0.968203,31.803503,0.949135
110,1.850037,3.920200,0.905920,33.277262,0.967489,31.836040,0.949483
111,1.866704,3.746200,0.850000,33.503270,0.967881,31.875092,0.949426
112,1.883371,3.994800,0.879240,33.687711,0.968419,31.734142,0.948841
113,1.900038,3.850400,0.910360,33.608590,0.968035,31.653600,0.948131
114,1.916705,3.690900,0.869720,33.807852,0.969043,31.664146,0.948032
115,1.933372,3.684500,0.917400,33.618979,0.967860,31.604157,0.947389
116,1.950039,3.758600,0.856480,33.612812,0.967547,31.633707,0.947836
117,1.966706,3.668400,0.852520,33.676888,0.968403,31.583322,0.947611
118,1.983373,3.799400,0.903440,33.751049,0.968778,31.593097,0.947906
119,2.000040,3.748700,0.899200,33.656149,0.968362,31.606707,0.948272
