frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,3.417200,0.654240,33.439683,0.966264,31.350561,0.946622
17,0.300006,3.465800,0.800240,33.501565,0.966784,31.360860,0.946930
18,0.316673,3.618700,0.638640,33.502701,0.966670,31.384621,0.947123
19,0.333340,3.310900,0.726200,33.484110,0.966924,31.404232,0.947085
20,0.350007,3.365900,0.696360,33.345565,0.966306,31.363848,0.947096
21,0.366674,3.222600,0.664720,33.530714,0.967199,31.449408,0.947603
22,0.383341,3.455300,0.645600,33.404608,0.967099,31.525865,0.948440
23,0.400008,3.453800,0.672520,33.693002,0.968033,31.782071,0.949462
24,0.416675,3.389800,0.647800,33.590828,0.967477,31.781858,0.949516
25,0.433342,3.267500,0.676560,33.667547,0.967990,31.703299,0.948668
26,0.450009,3.292800,0.661640,33.723757,0.968068,31.733380,0.949117
27,0.466676,3.649300,0.739160,33.635641,0.966896,31.748006,0.948307
28,0.483343,3.252300,0.731880,33.624137,0.967636,31.759051,0.948894
29,0.500010,3.470900,0.650360,33.560866,0.967634,31.781202,0.949157
30,0.516677,3.216400,0.636480,33.497936,0.967761,31.742008,0.949287
31,0.533344,3.566300,0.669800,33.703090,0.968420,31.844010,0.949323
32,0.550011,3.624900,0.780440,33.588058,0.967576,31.818583,0.948930
33,0.566678,3.387900,0.735760,33.585115,0.967862,31.675987,0.948042
34,0.583345,3.478100,0.752120,33.576972,0.967543,31.644423,0.947378
35,0.600012,3.496900,0.643440,33.600963,0.967750,31.647784,0.947633
36,0.616679,3.261800,0.706560,33.572163,0.967316,31.618496,0.947525
37,0.633346,3.289800,0.778640,33.524269,0.967213,31.696833,0.947850
38,0.650013,3.317000,0.654360,33.591619,0.967644,31.704767,0.947897
39,0.666680,3.259900,0.656920,33.609123,0.967873,31.697415,0.947779
40,0.683347,3.333400,0.753960,33.698674,0.968326,31.705942,0.947845
41,0.700014,3.477300,0.654080,33.769167,0.968591,31.742942,0.948010
42,0.716681,3.353900,0.661600,33.726369,0.967759,31.689910,0.947286
43,0.733348,3.409200,0.652840,33.639893,0.968112,31.556429,0.946484
44,0.750015,3.280300,0.641600,33.668772,0.967699,31.554148,0.946149
45,0.766682,3.276600,0.637000,33.498971,0.967472,31.511074,0.946114
46,0.783349,3.406100,0.723320,33.616092,0.967776,31.487995,0.945644
47,0.800016,3.565200,0.615600,33.574999,0.968011,31.461903,0.945731
48,0.816683,3.760500,0.620520,33.546111,0.968109,31.407715,0.945664
49,0.833350,3.684200,0.682960,33.524849,0.968064,31.392089,0.945407
50,0.850017,3.453100,0.677760,33.542255,0.967675,31.405524,0.945385
51,0.866684,3.504100,0.675240,33.585258,0.967784,31.403848,0.945273
52,0.883351,3.739700,0.628120,33.550179,0.967769,31.424351,0.945440
53,0.900018,3.110800,0.670520,33.700109,0.968158,31.508986,0.945803
54,0.916685,3.668100,0.770960,33.644627,0.967805,31.465228,0.945514
55,0.933352,3.491500,0.620960,33.493822,0.967439,31.461335,0.945749
56,0.950019,3.720500,0.695600,33.385077,0.966887,31.365982,0.945504
57,0.966686,3.473500,0.664520,33.514464,0.967412,31.333330,0.945108
58,0.983353,3.498100,0.676800,33.539322,0.967705,31.310618,0.945067
59,1.000020,3.335300,0.650760,33.541235,0.967649,31.337429,0.945401
60,1.016687,3.613800,0.729000,33.567035,0.967503,31.397424,0.945602
61,1.033354,3.409800,0.667920,33.575237,0.967672,31.379103,0.945314
62,1.050021,3.538800,0.815560,33.579066,0.967375,31.393302,0.945590
63,1.066688,3.433000,0.723120,33.520686,0.967120,31.399650,0.945608
64,1.083355,3.492000,0.713240,33.589776,0.967582,31.399591,0.945957
65,1.100022,3.347400,0.726800,33.680998,0.968251,31.386396,0.946278
66,1.116689,3.469200,0.660240,33.628206,0.967883,31.268158,0.945709
67,1.133356,3.644100,0.692000,33.390952,0.967501,31.131451,0.945106
68,1.150023,3.451200,0.738120,33.473941,0.967179,31.175327,0.944833
69,1.166690,4.121500,0.680720,33.348529,0.967277,31.252696,0.945226
70,1.183357,3.316400,0.752080,33.506731,0.967349,31.391140,0.945030
71,1.200024,3.427200,0.637000,33.580614,0.967253,31.592526,0.946099
72,1.216691,3.179400,0.720320,33.578142,0.967239,31.711709,0.947504
73,1.233358,3.414300,0.862280,33.685405,0.967969,31.714326,0.948002
74,1.250025,3.499200,0.678120,33.800467,0.968315,31.704331,0.947922
75,1.266692,3.446700,0.683120,33.770985,0.968574,31.674601,0.947786
76,1.283359,3.332700,0.680600,33.761594,0.968609,31.664248,0.947941
77,1.300026,3.462000,0.672520,33.699180,0.968568,31.652008,0.948368
78,1.316693,3.466600,0.723360,33.846353,0.968763,31.772761,0.948440
79,1.333360,3.319200,0.743000,33.869573,0.968993,31.735233,0.948022
80,1.350027,3.687600,0.726880,33.705410,0.968606,31.588348,0.947684
81,1.366694,3.380200,0.693800,33.677082,0.968275,31.502366,0.946800
82,1.383361,3.545300,0.958560,33.759371,0.968474,31.520468,0.947047
83,1.400028,3.496100,0.759320,33.781987,0.968636,31.627734,0.947678
84,1.416695,3.530400,0.747080,33.832420,0.968849,31.651150,0.947898
85,1.433362,3.560600,0.730240,33.769394,0.968694,31.612544,0.947578
86,1.450029,3.394900,0.734320,33.852420,0.968803,31.606694,0.947357
87,1.466696,3.612900,0.695120,33.824719,0.968874,31.625144,0.947420
88,1.483363,3.344400,0.718400,33.809912,0.968894,31.623523,0.947524
89,1.500030,3.650500,0.681320,33.726026,0.968049,31.664933,0.947321
90,1.516697,3.435500,0.724960,33.926906,0.969172,31.738278,0.947942
91,1.533364,3.509200,0.722000,33.829983,0.968924,31.765233,0.948323
92,1.550031,3.482700,0.712400,33.903716,0.969418,31.766661,0.948631
93,1.566698,3.398400,0.870680,33.823041,0.969196,31.763955,0.948675
94,1.583365,3.412200,0.722680,33.817899,0.969294,31.759047,0.948653
95,1.600032,3.444000,0.693080,33.837023,0.969602,31.772073,0.948972
96,1.616699,3.586300,0.723560,33.834295,0.969672,31.746792,0.948846
97,1.633366,3.550200,0.678800,33.630955,0.968839,31.729067,0.948543
98,1.650033,3.443200,0.677480,33.796802,0.969515,31.722550,0.948542
99,1.666700,3.518200,0.679360,33.772215,0.969401,31.714414,0.948468
100,1.683367,3.539900,0.587360,33.830243,0.969500,31.722049,0.948474
101,1.700034,3.313900,0.716480,33.782004,0.969897,31.734905,0.948973
102,1.716701,3.363800,0.678280,33.930594,0.970070,31.901925,0.949590
103,1.733368,3.465400,0.692520,33.926279,0.970131,31.934407,0.949855
104,1.750035,3.492000,0.877040,33.668275,0.968800,31.768291,0.948876
105,1.766702,3.668900,0.724080,33.864312,0.969606,31.829874,0.948884
106,1.783369,3.585600,0.762720,33.975820,0.969887,31.831793,0.948602
107,1.800036,3.446100,0.867840,34.000872,0.969968,31.837448,0.948940
108,1.816703,3.463100,0.760360,33.987284,0.969931,31.798400,0.948651
109,1.833370,3.330000,0.675960,34.008563,0.970241,31.803503,0.949135
110,1.850037,3.518200,0.681880,33.949268,0.970038,31.836040,0.949483
111,1.866704,3.288100,0.747440,34.034200,0.970392,31.875092,0.949426
112,1.883371,3.570700,0.730960,33.726348,0.969586,31.734142,0.948841
113,1.900038,3.311200,0.672160,33.636601,0.969270,31.653600,0.948131
114,1.916705,3.530500,0.729960,33.739594,0.969272,31.664146,0.948032
115,1.933372,3.460000,0.750080,33.779655,0.969615,31.604157,0.947389
116,1.950039,3.493600,0.683280,33.760712,0.969265,31.633707,0.947836
117,1.966706,3.358400,0.737240,33.746938,0.969418,31.583322,0.947611
118,1.983373,3.406400,0.682840,33.756085,0.969480,31.593097,0.947906
119,2.000040,3.558400,0.698400,33.752807,0.969791,31.606707,0.948272
