frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,3.669100,0.780200,33.833347,0.968605,31.350561,0.946622
17,0.300006,3.567300,0.814640,33.818025,0.968722,31.360860,0.946930
18,0.316673,3.894400,1.114440,33.922246,0.969327,31.384621,0.947123
19,0.333340,3.614200,0.772320,33.860219,0.969210,31.404232,0.947085
20,0.350007,3.544200,0.844480,33.748345,0.968998,31.363848,0.947096
21,0.366674,3.847500,0.850640,33.891629,0.969513,31.449408,0.947603
22,0.383341,3.802400,0.792760,33.782407,0.969473,31.525865,0.948440
23,0.400008,3.562000,0.952000,33.981232,0.969613,31.782071,0.949462
24,0.416675,3.616700,0.784440,33.902387,0.969450,31.781858,0.949516
25,0.433342,3.689600,0.828600,34.029836,0.969776,31.703299,0.948668
26,0.450009,3.788000,1.076720,34.079802,0.970197,31.733380,0.949117
27,0.466676,4.408800,0.792840,34.052157,0.969426,31.748006,0.948307
28,0.483343,3.714800,0.855200,33.981201,0.969923,31.759051,0.948894
29,0.500010,3.645200,0.899200,33.955369,0.969792,31.781202,0.949157
30,0.516677,3.696000,0.788160,33.787617,0.969432,31.742008,0.949287
31,0.533344,3.635000,0.823120,34.045686,0.970545,31.844010,0.949323
32,0.550011,3.628900,0.874200,33.958798,0.969656,31.818583,0.948930
33,0.566678,3.592200,0.801000,33.916967,0.969927,31.675987,0.948042
34,0.583345,3.584300,0.832080,34.010958,0.969704,31.644423,0.947378
35,0.600012,3.459200,0.806200,33.966171,0.969726,31.647784,0.947633
36,0.616679,3.693400,0.773040,33.926474,0.969285,31.618496,0.947525
37,0.633346,3.744300,0.814720,33.955531,0.969636,31.696833,0.947850
38,0.650013,3.714100,0.787880,33.971273,0.970073,31.704767,0.947897
39,0.666680,3.975000,0.880840,34.013199,0.970315,31.697415,0.947779
40,0.683347,3.971500,0.782760,34.099919,0.970823,31.705942,0.947845
41,0.700014,3.926600,0.896320,34.206853,0.971159,31.742942,0.948010
42,0.716681,3.666100,0.964800,34.093199,0.970225,31.689910,0.947286
43,0.733348,3.902600,0.855520,34.048548,0.970485,31.556429,0.946484
44,0.750015,3.800500,0.830080,34.051398,0.970274,31.554148,0.946149
45,0.766682,3.857800,1.088040,33.955559,0.970093,31.511074,0.946114
46,0.783349,4.215200,0.714600,33.999314,0.970241,31.487995,0.945644
47,0.800016,3.767100,0.767280,33.973608,0.970385,31.461903,0.945731
48,0.816683,3.945800,0.860200,33.949306,0.970623,31.407715,0.945664
49,0.833350,3.934700,0.717400,33.984210,0.970708,31.392089,0.945407
50,0.850017,3.760400,0.767720,33.933912,0.970178,31.405524,0.945385
51,0.866684,4.023900,0.892760,33.952407,0.970001,31.403848,0.945273
52,0.883351,3.713200,0.771360,33.977852,0.970110,31.424351,0.945440
53,0.900018,3.954000,0.819080,34.007329,0.970224,31.508986,0.945803
54,0.916685,3.592400,0.774160,33.946620,0.969707,31.465228,0.945514
55,0.933352,3.922900,0.794360,33.951729,0.970139,31.461335,0.945749
56,0.950019,3.658100,0.884880,33.727572,0.968973,31.365982,0.945504
57,0.966686,3.854700,0.883720,33.833083,0.969373,31.333330,0.945108
58,0.983353,3.665300,0.784000,33.912617,0.969873,31.310618,0.945067
59,1.000020,3.860900,0.766600,33.903315,0.969879,31.337429,0.945401
60,1.016687,3.941300,0.824600,33.949939,0.969956,31.397424,0.945602
61,1.033354,3.752000,0.943560,34.003496,0.970191,31.379103,0.945314
62,1.050021,3.803200,1.107160,33.913545,0.969633,31.393302,0.945590
63,1.066688,3.587900,0.763360,33.866576,0.969389,31.399650,0.945608
64,1.083355,4.665600,0.874160,33.968022,0.970180,31.399591,0.945957
65,1.100022,3.696600,0.878000,34.040428,0.970534,31.386396,0.946278
66,1.116689,3.484800,0.759200,33.945335,0.970222,31.268158,0.945709
67,1.133356,3.723500,0.791480,33.750674,0.969849,31.131451,0.945106
68,1.150023,4.101700,0.767760,33.869080,0.969873,31.175327,0.944833
69,1.166690,4.513000,0.778720,33.751228,0.969825,31.252696,0.945226
70,1.183357,3.778600,0.932720,33.953755,0.970292,31.391140,0.945030
71,1.200024,3.775900,0.803000,33.978545,0.970007,31.592526,0.946099
72,1.216691,3.868200,0.798400,33.989936,0.970120,31.711709,0.947504
73,1.233358,3.674700,0.907520,34.141243,0.970845,31.714326,0.948002
74,1.250025,4.058400,0.876040,34.196953,0.971016,31.704331,0.947922
75,1.266692,3.955800,0.771840,34.212800,0.971360,31.674601,0.947786
76,1.283359,3.924100,0.791520,34.217058,0.971437,31.664248,0.947941
