frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,3.694800,0.857240,33.779030,0.968497,31.350561,0.946622
17,0.300006,3.807400,0.891880,33.819849,0.968725,31.360860,0.946930
18,0.316673,3.857400,0.900040,33.920478,0.969318,31.384621,0.947123
19,0.333340,3.442600,0.841480,33.828470,0.969154,31.404232,0.947085
20,0.350007,3.803700,0.873720,33.748255,0.968995,31.363848,0.947096
21,0.366674,3.692600,0.819080,33.891555,0.969512,31.449408,0.947603
22,0.383341,3.594300,1.008440,33.766599,0.969443,31.525865,0.948440
23,0.400008,3.633200,0.835600,33.982418,0.969616,31.782071,0.949462
24,0.416675,3.708500,0.981080,33.900825,0.969440,31.781858,0.949516
25,0.433342,3.583800,0.830200,33.973099,0.969673,31.703299,0.948668
26,0.450009,3.932700,1.008200,34.080606,0.970198,31.733380,0.949117
27,0.466676,3.518100,0.819200,34.049132,0.969408,31.748006,0.948307
28,0.483343,3.513400,0.951640,33.965530,0.969895,31.759051,0.948894
29,0.500010,3.724400,0.837880,33.954770,0.969785,31.781202,0.949157
30,0.516677,3.793900,0.830680,33.787369,0.969429,31.742008,0.949287
31,0.533344,3.887800,0.886800,34.026949,0.970493,31.844010,0.949323
32,0.550011,3.513000,0.902120,33.956861,0.969632,31.818583,0.948930
33,0.566678,3.539200,0.850880,33.915362,0.969920,31.675987,0.948042
34,0.583345,3.595100,0.841560,33.962259,0.969618,31.644423,0.947378
35,0.600012,3.648300,0.845240,33.972014,0.969739,31.647784,0.947633
36,0.616679,3.775000,0.886080,33.925962,0.969284,31.618496,0.947525
37,0.633346,3.697500,1.021720,33.929663,0.969583,31.696833,0.947850
38,0.650013,3.737200,0.812160,33.974319,0.970077,31.704767,0.947897
39,0.666680,3.485000,0.812840,34.014224,0.970317,31.697415,0.947779
40,0.683347,3.909900,0.908280,34.079671,0.970789,31.705942,0.947845
41,0.700014,3.601500,0.837520,34.206247,0.971156,31.742942,0.948010
42,0.716681,3.830300,1.075720,34.097774,0.970227,31.689910,0.947286
43,0.733348,3.906800,0.821720,34.001161,0.970397,31.556429,0.946484
