frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,3.801900,0.815920,33.842808,0.968658,31.350561,0.946622
17,0.300006,3.569900,0.790280,33.820027,0.968749,31.360860,0.946930
18,0.316673,3.467200,0.781800,33.922867,0.969342,31.384621,0.947123
19,0.333340,3.441800,0.834640,33.862541,0.969224,31.404232,0.947085
20,0.350007,3.823600,0.819080,33.749546,0.969004,31.363848,0.947096
21,0.366674,4.166200,0.819840,33.892060,0.969526,31.449408,0.947603
22,0.383341,3.731700,0.777760,33.783583,0.969481,31.525865,0.948440
23,0.400008,3.684400,0.970280,33.980790,0.969608,31.782071,0.949462
24,0.416675,3.845700,0.848640,33.904015,0.969459,31.781858,0.949516
25,0.433342,3.640800,0.814640,34.035590,0.969803,31.703299,0.948668
26,0.450009,3.852300,1.228640,34.080106,0.970200,31.733380,0.949117
27,0.466676,3.762500,0.775760,34.052256,0.969427,31.748006,0.948307
28,0.483343,3.560700,0.972400,33.981160,0.969922,31.759051,0.948894
29,0.500010,3.561500,0.854240,33.956087,0.969805,31.781202,0.949157
30,0.516677,3.785200,0.794800,33.786916,0.969429,31.742008,0.949287
31,0.533344,3.554800,0.931360,34.044171,0.970538,31.844010,0.949323
32,0.550011,3.704600,0.874600,33.956391,0.969656,31.818583,0.948930
33,0.566678,3.729100,0.774040,33.917639,0.969929,31.675987,0.948042
34,0.583345,3.643900,0.835200,34.012282,0.969711,31.644423,0.947378
35,0.600012,3.510600,1.059880,33.965991,0.969728,31.647784,0.947633
36,0.616679,3.442600,0.776240,33.927496,0.969292,31.618496,0.947525
37,0.633346,3.834900,0.793400,33.954860,0.969626,31.696833,0.947850
38,0.650013,3.493400,0.792400,33.969981,0.970065,31.704767,0.947897
39,0.666680,3.742100,0.832840,34.012882,0.970316,31.697415,0.947779
40,0.683347,3.616400,0.812440,34.097547,0.970817,31.705942,0.947845
41,0.700014,3.549600,0.940560,34.205399,0.971149,31.742942,0.948010
42,0.716681,3.666800,0.783720,34.093955,0.970234,31.689910,0.947286
43,0.733348,3.564600,0.812200,34.048652,0.970486,31.556429,0.946484
44,0.750015,3.952400,0.812480,34.050814,0.970273,31.554148,0.946149
45,0.766682,3.842600,0.779080,33.953443,0.970086,31.511074,0.946114
46,0.783349,3.580300,0.872240,33.998221,0.970233,31.487995,0.945644
47,0.800016,3.559700,0.884840,33.974833,0.970387,31.461903,0.945731
48,0.816683,3.674500,0.762280,33.950832,0.970630,31.407715,0.945664
49,0.833350,3.368800,0.720760,33.988266,0.970731,31.392089,0.945407
50,0.850017,3.531200,0.864640,33.936410,0.970196,31.405524,0.945385
51,0.866684,3.568200,0.764000,33.952503,0.970002,31.403848,0.945273
52,0.883351,3.758400,0.773480,33.980079,0.970118,31.424351,0.945440
53,0.900018,3.695100,0.778560,34.009260,0.970235,31.508986,0.945803
54,0.916685,3.678600,0.771680,33.947983,0.969716,31.465228,0.945514
55,0.933352,3.761000,0.872680,33.951580,0.970138,31.461335,0.945749
56,0.950019,3.926700,0.851440,33.730293,0.968987,31.365982,0.945504
57,0.966686,3.806000,0.967800,33.833940,0.969378,31.333330,0.945108
58,0.983353,3.879300,0.902440,33.916445,0.969900,31.310618,0.945067
59,1.000020,3.735300,0.937680,33.903893,0.969884,31.337429,0.945401
60,1.016687,3.729700,0.930520,33.949792,0.969956,31.397424,0.945602
61,1.033354,3.930200,0.886600,34.006504,0.970209,31.379103,0.945314
62,1.050021,3.557500,0.912880,33.913001,0.969636,31.393302,0.945590
63,1.066688,3.906100,1.135560,33.866363,0.969388,31.399650,0.945608
64,1.083355,4.447300,0.858800,33.969466,0.970190,31.399591,0.945957
65,1.100022,3.527300,0.926520,34.041695,0.970545,31.386396,0.946278
66,1.116689,3.639500,0.790640,33.944245,0.970215,31.268158,0.945709
67,1.133356,4.200000,0.894520,33.751200,0.969854,31.131451,0.945106
68,1.150023,3.789900,0.790840,33.868826,0.969872,31.175327,0.944833
69,1.166690,4.520600,0.916520,33.751247,0.969824,31.252696,0.945226
70,1.183357,3.697500,0.927440,33.955784,0.970307,31.391140,0.945030
71,1.200024,3.532700,0.825320,33.979669,0.970012,31.592526,0.946099
72,1.216691,3.763200,0.923600,33.989869,0.970125,31.711709,0.947504
73,1.233358,3.687300,0.910960,34.142390,0.970856,31.714326,0.948002
74,1.250025,3.672900,0.940880,34.198091,0.971022,31.704331,0.947922
75,1.266692,3.654500,0.914160,34.213438,0.971366,31.674601,0.947786
76,1.283359,3.875400,0.810240,34.217115,0.971438,31.664248,0.947941
77,1.300026,3.725200,0.869880,34.026772,0.970867,31.652008,0.948368
78,1.316693,3.621300,0.881280,34.165788,0.970851,31.772761,0.948440
79,1.333360,3.415800,0.941400,34.209966,0.971071,31.735233,0.948022
80,1.350027,3.745900,0.908560,34.071514,0.970888,31.588348,0.947684
81,1.366694,3.763400,0.869000,33.978287,0.970196,31.502366,0.946800
82,1.383361,3.759300,0.912320,34.105223,0.970806,31.520468,0.947047
83,1.400028,3.796800,1.094480,34.148183,0.970985,31.627734,0.947678
84,1.416695,3.845900,0.858360,34.172651,0.971198,31.651150,0.947898
85,1.433362,3.978800,0.845120,34.225224,0.971542,31.612544,0.947578
86,1.450029,3.843300,0.870120,34.162108,0.971083,31.606694,0.947357
87,1.466696,3.809900,0.942160,34.203882,0.971423,31.625144,0.947420
88,1.483363,3.663700,0.842360,34.239950,0.971631,31.623523,0.947524
89,1.500030,3.714600,0.923560,34.097773,0.970676,31.664933,0.947321
90,1.516697,3.840900,0.872520,34.322737,0.971864,31.738278,0.947942
91,1.533364,3.822300,0.896520,34.307587,0.971837,31.765233,0.948323
92,1.550031,3.957100,0.877200,34.274436,0.971956,31.766661,0.948631
93,1.566698,3.876200,0.921280,34.267246,0.972048,31.763955,0.948675
94,1.583365,3.783000,0.882480,34.234083,0.971982,31.759047,0.948653
95,1.600032,3.993900,0.933560,34.288159,0.972347,31.772073,0.948972
96,1.616699,3.808400,0.932120,34.217140,0.972334,31.746792,0.948846
97,1.633366,3.748700,0.868080,34.149543,0.971931,31.729067,0.948543
98,1.650033,3.835200,0.880440,34.200093,0.972215,31.722550,0.948542
99,1.666700,3.907700,0.935800,34.244664,0.972466,31.714414,0.948468
100,1.683367,3.686300,0.889440,34.299431,0.972470,31.722049,0.948474
101,1.700034,3.683300,0.927280,34.261129,0.972619,31.734905,0.948973
102,1.716701,3.766100,0.869560,34.381475,0.972917,31.901925,0.949590
103,1.733368,3.802600,0.876440,34.415593,0.972892,31.934407,0.949855
104,1.750035,3.870500,0.870560,34.052602,0.971520,31.768291,0.948876
105,1.766702,4.294100,0.929320,34.242645,0.972051,31.829874,0.948884
106,1.783369,3.923300,0.932240,34.387648,0.972602,31.831793,0.948602
107,1.800036,3.758700,0.903560,34.380725,0.972671,31.837448,0.948940
108,1.816703,3.758700,0.878280,34.356232,0.972558,31.798400,0.948651
109,1.833370,3.691100,0.869760,34.343064,0.972562,31.803503,0.949135
110,1.850037,3.845900,0.868800,34.277530,0.972279,31.836040,0.949483
111,1.866704,3.615100,0.850440,34.367694,0.972538,31.875092,0.949426
112,1.883371,3.798700,0.915840,34.136720,0.972006,31.734142,0.948841
113,1.900038,3.762500,0.967680,34.046049,0.971571,31.653600,0.948131
114,1.916705,3.814600,0.876760,34.187943,0.972045,31.664146,0.948032
115,1.933372,3.676300,0.871680,34.232205,0.972290,31.604157,0.947389
116,1.950039,3.730200,0.924680,34.217910,0.972133,31.633707,0.947836
117,1.966706,3.906200,0.909200,34.178559,0.972115,31.583322,0.947611
118,1.983373,3.874000,0.917040,34.198864,0.972299,31.593097,0.947906
119,2.000040,3.724900,0.873000,34.188268,0.972408,31.606707,0.948272
