frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,3.591400,0.838440,33.801852,0.968803,31.350561,0.946622
17,0.300006,3.951300,0.800480,33.826291,0.968971,31.360860,0.946930
18,0.316673,3.789500,0.780960,33.889477,0.969514,31.384621,0.947123
19,0.333340,3.557500,0.824720,33.900134,0.969469,31.404232,0.947085
20,0.350007,3.700800,0.920080,33.772043,0.969197,31.363848,0.947096
21,0.366674,3.827200,0.921640,33.916138,0.969726,31.449408,0.947603
22,0.383341,3.989200,0.824600,33.864493,0.969893,31.525865,0.948440
23,0.400008,3.707900,0.817640,34.015000,0.969889,31.782071,0.949462
24,0.416675,3.792100,0.771440,33.933389,0.969718,31.781858,0.949516
25,0.433342,3.546800,0.779720,34.058748,0.969983,31.703299,0.948668
26,0.450009,3.581300,0.784160,34.111282,0.970488,31.733380,0.949117
27,0.466676,3.616300,0.780240,34.060014,0.969473,31.748006,0.948307
28,0.483343,3.455000,0.794400,34.049163,0.970288,31.759051,0.948894
29,0.500010,3.710600,0.792040,33.999160,0.970112,31.781202,0.949157
30,0.516677,3.669700,0.944400,33.767835,0.969503,31.742008,0.949287
31,0.533344,3.622200,0.816560,34.055533,0.970623,31.844010,0.949323
32,0.550011,3.661900,0.844040,34.037400,0.970062,31.818537,0.948929
33,0.566678,3.447100,0.810440,33.961575,0.970142,31.675985,0.948042
34,0.583345,3.579700,0.791680,34.035530,0.969905,31.644397,0.947378
35,0.600012,3.651100,0.801760,34.007355,0.969971,31.647763,0.947632
36,0.616679,3.718100,0.789520,33.947172,0.969467,31.618502,0.947526
37,0.633346,3.479600,0.858440,33.941068,0.969607,31.696831,0.947850
38,0.650013,3.691200,0.793800,34.005218,0.970257,31.704766,0.947897
39,0.666680,3.605700,0.805520,34.031324,0.970378,31.697418,0.947779
40,0.683347,3.730500,0.780440,34.124509,0.970973,31.705944,0.947845
41,0.700014,3.474800,0.783560,34.216701,0.971210,31.742948,0.948010
42,0.716681,3.465400,0.802640,34.201916,0.970912,31.689911,0.947286
43,0.733348,3.611900,0.760800,34.048476,0.970549,31.556432,0.946484
44,0.750015,3.695900,0.781000,34.075455,0.970509,31.554151,0.946149
45,0.766682,3.741100,0.865280,33.974443,0.970249,31.511077,0.946114
46,0.783349,4.373000,0.739360,34.021257,0.970454,31.487997,0.945644
47,0.800016,3.432800,0.767080,33.963314,0.970388,31.461903,0.945731
48,0.816683,4.001700,0.877040,33.968078,0.970784,31.407716,0.945664
49,0.833350,3.803000,0.916680,33.998317,0.970804,31.392089,0.945407
50,0.850017,3.797100,0.774400,33.985257,0.970485,31.405524,0.945385
51,0.866684,3.611600,0.771520,33.972161,0.970158,31.403848,0.945273
52,0.883351,3.873100,0.762440,33.956827,0.970150,31.424351,0.945440
53,0.900018,3.535400,0.766200,34.040674,0.970495,31.508986,0.945803
54,0.916685,3.681500,0.788280,33.977801,0.970022,31.465228,0.945514
55,0.933352,3.707200,0.867120,33.980462,0.970420,31.461335,0.945749
56,0.950019,3.546500,0.870760,33.750473,0.969237,31.365982,0.945504
57,0.966686,3.600800,0.925000,33.889101,0.969748,31.333330,0.945108
58,0.983353,3.580100,0.775040,33.962133,0.970251,31.310618,0.945067
59,1.000020,3.631500,0.883240,33.946492,0.970166,31.337429,0.945401
60,1.016687,3.763200,0.826720,34.007705,0.970384,31.397424,0.945602
61,1.033354,3.653200,0.887440,34.049204,0.970540,31.379103,0.945314
62,1.050021,3.713200,0.950800,33.929192,0.969858,31.393302,0.945590
63,1.066688,4.639000,0.934960,33.917850,0.969797,31.399650,0.945608
64,1.083355,3.751800,0.932880,34.023640,0.970571,31.399591,0.945957
65,1.100022,3.984800,0.801880,34.084617,0.970877,31.386396,0.946278
66,1.116689,3.531200,0.881080,34.033143,0.970654,31.268158,0.945709
67,1.133356,3.682500,0.940880,33.883483,0.970531,31.131451,0.945106
68,1.150023,4.397500,0.904680,33.972519,0.970490,31.175327,0.944833
