frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,3.736800,0.728560,31.350561,0.946622,31.350561,0.946622
17,0.300006,3.388600,0.603200,31.360860,0.946930,31.360860,0.946930
18,0.316673,3.248200,0.632080,31.384621,0.947123,31.384621,0.947123
19,0.333340,3.451400,0.638840,31.404232,0.947085,31.404232,0.947085
20,0.350007,3.139200,0.717640,31.363848,0.947096,31.363848,0.947096
21,0.366674,3.110700,0.681720,31.449408,0.947603,31.449408,0.947603
22,0.383341,3.418000,0.601080,31.525865,0.948440,31.525865,0.948440
23,0.400008,3.303000,0.650000,31.782071,0.949462,31.782071,0.949462
24,0.416675,3.175500,0.620640,31.781858,0.949516,31.781858,0.949516
25,0.433342,3.413000,0.605000,31.703299,0.948668,31.703299,0.948668
26,0.450009,3.488700,0.626680,31.733380,0.949117,31.733380,0.949117
27,0.466676,3.415700,0.619000,31.748006,0.948307,31.748006,0.948307
28,0.483343,3.167700,0.644280,31.759051,0.948894,31.759051,0.948894
29,0.500010,3.528400,0.609160,31.781202,0.949157,31.781202,0.949157
30,0.516677,3.803800,0.637120,31.742008,0.949287,31.742008,0.949287
31,0.533344,3.205300,0.624960,31.844010,0.949323,31.844010,0.949323
32,0.550011,3.363700,1.036560,31.818583,0.948930,31.818583,0.948930
33,0.566678,3.266400,0.691800,31.675987,0.948042,31.675987,0.948042
34,0.583345,3.340800,0.631760,31.644423,0.947378,31.644423,0.947378
35,0.600012,3.261400,0.625880,31.647784,0.947633,31.647784,0.947633
36,0.616679,3.249200,0.905080,31.618496,0.947525,31.618496,0.947525
37,0.633346,3.274700,0.709160,31.696833,0.947850,31.696833,0.947850
38,0.650013,3.482900,0.620960,31.704767,0.947897,31.704767,0.947897
39,0.666680,3.345500,0.619360,31.697415,0.947779,31.697415,0.947779
40,0.683347,3.777900,0.630760,31.705942,0.947845,31.705942,0.947845
41,0.700014,3.231600,0.605360,31.742942,0.948010,31.742942,0.948010
42,0.716681,3.327400,0.724400,31.689910,0.947286,31.689910,0.947286
43,0.733348,3.160000,0.627200,31.556429,0.946484,31.556429,0.946484
44,0.750015,3.258400,0.623960,31.554148,0.946149,31.554148,0.946149
45,0.766682,3.327400,0.620880,31.511074,0.946114,31.511074,0.946114
46,0.783349,3.074500,0.603520,31.487995,0.945644,31.487995,0.945644
47,0.800016,3.481500,0.594760,31.461903,0.945731,31.461903,0.945731
48,0.816683,3.688900,0.806400,31.407715,0.945664,31.407715,0.945664
49,0.833350,3.340700,0.592560,31.392089,0.945407,31.392089,0.945407
50,0.850017,3.114900,0.663200,31.405524,0.945385,31.405524,0.945385
51,0.866684,3.246400,0.615080,31.403848,0.945273,31.403848,0.945273
52,0.883351,3.712600,0.594000,31.424351,0.945440,31.424351,0.945440
53,0.900018,3.348400,0.597520,31.508986,0.945803,31.508986,0.945803
54,0.916685,3.494300,0.701120,31.465228,0.945514,31.465228,0.945514
55,0.933352,3.536800,0.589200,31.461335,0.945749,31.461335,0.945749
56,0.950019,3.300900,0.751480,31.365982,0.945504,31.365982,0.945504
57,0.966686,3.417000,0.914400,31.333330,0.945108,31.333330,0.945108
58,0.983353,3.363800,0.613320,31.310618,0.945067,31.310618,0.945067
59,1.000020,3.414400,0.633920,31.337429,0.945401,31.337429,0.945401
60,1.016687,3.661100,0.633960,31.397424,0.945602,31.397424,0.945602
61,1.033354,3.235500,0.694720,31.379103,0.945314,31.379103,0.945314
62,1.050021,3.477800,0.908720,31.393302,0.945590,31.393302,0.945590
63,1.066688,3.346300,0.715840,31.399650,0.945608,31.399650,0.945608
64,1.083355,3.572300,0.732320,31.399591,0.945957,31.399591,0.945957
65,1.100022,3.542100,0.709440,31.386396,0.946278,31.386396,0.946278
66,1.116689,3.608600,0.641040,31.268158,0.945709,31.268158,0.945709
67,1.133356,3.162900,0.657680,31.131451,0.945106,31.131451,0.945106
68,1.150023,3.682700,0.801360,31.175327,0.944833,31.175327,0.944833
69,1.166690,3.425200,0.738240,31.252696,0.945226,31.252696,0.945226
70,1.183357,4.115100,0.703320,31.391140,0.945030,31.391140,0.945030
71,1.200024,3.561800,0.678040,31.592526,0.946099,31.592526,0.946099
72,1.216691,3.527300,0.619200,31.711709,0.947504,31.711709,0.947504
73,1.233358,3.250100,0.935120,31.714326,0.948002,31.714326,0.948002
74,1.250025,3.425600,0.752120,31.704331,0.947922,31.704331,0.947922
75,1.266692,3.467100,0.728720,31.674601,0.947786,31.674601,0.947786
76,1.283359,3.320600,0.659840,31.664248,0.947941,31.664248,0.947941
77,1.300026,3.400700,0.712520,31.652008,0.948368,31.652008,0.948368
78,1.316693,3.418700,0.649160,31.772761,0.948440,31.772761,0.948440
79,1.333360,3.616100,0.722920,31.735233,0.948022,31.735233,0.948022
80,1.350027,3.417000,0.733880,31.588348,0.947684,31.588348,0.947684
