frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,3.528500,0.845720,33.788564,0.968548,31.350561,0.946622
17,0.300006,3.775600,0.972480,33.823283,0.968753,31.360860,0.946930
18,0.316673,3.758400,0.816640,33.921681,0.969337,31.384621,0.947123
19,0.333340,3.454900,0.863080,33.829598,0.969158,31.404232,0.947085
20,0.350007,3.528900,0.961840,33.748832,0.968996,31.363848,0.947096
21,0.366674,3.556300,0.877160,33.892983,0.969526,31.449408,0.947603
22,0.383341,3.754300,1.031480,33.768025,0.969450,31.525865,0.948440
23,0.400008,3.554600,0.841720,33.983012,0.969615,31.782071,0.949462
24,0.416675,3.731000,0.906040,33.901944,0.969448,31.781858,0.949516
25,0.433342,3.855700,0.832760,33.978629,0.969697,31.703299,0.948668
26,0.450009,3.795700,1.206280,34.079292,0.970192,31.733380,0.949117
27,0.466676,3.785500,0.920120,34.048956,0.969409,31.748006,0.948307
28,0.483343,3.660000,0.940080,33.965373,0.969894,31.759051,0.948894
29,0.500010,3.642700,0.848160,33.954723,0.969787,31.781202,0.949157
30,0.516677,3.763100,1.014320,33.788468,0.969432,31.742008,0.949287
31,0.533344,3.613200,0.846720,34.024676,0.970484,31.844010,0.949323
32,0.550011,3.645800,1.030200,33.955438,0.969632,31.818583,0.948930
33,0.566678,3.389000,0.832400,33.916508,0.969922,31.675987,0.948042
34,0.583345,3.545100,0.953920,33.964353,0.969624,31.644423,0.947378
35,0.600012,3.536800,0.873400,33.969725,0.969737,31.647784,0.947633
36,0.616679,3.644700,0.930440,33.928373,0.969295,31.618496,0.947525
37,0.633346,3.760400,0.822640,33.930546,0.969576,31.696833,0.947850
38,0.650013,3.819800,0.986840,33.973134,0.970065,31.704767,0.947897
39,0.666680,3.676000,0.850000,34.015267,0.970323,31.697415,0.947779
40,0.683347,3.469600,0.857080,34.078100,0.970786,31.705942,0.947845
41,0.700014,3.645900,0.896920,34.206011,0.971154,31.742942,0.948010
42,0.716681,3.560900,0.833560,34.100225,0.970237,31.689910,0.947286
43,0.733348,3.420100,0.877760,34.002519,0.970409,31.556429,0.946484
44,0.750015,3.903500,0.975040,34.054601,0.970288,31.554148,0.946149
45,0.766682,3.418100,0.845480,33.957700,0.970092,31.511074,0.946114
46,0.783349,3.655400,0.851840,33.976071,0.970181,31.487995,0.945644
47,0.800016,3.577700,0.808240,33.976883,0.970390,31.461903,0.945731
48,0.816683,3.482300,0.816480,33.952485,0.970644,31.407715,0.945664
49,0.833350,3.539400,0.819160,33.977402,0.970702,31.392089,0.945407
50,0.850017,3.938900,0.813480,33.932453,0.970171,31.405524,0.945385
51,0.866684,3.566100,0.822400,33.953978,0.970008,31.403848,0.945273
52,0.883351,3.716300,0.921800,33.935971,0.970034,31.424351,0.945440
53,0.900018,3.758000,0.805920,34.006062,0.970229,31.508986,0.945803
54,0.916685,3.739800,0.812080,33.949085,0.969714,31.465228,0.945514
55,0.933352,3.680700,0.802440,33.932271,0.970098,31.461335,0.945749
56,0.950019,3.772100,0.956520,33.736571,0.968997,31.365982,0.945504
57,0.966686,3.589700,0.921920,33.835703,0.969380,31.333330,0.945108
58,0.983353,3.709300,0.971960,33.908038,0.969885,31.310618,0.945067
59,1.000020,3.625400,0.919880,33.905163,0.969883,31.337429,0.945401
