frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
30,0.516668,5.431800,1.021160,37.749369,0.962256,27.233149,0.662328
31,0.533334,5.424800,1.148880,37.850296,0.962878,27.273061,0.663383
32,0.550001,5.481800,1.135000,37.805756,0.963095,27.303690,0.664898
33,0.566668,5.643100,1.288600,37.773704,0.963320,27.345157,0.666713
34,0.583334,5.655600,1.180680,37.843516,0.963848,27.393620,0.669767
35,0.600001,5.715100,1.063200,37.983635,0.964614,27.484249,0.675374
36,0.616668,5.479300,1.157080,38.070295,0.965072,27.581712,0.679805
37,0.633335,5.688500,1.059400,37.966261,0.964629,27.668513,0.683421
38,0.650001,5.635900,1.254720,37.923288,0.964795,27.743941,0.688958
39,0.666668,5.763800,1.085360,37.858759,0.964420,27.819928,0.695115
40,0.683335,5.617700,1.177200,38.030789,0.965655,27.898326,0.700180
41,0.700001,5.701600,1.065880,37.974461,0.965630,27.968719,0.706583
42,0.716668,5.627100,1.080720,38.011559,0.966086,28.050153,0.714435
43,0.733335,5.518700,1.114560,37.967581,0.965856,28.102739,0.720897
44,0.750002,5.645200,1.113720,37.959992,0.966333,28.095676,0.725204
45,0.766668,5.720900,1.252480,37.889062,0.966243,28.049507,0.729466
46,0.783335,5.648800,1.167760,37.950863,0.967278,28.028843,0.737051
47,0.800002,5.788300,1.186920,37.882236,0.967472,28.078531,0.747191
48,0.816668,5.698700,1.095920,37.755937,0.967527,28.177826,0.757991
49,0.833335,5.602700,1.196800,37.720428,0.967292,28.260342,0.768176
50,0.850002,5.781500,1.167440,37.669602,0.968358,28.370445,0.779210
51,0.866668,5.804200,1.114480,37.220233,0.968100,28.404333,0.792786
52,0.883335,5.701200,1.181880,36.946384,0.967240,28.411481,0.808943
53,0.900002,5.862900,1.082560,34.580091,0.963621,27.432443,0.821572
54,0.916669,5.584700,1.184280,32.523801,0.946504,24.160818,0.813526
55,0.933335,5.329600,1.070720,31.633253,0.943068,23.485248,0.815992
56,0.950002,5.379600,1.178040,30.015240,0.931323,22.620749,0.805313
57,0.966669,5.350700,1.131440,27.778054,0.934094,22.113720,0.802139
58,0.983335,5.344900,1.130520,30.296077,0.949532,21.417565,0.796024
59,1.000002,5.326600,1.136400,29.227119,0.953438,21.633174,0.806073
60,1.016669,5.207700,1.034280,32.526066,0.963846,22.241825,0.822534
61,1.033335,5.388400,0.999080,30.334264,0.954372,22.739209,0.833639
62,1.050002,5.376000,0.971200,31.782224,0.951466,24.036850,0.828298
63,1.066669,5.419000,1.018000,32.246704,0.930441,24.404648,0.811309
64,1.083336,5.148000,1.109400,30.022152,0.906997,24.020469,0.785424
65,1.100002,5.236600,1.188520,29.503023,0.915885,24.501358,0.754863
66,1.116669,5.013500,1.042760,31.805995,0.930809,24.163269,0.711434
67,1.133336,5.826000,1.068200,32.114651,0.933962,23.857013,0.672910
68,1.150002,5.294200,1.256480,32.510063,0.934414,23.929399,0.643239
69,1.166669,5.598200,1.071520,31.254976,0.932485,24.100722,0.619830
70,1.183336,5.269800,1.084760,33.825668,0.937362,24.639793,0.612648
71,1.200002,5.172200,1.171520,34.100226,0.937974,24.630210,0.610856
72,1.216669,5.335300,1.185480,34.192078,0.938172,24.606362,0.609866
73,1.233336,5.355300,1.110000,34.140570,0.936771,24.587754,0.608242
74,1.250003,5.392700,1.157120,34.164019,0.936310,24.566115,0.608435
75,1.266669,5.304700,1.075560,34.121488,0.935828,24.516740,0.608719
76,1.283336,5.337200,1.111120,34.092007,0.935492,24.448455,0.606490
77,1.300003,5.471300,1.154200,34.115243,0.935417,24.388874,0.605293
78,1.316669,5.569700,1.071640,34.113486,0.935074,24.374907,0.604747
79,1.333336,5.141200,1.080480,34.030518,0.934344,24.424354,0.606061
80,1.350003,5.260300,1.081560,34.144764,0.934550,24.526478,0.609575
81,1.366669,5.294600,1.082640,34.136274,0.933929,24.649611,0.612953
82,1.383336,5.391800,1.183680,34.193958,0.934156,24.747757,0.616211
83,1.400003,5.275600,1.090360,34.242445,0.934232,24.854318,0.618505
84,1.416670,5.181300,1.182000,34.245152,0.933792,24.934358,0.619830
85,1.433336,5.364200,1.181680,34.264512,0.933722,25.012885,0.622091
86,1.450003,5.209400,1.187040,34.329484,0.933675,25.110880,0.625102
87,1.466670,5.322300,1.116440,34.333805,0.933511,25.195319,0.628031
88,1.483336,5.244800,1.190080,34.350992,0.932897,25.295813,0.630796
89,1.500003,5.166200,1.185560,34.355841,0.932450,25.399121,0.633934
