frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
15,0.533333,5.625100,1.183560,37.158478,0.958938,26.252498,0.627602
16,0.566666,5.473800,1.018360,37.100025,0.959737,26.325392,0.636261
17,0.599999,5.745400,1.188880,37.205351,0.960165,26.413662,0.642924
18,0.633333,5.754100,1.057600,37.514655,0.960804,26.536904,0.648106
19,0.666666,5.910000,1.089440,37.266997,0.959626,26.666656,0.657014
20,0.699999,5.929900,1.213520,37.280840,0.960050,26.792570,0.667937
21,0.733333,5.908300,1.261280,37.211999,0.960123,26.928957,0.680779
22,0.766666,5.566500,1.120760,37.018915,0.960166,26.761299,0.694596
23,0.799999,5.675100,1.043040,36.719752,0.959567,26.487601,0.709451
24,0.833333,5.490500,1.136280,36.652955,0.960856,26.552355,0.730022
25,0.866666,5.712800,1.141200,35.969757,0.959875,26.576946,0.754564
26,0.899999,5.537800,1.134400,32.517634,0.953264,25.556316,0.779070
27,0.933332,5.411900,1.129200,27.979735,0.904340,21.391013,0.766574
28,0.966666,5.967500,1.089640,23.963704,0.876914,20.022582,0.751020
29,0.999999,5.056500,1.105560,26.247857,0.920274,19.524146,0.763854
30,1.033332,5.358600,0.961680,26.904191,0.922207,20.561533,0.799877
31,1.066666,5.012000,0.937200,26.342081,0.884514,21.590889,0.776001
32,1.099999,5.195400,0.934960,26.235943,0.870756,22.053525,0.702477
33,1.133332,5.269800,0.979120,29.302030,0.907566,22.086539,0.625284
34,1.166666,5.660100,1.181320,27.483481,0.907611,22.363601,0.573544
35,1.199999,5.382800,1.072320,32.878945,0.919561,23.418761,0.557834
36,1.233332,5.181500,1.154040,33.121489,0.923685,23.423081,0.557174
37,1.266665,5.619000,1.191360,33.258625,0.922740,23.388706,0.551890
38,1.299999,5.344800,1.048280,33.232863,0.922400,23.320620,0.549930
39,1.333332,5.538300,1.046000,33.026934,0.924685,23.366908,0.552732
40,1.366665,5.262400,1.136800,33.181437,0.924794,23.506523,0.556982
41,1.399999,5.476100,1.074640,33.374474,0.925521,23.648182,0.560442
42,1.433332,5.358000,1.002560,33.488402,0.925855,23.764560,0.565174
43,1.466665,5.504900,1.143080,33.576978,0.925675,23.883535,0.570898
44,1.499999,5.240300,1.086600,33.650553,0.926057,24.044554,0.576573
