frame,time_s,cpu_ms,gpu_ms,epe_px,epe_within1,epe_within2,scene_change,sc_max,sc_mean,sc_median,cut
16,0.283339,1.349700,0.804840,1.428953,0.643995,0.910294,0.008150,0.016007,0.008150,0.008160,0
17,0.300006,1.231200,0.844000,1.389616,0.642034,0.909436,0.009701,0.015885,0.009701,0.012378,0
18,0.316673,1.554100,0.921480,1.424527,0.654044,0.909436,0.008636,0.013194,0.008636,0.010330,0
19,0.333340,1.446900,0.825760,1.467530,0.646936,0.911642,0.009336,0.017691,0.009336,0.009757,0
20,0.350007,1.455400,0.988120,1.410758,0.646201,0.917647,0.010162,0.016337,0.010162,0.010955,0
21,0.366674,1.283800,0.804640,1.342003,0.659681,0.924020,0.009138,0.015799,0.009138,0.011667,0
22,0.383341,1.572200,0.827240,1.327909,0.658211,0.927696,0.009732,0.017292,0.009732,0.011788,0
23,0.400008,1.315800,0.867040,1.345613,0.654289,0.929044,0.010052,0.018333,0.010052,0.009878,0
24,0.416675,1.219900,0.848920,1.422908,0.653799,0.921936,0.009209,0.017674,0.009209,0.009931,0
25,0.433342,1.639700,0.909800,1.442357,0.655147,0.922549,0.009794,0.017344,0.009794,0.011024,0
26,0.450009,1.539100,0.828920,1.422839,0.660172,0.928064,0.008380,0.018247,0.008380,0.007153,0
27,0.466676,1.458300,1.146120,1.559625,0.658946,0.923652,0.009130,0.019670,0.009130,0.006059,0
28,0.483343,1.220300,0.808840,1.550824,0.655760,0.922794,0.008538,0.018385,0.008538,0.006910,0
29,0.500010,1.327500,0.814040,1.474901,0.667034,0.924387,0.008052,0.017101,0.008052,0.005851,0
30,0.516677,1.636100,0.809680,1.565064,0.658333,0.923407,0.008744,0.017622,0.008744,0.006823,0
31,0.533344,1.211900,0.881120,1.802137,0.665931,0.919118,0.011024,0.021424,0.011024,0.007795,0
32,0.550011,1.789400,0.994760,1.719458,0.659681,0.912990,0.013663,0.034635,0.013663,0.009497,0
33,0.566678,1.226300,0.818960,1.759641,0.663725,0.918505,0.013470,0.039358,0.013470,0.009375,0
34,0.583345,1.370700,0.832280,1.855273,0.660907,0.908333,0.014446,0.042483,0.014446,0.012361,0
35,0.600012,1.330500,0.798040,1.888861,0.668137,0.913848,0.015251,0.042118,0.015251,0.011858,0
36,0.616679,1.250200,0.826120,1.877029,0.664828,0.911275,0.015635,0.044271,0.015635,0.014878,0
37,0.633346,1.425300,0.889640,2.191242,0.651225,0.896936,0.014850,0.043646,0.014850,0.013872,0
38,0.650013,1.249600,0.851120,2.455951,0.635049,0.886275,0.015714,0.043229,0.015714,0.016042,0
39,0.666680,1.527700,0.955000,3.296944,0.621446,0.861152,0.016186,0.045278,0.016186,0.015486,0
40,0.683347,1.315700,0.830360,4.452817,0.591422,0.826838,0.016441,0.040660,0.016441,0.016910,0
41,0.700014,1.587200,0.990280,5.250791,0.573897,0.820956,0.014169,0.037344,0.014169,0.010712,0
42,0.716681,1.294600,0.835320,6.118707,0.560417,0.787868,0.014477,0.038785,0.014477,0.008351,0
43,0.733348,1.301700,0.847400,6.452505,0.539706,0.767525,0.017151,0.040972,0.017151,0.012170,0
44,0.750015,1.456100,0.851600,9.296087,0.501471,0.722181,0.015359,0.045330,0.015359,0.011771,0
45,0.766682,1.350400,0.842840,14.407016,0.517892,0.743382,0.017888,0.050521,0.017888,0.018611,0
46,0.783349,1.456100,0.915720,19.498469,0.499877,0.700735,0.026236,0.098056,0.026236,0.015295,0
47,0.800016,1.285000,0.809920,16.156591,0.504779,0.704412,0.038235,0.119201,0.038235,0.032378,0
48,0.816683,1.488900,1.014640,12.588687,0.496324,0.698775,0.015868,0.033108,0.015868,0.011875,0
49,0.833350,1.313300,0.816800,12.404694,0.472304,0.662132,0.014066,0.034132,0.014066,0.007396,0
50,0.850017,1.305800,0.932480,15.387679,0.454534,0.631495,0.014668,0.037222,0.014668,0.007691,0
51,0.866684,1.374300,0.867600,27.150582,0.416789,0.584681,0.015548,0.041354,0.015548,0.006910,0
52,0.883351,2.219500,0.864600,33.261466,0.389583,0.538113,0.015831,0.048854,0.015831,0.004010,0
53,0.900018,1.684600,0.918600,60.887555,0.346936,0.486642,0.045266,0.107292,0.045266,0.045017,0
54,0.916685,1.556800,0.832720,46.324372,0.346324,0.529044,0.053787,0.108021,0.053787,0.072344,0
55,0.933352,1.204100,0.827880,29.364045,0.336397,0.532598,0.100930,0.289496,0.100930,0.049045,0
56,0.950019,1.482000,0.916760,33.430366,0.325368,0.549387,0.096508,0.307795,0.096508,0.066840,0
