frame,time_s,cpu_ms,gpu_ms,epe_px,epe_within1,epe_within2,scene_change,sc_max,sc_mean,sc_median,cut
16,0.283339,0.959400,0.533520,1.338820,0.665196,0.931373,0.008171,0.012622,0.008171,0.008316,0
17,0.300006,0.913300,0.613840,1.350711,0.656373,0.935049,0.010467,0.015903,0.010467,0.010226,0
18,0.316673,0.990200,0.555920,1.450714,0.649020,0.922549,0.008314,0.016319,0.008314,0.008733,0
19,0.333340,1.135700,0.533760,1.409373,0.645343,0.936275,0.009743,0.016719,0.009743,0.010243,0
20,0.350007,1.162900,0.540360,1.438959,0.645956,0.925735,0.012170,0.025573,0.012170,0.012587,0
21,0.366674,0.993100,0.545000,1.426525,0.664583,0.928799,0.010004,0.018524,0.010004,0.011563,0
22,0.383341,1.210400,0.629600,1.366976,0.661520,0.941789,0.010255,0.017552,0.010255,0.012535,0
23,0.400008,0.952500,0.542120,1.482724,0.642525,0.919975,0.013519,0.039288,0.013519,0.010816,0
24,0.416675,1.313300,0.536760,1.446010,0.661887,0.934191,0.009163,0.017969,0.009163,0.009288,0
25,0.433342,0.993400,0.528520,1.419506,0.661275,0.944363,0.010147,0.019566,0.010147,0.010260,0
26,0.450009,1.421900,0.853320,1.458750,0.661765,0.943627,0.011975,0.023351,0.011975,0.009583,0
27,0.466676,0.936800,0.534240,1.555716,0.644363,0.930147,0.008956,0.021545,0.008956,0.005590,0
28,0.483343,1.292500,0.633280,1.465473,0.661152,0.940686,0.010619,0.020712,0.010619,0.009792,0
29,0.500010,0.958800,0.531800,1.449173,0.663725,0.937500,0.008709,0.018264,0.008709,0.006458,0
30,0.516677,1.396400,0.627120,1.473679,0.659191,0.933088,0.009740,0.017934,0.009740,0.009948,0
31,0.533344,0.965100,0.534200,1.720723,0.667525,0.931618,0.011038,0.020052,0.011038,0.006163,0
32,0.550011,1.214100,0.884840,1.657229,0.669118,0.929289,0.013225,0.028958,0.013225,0.009566,0
33,0.566678,1.060500,0.536400,1.782577,0.660172,0.931740,0.015324,0.048420,0.015324,0.010677,0
34,0.583345,1.257800,0.534840,1.827316,0.657598,0.924020,0.014929,0.038247,0.014929,0.011319,0
35,0.600012,1.046100,0.545160,2.002670,0.651961,0.920711,0.015837,0.042396,0.015837,0.012292,0
36,0.616679,1.109600,0.603760,2.073909,0.670588,0.928554,0.014932,0.043125,0.014932,0.013403,0
37,0.633346,0.955000,0.542360,2.366993,0.635294,0.900980,0.015735,0.045573,0.015735,0.011753,0
38,0.650013,1.362400,0.581440,2.472005,0.637623,0.894730,0.015139,0.041510,0.015139,0.015972,0
39,0.666680,0.942100,0.541520,3.748744,0.623897,0.866299,0.016352,0.044566,0.016352,0.017500,0
40,0.683347,1.244500,0.665120,4.243014,0.618260,0.854779,0.017390,0.041615,0.017390,0.016858,0
41,0.700014,0.920900,0.551920,4.980720,0.574755,0.831373,0.016055,0.036788,0.016055,0.014774,0
42,0.716681,0.943100,0.645840,5.586856,0.583824,0.833211,0.014722,0.038958,0.014722,0.009583,0
43,0.733348,1.020400,0.537120,6.521718,0.529412,0.777451,0.016792,0.040434,0.016792,0.016597,0
44,0.750015,0.947600,0.532960,8.531944,0.528186,0.753554,0.016580,0.044479,0.016580,0.013559,0
45,0.766682,1.157500,0.576520,13.869900,0.522181,0.747672,0.018679,0.053316,0.018679,0.017309,0
46,0.783349,0.915600,0.544520,19.611969,0.494853,0.708824,0.026262,0.092604,0.026262,0.014236,0
47,0.800016,1.599000,0.539400,13.955686,0.510907,0.714338,0.037259,0.116910,0.037259,0.028299,0
