frame,time_s,cpu_ms,gpu_ms,epe_px,epe_within1,epe_within2,scene_change,sc_max,sc_mean,sc_median,cut
16,0.283339,2.128000,1.831920,1.606575,0.674877,0.937531,0.008023,0.014036,0.008023,0.009041,0
17,0.300006,2.244900,2.147000,1.641909,0.662191,0.935031,0.007062,0.011966,0.007062,0.007635,0
18,0.316673,2.287200,1.771080,1.728207,0.661481,0.934938,0.008473,0.013928,0.008473,0.011141,0
19,0.333340,2.319000,1.979840,1.711123,0.652531,0.937840,0.010089,0.016745,0.010089,0.012569,0
20,0.350007,2.273900,1.836560,1.695837,0.662377,0.935864,0.007973,0.014809,0.007973,0.008351,0
21,0.366674,2.118400,1.881320,1.652891,0.666049,0.942191,0.008655,0.016003,0.008655,0.010417,0
22,0.383341,2.167200,1.919000,1.651515,0.658056,0.942160,0.009532,0.016302,0.009532,0.011944,0
23,0.400008,2.192200,1.818440,1.626188,0.662994,0.936080,0.008047,0.016775,0.008047,0.008451,0
24,0.416675,2.374200,1.789160,1.665903,0.664383,0.939722,0.008833,0.017023,0.008833,0.009162,0
25,0.433342,2.253100,1.836240,1.825089,0.661049,0.935154,0.008715,0.018542,0.008715,0.010881,0
26,0.450009,2.914000,1.961240,1.976291,0.660988,0.936914,0.007609,0.018550,0.007609,0.006463,0
27,0.466676,2.185800,1.792360,2.036419,0.660556,0.936667,0.008518,0.018381,0.008518,0.005625,0
28,0.483343,2.530100,2.109960,1.920156,0.657716,0.939043,0.008465,0.017899,0.008465,0.007062,0
29,0.500010,2.057600,1.763080,1.841576,0.662377,0.938086,0.007316,0.017053,0.007316,0.006155,0
30,0.516677,2.541800,1.963280,1.830993,0.674907,0.940741,0.008625,0.018299,0.008625,0.006914,0
31,0.533344,2.059300,1.811360,1.990567,0.656605,0.941914,0.010412,0.020404,0.010412,0.008572,0
32,0.550011,2.479000,2.051240,2.055063,0.672099,0.939074,0.012429,0.033385,0.012429,0.007643,0
33,0.566678,2.389800,1.790720,2.225526,0.658148,0.934846,0.013438,0.036137,0.013438,0.011853,0
34,0.583345,2.751700,2.136760,2.275825,0.667901,0.933488,0.014502,0.040664,0.014502,0.011736,0
35,0.600012,2.161700,1.838120,2.470953,0.670741,0.939815,0.014481,0.040178,0.014481,0.012470,0
36,0.616679,2.405900,2.429080,2.779109,0.661944,0.933148,0.015133,0.042387,0.015133,0.014835,0
37,0.633346,2.169900,1.798920,3.287598,0.658302,0.921883,0.014595,0.041406,0.014595,0.013346,0
38,0.650013,2.250900,2.134640,4.256323,0.646235,0.909475,0.014921,0.040868,0.014921,0.015920,0
39,0.666680,2.408900,1.820480,4.783312,0.640617,0.902099,0.015788,0.043381,0.015788,0.018043,0
40,0.683347,2.567500,1.898360,7.064270,0.622222,0.872778,0.015056,0.038945,0.015056,0.012352,0
41,0.700014,2.243900,1.974280,8.363330,0.597377,0.848302,0.014649,0.036836,0.014649,0.011007,0
42,0.716681,2.283700,2.180840,10.503130,0.566543,0.822840,0.015129,0.038628,0.015129,0.009262,0
43,0.733348,2.295600,1.828120,9.592404,0.574877,0.828673,0.015317,0.040460,0.015317,0.009488,0
44,0.750015,2.313700,1.945760,17.719028,0.543642,0.776111,0.016659,0.045538,0.016659,0.012201,0
45,0.766682,2.361600,1.961680,23.443349,0.526111,0.771790,0.018406,0.051897,0.018406,0.017878,0
46,0.783349,2.173600,1.949240,29.598384,0.518519,0.760340,0.026324,0.096827,0.026324,0.013911,0
47,0.800016,2.134000,1.951080,23.547807,0.514475,0.748333,0.037299,0.118659,0.037299,0.028355,0
48,0.816683,2.410900,1.900760,25.649874,0.488488,0.716327,0.015679,0.033485,0.015679,0.012439,0
49,0.833350,2.226300,1.858960,35.953950,0.468981,0.674290,0.015730,0.035469,0.015730,0.009805,0
50,0.850017,2.326700,1.821920,26.202481,0.510525,0.728488,0.014819,0.034184,0.014819,0.008772,0
51,0.866684,2.227300,1.864920,44.238095,0.466265,0.676790,0.015005,0.038333,0.015005,0.008442,0
