frame,time_s,cpu_ms,gpu_ms,epe_px,epe_within1,epe_within2,scene_change,sc_max,sc_mean,sc_median,cut
16,0.283339,1.222300,0.607800,2.139240,0.596324,0.852328,0.007841,0.014097,0.007841,0.008594,0
17,0.300006,1.125000,0.574840,2.127986,0.599755,0.855760,0.008717,0.014149,0.008717,0.009497,0
18,0.316673,1.110600,0.681720,2.109783,0.598529,0.858578,0.008424,0.013594,0.008424,0.009236,0
19,0.333340,0.993400,0.588040,2.232946,0.593873,0.853799,0.010243,0.016858,0.010243,0.011250,0
20,0.350007,1.141900,0.584040,2.286391,0.590564,0.853309,0.010141,0.016424,0.010141,0.012622,0
21,0.366674,0.990000,0.575480,2.430927,0.601838,0.857353,0.009959,0.018264,0.009959,0.012083,0
22,0.383341,1.233600,0.701880,2.407375,0.598039,0.852328,0.009333,0.016823,0.009333,0.011753,0
23,0.400008,1.012800,0.595760,2.347002,0.590931,0.856250,0.010010,0.018819,0.010010,0.010937,0
24,0.416675,1.464600,0.712280,2.364113,0.593627,0.857353,0.009209,0.018490,0.009209,0.010486,0
25,0.433342,0.993600,0.606600,2.370421,0.596691,0.856863,0.009323,0.017483,0.009323,0.010729,0
26,0.450009,1.350600,0.670080,2.549123,0.593750,0.852574,0.008206,0.019392,0.008206,0.007899,0
27,0.466676,1.059800,0.601360,2.561816,0.598039,0.854779,0.008829,0.017812,0.008829,0.007309,0
28,0.483343,1.203700,0.640920,2.544079,0.591054,0.856127,0.008852,0.018733,0.008852,0.006875,0
29,0.500010,0.957400,0.585840,2.782890,0.603554,0.849632,0.008254,0.017691,0.008254,0.005972,0
30,0.516677,1.468800,0.741600,2.796279,0.591422,0.846324,0.009084,0.018073,0.009084,0.006007,0
31,0.533344,1.088100,0.588040,3.033169,0.595588,0.841544,0.010413,0.020382,0.010413,0.007326,0
32,0.550011,1.258600,0.587200,2.813710,0.599387,0.843260,0.012691,0.034392,0.012691,0.007361,0
33,0.566678,0.994800,0.574960,2.961862,0.594608,0.841054,0.013943,0.038594,0.013943,0.009167,0
34,0.583345,1.114400,0.631760,3.373512,0.597304,0.835539,0.014886,0.043351,0.014886,0.011580,0
35,0.600012,1.045000,0.591000,3.487461,0.601961,0.844853,0.014967,0.041354,0.014967,0.011875,0
36,0.616679,1.173100,0.714000,4.037347,0.584804,0.818750,0.015652,0.043559,0.015652,0.014201,0
37,0.633346,1.099700,0.578440,3.967242,0.583333,0.807230,0.015112,0.042847,0.015112,0.014097,0
38,0.650013,1.305400,0.632920,4.581554,0.564951,0.798775,0.015436,0.043073,0.015436,0.016285,0
39,0.666680,1.017000,0.582720,6.285604,0.557230,0.779779,0.015849,0.043715,0.015849,0.015781,0
40,0.683347,1.264800,0.688240,7.656010,0.543873,0.771814,0.015693,0.041632,0.015693,0.016215,0
41,0.700014,1.075500,0.596960,6.521890,0.536765,0.764093,0.014645,0.036979,0.014645,0.011233,0
42,0.716681,1.274600,0.602120,6.704141,0.529902,0.762010,0.014142,0.037257,0.014142,0.009063,0
43,0.733348,0.981300,0.582600,6.941014,0.526593,0.750368,0.015949,0.041823,0.015949,0.010729,0
44,0.750015,1.152600,0.680040,15.421262,0.513725,0.740074,0.016566,0.044844,0.016566,0.012396,0
45,0.766682,1.020200,0.590880,16.153868,0.522917,0.755147,0.018059,0.051649,0.018059,0.019497,0
46,0.783349,1.256500,0.651080,17.582102,0.519730,0.746814,0.025939,0.095972,0.025939,0.013837,0
47,0.800016,1.037000,0.594200,13.771299,0.527574,0.745221,0.038127,0.118628,0.038127,0.031788,0
48,0.816683,1.392100,0.664520,16.793102,0.511642,0.713235,0.015831,0.032361,0.015831,0.013142,0
49,0.833350,1.034800,0.602040,15.461160,0.491176,0.682966,0.014817,0.032969,0.014817,0.010608,0
50,0.850017,1.261100,0.734120,17.959912,0.447059,0.626593,0.014726,0.036111,0.014726,0.007743,0
51,0.866684,1.087200,0.594280,28.793194,0.418015,0.587868,0.015131,0.042049,0.015131,0.007674,0
52,0.883351,2.223900,0.676360,24.776319,0.397059,0.570343,0.016429,0.048333,0.016429,0.004826,0
53,0.900018,0.977500,0.603160,45.706675,0.365196,0.548162,0.044495,0.106458,0.044495,0.045538,0
54,0.916685,1.078800,0.632840,36.955334,0.350980,0.548162,0.053395,0.107222,0.053395,0.073108,0
55,0.933352,0.956700,0.571320,37.300265,0.336765,0.540809,0.100515,0.288542,0.100515,0.047899,0
56,0.950019,1.149300,0.556920,35.042062,0.298407,0.520588,0.095806,0.304167,0.095806,0.070486,0
57,0.966686,0.967000,0.560240,32.439405,0.285172,0.526716,0.124275,0.338542,0.124275,0.108628,0
58,0.983353,1.028400,0.646400,36.388541,0.266789,0.513358,0.159288,0.272361,0.159288,0.196302,0
59,1.000020,1.030900,0.547760,26.360426,0.271936,0.523039,0.122836,0.296128,0.122836,0.102483,0
60,1.016687,1.414300,0.646320,23.257695,0.262500,0.497917,0.134414,0.274097,0.134414,0.121771,0
61,1.033354,0.924500,0.535200,22.404933,0.250490,0.511152,0.112263,0.234583,0.112263,0.124670,0
62,1.050021,1.220300,0.627960,26.689510,0.259436,0.507108,0.096601,0.309844,0.096601,0.077274,0
63,1.066688,0.977500,0.528160,30.767800,0.299632,0.566422,0.106570,0.284514,0.106570,0.094045,0
64,1.083355,1.317300,0.543280,34.913997,0.358578,0.626103,0.102081,0.205642,0.102081,0.085104,0
65,1.100022,0.993100,0.551680,24.530384,0.452083,0.698775,0.087380,0.181059,0.087380,0.074931,0
66,1.116689,1.178600,0.882480,22.010702,0.482966,0.708456,0.090961,0.368368,0.090961,0.053611,0
67,1.133356,1.015200,0.591560,14.057137,0.518015,0.737132,0.101644,0.265278,0.101644,0.094670,0
68,1.150023,1.226600,0.692280,11.344615,0.562377,0.782108,0.094425,0.278611,0.094425,0.017500,0
69,1.166690,1.207800,0.606360,11.329181,0.585049,0.798162,0.056572,0.252292,0.056572,0.013594,0
70,1.183357,1.341900,0.656000,4.478794,0.625735,0.836029,0.043465,0.154688,0.043465,0.008368,0
71,1.200024,1.004700,0.587440,3.439375,0.634559,0.847426,0.042027,0.155365,0.042027,0.009149,0
72,1.216691,1.184500,0.705160,2.544353,0.642647,0.857721,0.013756,0.040677,0.013756,0.008021,0
73,1.233358,1.077100,0.584560,2.396356,0.648775,0.855147,0.012890,0.031163,0.012890,0.009097,0
74,1.250025,1.047200,0.690400,2.094090,0.656495,0.873775,0.012209,0.028733,0.012209,0.007865,0
75,1.266692,1.181900,0.605080,1.828368,0.656618,0.875000,0.010795,0.026892,0.010795,0.008594,0
76,1.283359,1.080100,0.611120,1.749617,0.650245,0.876348,0.010882,0.029201,0.010882,0.006528,0
77,1.300026,1.013500,0.586080,1.528508,0.651348,0.890319,0.011574,0.027361,0.011574,0.006962,0
78,1.316693,1.221500,0.576160,1.482144,0.653431,0.893750,0.010679,0.027292,0.010679,0.006632,0
79,1.333360,1.067900,0.592040,1.468066,0.647794,0.889216,0.010507,0.026476,0.010507,0.006806,0
80,1.350027,1.025000,0.571040,1.501353,0.637010,0.889216,0.008881,0.019705,0.008881,0.007569,0
81,1.366694,0.955100,0.591840,1.575873,0.627819,0.879289,0.009182,0.016267,0.009182,0.006944,0
82,1.383361,1.030700,0.610920,1.506325,0.627941,0.879289,0.009504,0.019184,0.009504,0.007326,0
83,1.400028,1.170600,0.585880,1.582160,0.633211,0.871814,0.008980,0.015885,0.008980,0.005538,0
84,1.416695,0.965600,0.573720,1.545340,0.642525,0.877574,0.009192,0.017170,0.009192,0.008177,0
85,1.433362,1.185700,0.583240,1.569160,0.649877,0.873407,0.007913,0.014253,0.007913,0.006910,0
86,1.450029,0.972900,0.577080,1.590239,0.650490,0.881250,0.008054,0.014722,0.008054,0.006233,0
87,1.466696,1.436500,0.706200,1.620853,0.648162,0.875858,0.007940,0.013368,0.007940,0.007135,0
88,1.483363,1.005000,0.595680,1.637037,0.653431,0.880392,0.007847,0.014063,0.007847,0.006198,0
89,1.500030,1.096700,0.910480,1.605887,0.654167,0.881250,0.008098,0.015122,0.008098,0.006840,0
90,1.516697,1.174400,0.599520,1.710997,0.646569,0.870956,0.008358,0.015139,0.008358,0.005816,0
91,1.533364,1.223100,0.685680,1.723910,0.657353,0.874510,0.008850,0.015278,0.008850,0.006215,0
92,1.550031,1.031400,0.588320,1.676167,0.666054,0.877819,0.007475,0.014722,0.007475,0.006510,0
93,1.566698,1.269200,0.674200,1.612745,0.671446,0.885907,0.008111,0.015278,0.008111,0.007587,0
94,1.583365,1.064100,0.588080,1.658266,0.651593,0.880270,0.006794,0.014115,0.006794,0.005191,0
95,1.600032,1.133700,0.678160,1.623879,0.643873,0.887377,0.006962,0.013802,0.006962,0.005399,0
96,1.616699,1.005900,0.611640,1.610083,0.641299,0.886029,0.007635,0.014601,0.007635,0.006111,0
97,1.633366,0.999900,0.719920,1.598846,0.657230,0.888603,0.007033,0.014236,0.007033,0.004861,0
98,1.650033,1.147400,0.595520,1.558981,0.660172,0.889216,0.006917,0.014340,0.006917,0.004774,0
99,1.666700,1.000200,0.609160,1.531198,0.662010,0.885172,0.006688,0.013785,0.006688,0.006059,0
100,1.683367,1.042000,0.587440,1.578108,0.652574,0.879902,0.007353,0.014392,0.007353,0.006146,0
101,1.700034,1.099000,0.575400,1.594044,0.636765,0.877206,0.006933,0.014045,0.006933,0.005417,0
102,1.716701,1.171600,0.603680,1.547875,0.634681,0.881250,0.006929,0.013524,0.006929,0.004549,0
103,1.733368,1.121700,0.572720,1.561799,0.633946,0.879044,0.006530,0.013472,0.006530,0.004670,0
104,1.750035,1.231200,0.611640,1.517225,0.637255,0.885662,0.006919,0.013212,0.006919,0.005625,0
105,1.766702,1.351200,0.581480,1.505362,0.641912,0.886765,0.006985,0.013437,0.006985,0.004948,0
106,1.783369,1.220500,0.583440,1.494081,0.652819,0.889216,0.006777,0.013177,0.006777,0.005451,0
107,1.800036,1.276400,0.576320,1.468011,0.666789,0.892279,0.006408,0.014479,0.006408,0.004236,0
108,1.816703,1.326300,0.590800,1.493314,0.674020,0.890686,0.006840,0.013889,0.006840,0.006354,0
109,1.833370,1.164000,0.577160,1.553412,0.670711,0.881985,0.006834,0.013542,0.006834,0.005625,0
110,1.850037,1.025800,0.586600,1.526518,0.669730,0.881250,0.006701,0.013663,0.006701,0.005417,0
111,1.866704,0.996300,0.631760,1.538831,0.663235,0.882353,0.007164,0.013316,0.007164,0.006580,0
112,1.883371,1.122600,0.588760,1.553481,0.653431,0.876103,0.007324,0.014253,0.007324,0.006615,0
113,1.900038,1.094200,0.579400,1.580619,0.645711,0.871201,0.006462,0.015052,0.006462,0.005278,0
114,1.916705,1.189600,0.629720,1.577134,0.644485,0.872917,0.006346,0.014670,0.006346,0.004358,0
115,1.933372,0.992700,0.590200,1.560571,0.634559,0.876225,0.006653,0.014878,0.006653,0.006111,0
116,1.950039,1.330400,0.641560,1.590831,0.631985,0.877696,0.007834,0.020122,0.007834,0.006510,0
117,1.966706,1.018700,0.583360,1.592917,0.639338,0.875368,0.006817,0.013264,0.006817,0.005052,0
118,1.983373,1.140000,0.797680,1.621718,0.644485,0.870956,0.007228,0.014236,0.007228,0.006701,0
119,2.000040,1.321400,0.608000,1.741883,0.640809,0.866912,0.006890,0.016771,0.006890,0.005972,0
