frame,time_s,cpu_ms,gpu_ms,epe_px,epe_within1,epe_within2,scene_change,sc_max,sc_mean,sc_median,cut
16,0.283339,1.107100,0.591000,1.856102,0.621078,0.882721,0.007841,0.014097,0.007841,0.008594,0
17,0.300006,1.173900,0.605160,1.801214,0.632108,0.893260,0.008717,0.014149,0.008717,0.009497,0
18,0.316673,1.049200,0.600160,1.884699,0.636029,0.885417,0.008424,0.013594,0.008424,0.009236,0
19,0.333340,1.053700,0.625560,1.916119,0.625980,0.885294,0.010243,0.016858,0.010243,0.011250,0
20,0.350007,1.236800,0.589560,2.009181,0.617034,0.882353,0.010141,0.016424,0.010141,0.012622,0
21,0.366674,0.974700,0.578960,1.877967,0.633333,0.889706,0.009959,0.018264,0.009959,0.012083,0
22,0.383341,1.231000,0.590840,1.954303,0.624510,0.885539,0.009333,0.016823,0.009333,0.011753,0
23,0.400008,1.047000,0.601000,1.781028,0.628676,0.897917,0.010010,0.018819,0.010010,0.010937,0
24,0.416675,1.250900,0.635280,2.050945,0.621201,0.884191,0.009209,0.018490,0.009209,0.010486,0
25,0.433342,1.149200,0.601600,2.003815,0.628186,0.889216,0.009323,0.017483,0.009323,0.010729,0
26,0.450009,1.644900,0.704800,2.029418,0.626348,0.895098,0.008206,0.019392,0.008206,0.007899,0
27,0.466676,1.132600,0.591280,2.219574,0.625245,0.886152,0.008829,0.017812,0.008829,0.007309,0
28,0.483343,1.314000,0.594160,2.038320,0.628064,0.889706,0.008852,0.018733,0.008852,0.006875,0
29,0.500010,1.018500,0.579920,2.043774,0.646814,0.896446,0.008254,0.017691,0.008254,0.005972,0
30,0.516677,1.251300,0.682840,2.082791,0.640809,0.898284,0.009084,0.018073,0.009084,0.006007,0
31,0.533344,1.141600,0.589240,2.388342,0.631373,0.880637,0.010413,0.020382,0.010413,0.007326,0
32,0.550011,1.076500,0.597560,2.157338,0.638971,0.884681,0.012691,0.034392,0.012691,0.007361,0
33,0.566678,0.966900,0.579680,2.387624,0.630270,0.878309,0.013943,0.038594,0.013943,0.009167,0
34,0.583345,1.122700,0.628920,2.748422,0.626471,0.869363,0.014886,0.043351,0.014886,0.011580,0
35,0.600012,1.060000,0.588120,2.916979,0.626961,0.864706,0.014967,0.041354,0.014967,0.011875,0
36,0.616679,1.370900,0.734200,2.636482,0.632353,0.874020,0.015652,0.043559,0.015652,0.014201,0
37,0.633346,0.968100,0.611320,3.631862,0.610784,0.838848,0.015112,0.042847,0.015112,0.014097,0
38,0.650013,1.304200,0.665800,3.330356,0.589951,0.826103,0.015436,0.043073,0.015436,0.016285,0
39,0.666680,0.970700,0.588800,6.193714,0.566912,0.776471,0.015849,0.043715,0.015849,0.015781,0
40,0.683347,1.178100,0.595120,9.164715,0.535907,0.744118,0.015693,0.041632,0.015693,0.016215,0
41,0.700014,1.007400,0.590000,8.439775,0.523284,0.739951,0.014645,0.036979,0.014645,0.011233,0
42,0.716681,1.394300,0.694960,8.312519,0.519853,0.728799,0.014142,0.037257,0.014142,0.009063,0
43,0.733348,1.030900,0.618400,9.806247,0.495588,0.694363,0.015949,0.041823,0.015949,0.010729,0
44,0.750015,1.204900,0.714440,16.372733,0.473529,0.664093,0.016566,0.044844,0.016566,0.012396,0
45,0.766682,1.040000,0.625760,21.285668,0.473529,0.678309,0.018059,0.051649,0.018059,0.019497,0
46,0.783349,1.367700,0.669160,42.490363,0.412132,0.581985,0.025939,0.095972,0.025939,0.013837,0
47,0.800016,1.020200,0.628960,44.050488,0.414706,0.586152,0.038127,0.118628,0.038127,0.031788,0
48,0.816683,1.430400,0.675160,33.395866,0.423039,0.611765,0.015831,0.032361,0.015831,0.013142,0
49,0.833350,1.028000,0.630960,50.462646,0.397181,0.565564,0.014817,0.032969,0.014817,0.010608,0
50,0.850017,1.281000,0.738240,63.620662,0.362500,0.520343,0.014726,0.036111,0.014726,0.007743,0
51,0.866684,0.991500,0.625760,112.715763,0.347181,0.488848,0.015131,0.042049,0.015131,0.007674,0
52,0.883351,1.923300,0.670440,36.802497,0.382108,0.531985,0.016429,0.048333,0.016429,0.004826,0
53,0.900018,0.951300,0.599360,71.983598,0.390074,0.541544,0.044495,0.106458,0.044495,0.045538,0
54,0.916685,1.301000,0.588320,30.281919,0.378431,0.578186,0.053395,0.107222,0.053395,0.073108,0
55,0.933352,0.921600,0.572680,34.517990,0.303309,0.480025,0.100515,0.288542,0.100515,0.047899,0
56,0.950019,1.096000,0.870360,38.038335,0.290686,0.490931,0.095806,0.304167,0.095806,0.070486,0
57,0.966686,0.948400,0.557880,33.305923,0.290074,0.513480,0.124275,0.338542,0.124275,0.108628,0
58,0.983353,1.236700,0.663520,48.862329,0.250858,0.467279,0.159288,0.272361,0.159288,0.196302,0
59,1.000020,1.009700,0.552560,34.704906,0.261887,0.488848,0.122836,0.296128,0.122836,0.102483,0
60,1.016687,1.356000,0.630120,50.129569,0.245711,0.451593,0.134414,0.274097,0.134414,0.121771,0
61,1.033354,1.029700,0.538720,40.978293,0.233946,0.465074,0.112263,0.234583,0.112263,0.124670,0
62,1.050021,1.169700,0.653720,37.595589,0.253064,0.481005,0.096601,0.309844,0.096601,0.077274,0
63,1.066688,0.969500,0.547600,36.805710,0.308211,0.561887,0.106570,0.284514,0.106570,0.094045,0
64,1.083355,0.940200,0.636160,60.839746,0.320343,0.503799,0.102081,0.205642,0.102081,0.085104,0
65,1.100022,1.105100,0.574320,16.583087,0.494730,0.744118,0.087380,0.181059,0.087380,0.074931,0
66,1.116689,0.992100,0.566840,19.695227,0.511642,0.734681,0.090961,0.368368,0.090961,0.053611,0
67,1.133356,1.044700,0.583440,15.737279,0.572181,0.791912,0.101644,0.265278,0.101644,0.094670,0
68,1.150023,0.947500,0.572640,7.842979,0.608946,0.840686,0.094425,0.278611,0.094425,0.017500,0
69,1.166690,1.142600,0.592640,3.694764,0.671814,0.900980,0.056572,0.252292,0.056572,0.013594,0
70,1.183357,1.117800,0.584080,1.575140,0.703064,0.933824,0.043465,0.154688,0.043465,0.008368,0
