frame,time_s,cpu_ms,gpu_ms,epe_px,epe_within1,epe_within2,scene_change,sc_max,sc_mean,sc_median,cut
16,0.283339,1.045600,0.560440,1.164164,0.663235,0.930025,0.007841,0.014097,0.007841,0.008594,0
17,0.300006,1.343500,0.680160,1.188208,0.665686,0.932966,0.008717,0.014149,0.008717,0.009497,0
18,0.316673,0.991400,0.579560,1.178655,0.672426,0.934559,0.008424,0.013594,0.008424,0.009236,0
19,0.333340,1.283900,0.715800,1.230867,0.665809,0.934681,0.010243,0.016858,0.010243,0.011250,0
20,0.350007,0.946800,0.578680,1.220206,0.662132,0.936275,0.010141,0.016424,0.010141,0.012622,0
21,0.366674,0.984800,0.654400,1.116292,0.679534,0.947672,0.009959,0.018264,0.009959,0.012083,0
22,0.383341,0.983100,0.572040,1.167136,0.664828,0.939093,0.009333,0.016823,0.009333,0.011753,0
23,0.400008,1.051900,0.594160,1.092749,0.675245,0.949020,0.010010,0.018819,0.010010,0.010937,0
24,0.416675,1.092200,0.597360,1.347530,0.665074,0.935539,0.009209,0.018490,0.009209,0.010486,0
25,0.433342,1.059600,0.585960,1.295495,0.675490,0.945588,0.009323,0.017483,0.009323,0.010729,0
26,0.450009,1.301800,0.595880,1.200393,0.672059,0.948162,0.008206,0.019392,0.008206,0.007899,0
27,0.466676,0.959500,0.562800,1.393194,0.665196,0.931740,0.008829,0.017812,0.008829,0.007309,0
28,0.483343,1.257200,0.573840,1.339676,0.661765,0.934926,0.008852,0.018733,0.008852,0.006875,0
29,0.500010,0.935600,0.560600,1.273546,0.684804,0.943015,0.008254,0.017691,0.008254,0.005972,0
30,0.516677,1.487500,0.854720,1.347135,0.682353,0.943137,0.009084,0.018073,0.009084,0.006007,0
31,0.533344,1.103800,0.569120,1.446030,0.682353,0.933824,0.010413,0.020382,0.010413,0.007326,0
32,0.550011,1.325000,0.577000,1.368097,0.686397,0.933211,0.012691,0.034392,0.012691,0.007361,0
33,0.566678,1.133700,0.561080,1.495961,0.677206,0.927328,0.013943,0.038594,0.013943,0.009167,0
34,0.583345,1.253700,0.570240,1.762131,0.666176,0.915074,0.014886,0.043351,0.014886,0.011580,0
