frame,time_s,cpu_ms,gpu_ms,epe_px,epe_within1,epe_within2,scene_change,sc_max,sc_mean,sc_median,cut
16,0.283339,1.079300,0.584520,1.392935,0.658088,0.915809,0.007841,0.014097,0.007841,0.008594,0
17,0.300006,1.047200,0.611760,1.418213,0.656740,0.913358,0.008717,0.014149,0.008717,0.009497,0
18,0.316673,1.002800,0.586640,1.455443,0.659804,0.912377,0.008424,0.013594,0.008424,0.009236,0
19,0.333340,1.312100,0.594400,1.486792,0.656495,0.914583,0.010243,0.016858,0.010243,0.011250,0
20,0.350007,0.982100,0.585840,1.493471,0.656127,0.914951,0.010141,0.016424,0.010141,0.012622,0
21,0.366674,1.126200,0.596560,1.429200,0.668873,0.922917,0.009959,0.018264,0.009959,0.012083,0
22,0.383341,0.980500,0.602960,1.417766,0.669363,0.925490,0.009333,0.016823,0.009333,0.011753,0
23,0.400008,1.374400,0.677080,1.404603,0.666912,0.930147,0.010010,0.018819,0.010010,0.010937,0
24,0.416675,1.070600,0.612480,1.438048,0.665319,0.931863,0.009209,0.018490,0.009209,0.010486,0
25,0.433342,1.314100,0.702840,1.428188,0.674265,0.936275,0.009323,0.017483,0.009323,0.010729,0
26,0.450009,1.300800,0.599160,1.410151,0.678431,0.937868,0.008206,0.019392,0.008206,0.007899,0
27,0.466676,1.195800,0.718800,1.496237,0.671569,0.934436,0.008829,0.017812,0.008829,0.007309,0
28,0.483343,1.222600,0.602680,1.460711,0.666422,0.932353,0.008852,0.018733,0.008852,0.006875,0
29,0.500010,1.222800,0.650440,1.395801,0.682230,0.938725,0.008254,0.017691,0.008254,0.005972,0
30,0.516677,1.289300,0.599880,1.467452,0.677574,0.936029,0.009084,0.018073,0.009084,0.006007,0
31,0.533344,1.012700,0.632200,1.690249,0.677574,0.930392,0.010413,0.020382,0.010413,0.007326,0
32,0.550011,1.130700,0.585920,1.700624,0.681005,0.928431,0.012691,0.034392,0.012691,0.007361,0
33,0.566678,1.426700,0.592760,1.726470,0.676838,0.924755,0.013943,0.038594,0.013943,0.009167,0
34,0.583345,0.974900,0.584240,1.884649,0.677574,0.926838,0.014886,0.043351,0.014886,0.011580,0
35,0.600012,1.286200,0.641080,2.012941,0.683211,0.926593,0.014967,0.041354,0.014967,0.011875,0
36,0.616679,1.060100,0.587720,2.148436,0.676716,0.924755,0.015652,0.043559,0.015652,0.014201,0
37,0.633346,1.082800,0.595840,2.537015,0.667157,0.906985,0.015112,0.042847,0.015112,0.014097,0
38,0.650013,1.021700,0.592080,3.044435,0.640931,0.889338,0.015436,0.043073,0.015436,0.016285,0
39,0.666680,1.201800,0.650400,3.376843,0.636887,0.875123,0.015849,0.043715,0.015849,0.015781,0
40,0.683347,0.989500,0.594880,3.968483,0.629779,0.872549,0.015693,0.041632,0.015693,0.016215,0
41,0.700014,1.431500,0.737320,4.860522,0.598897,0.843505,0.014645,0.036979,0.014645,0.011233,0
42,0.716681,1.105400,0.604200,6.015852,0.590809,0.823039,0.014142,0.037257,0.014142,0.009063,0
